조사년도,조사월,측정소명,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,TN ,TP ,TOC 
2017,12,고막원천2-1,34.69,3.6,8,13.4,2.5,6,12.6,324,1.471,0.061,4
2013,1,영산포-1,19.92,3.9,8.1,14.6,3.8,7.5,12.4,360,5.597,0.078,4.8
2013,2,영산포-1,50.8,4.4,7.5,12.4,2.9,6.8,10.1,272,4.792,0.119,4.4
2013,3,영산포-1,75.15,9.7,8.3,13.3,4.8,8.9,20.3,268,4.507,0.094,5.7
2013,4,영산포-1,55.41,13.4,7.8,11.6,4.7,8.1,15.5,266,4.484,0.061,5
2013,5,영산포-1,121.13,20.3,7.9,9.9,4.9,9.8,15.2,347,4.968,0.067,6
2013,6,영산포-1,84.75,24.3,7.5,7.7,3.7,9.6,30.1,226,3.695,0.127,6.2
2013,7,영산포-1,304.09,27.5,7.2,7.4,3.4,7.4,68.1,205,2.922,0.153,5.1
2013,8,영산포-1,279.12,29.7,8.1,8.6,4.3,9.9,26,198,2.421,0.147,5.3
2013,9,영산포-1,90.15,25.3,7.5,7.7,2.7,6.2,22.2,161,2.49,0.151,4.5
2013,10,영산포-1,29.42,21,7.9,8.6,3.7,7.3,27.1,279,3.082,0.097,4.9
2013,11,영산포-1,91.95,12.7,8,10.5,2.9,6.2,24.2,425,4.239,0.1,4.9
2013,12,영산포-1,15.62,6.8,7.9,12.2,3.5,6.4,11.8,480,4.807,0.099,4.9
2014,1,영산포-1,13.01,3.6,8.7,15.6,5.9,8.9,20.2,552,6.304,0.085,5.9
2014,2,영산포-1,12.25,5.4,8.9,14.8,5.8,9.4,21.1,597,7.145,0.086,6.1
2014,3,영산포-1,98.02,9,8.2,12,6,8.1,19.5,541,7.921,0.106,7.2
2014,4,영산포-1,63.41,15.5,7.9,9.5,4.4,7.5,14.4,421,4.859,0.116,5.8
2014,5,영산포-1,24.27,20.7,7.9,7.7,3.9,7.4,29.7,378,4.334,0.133,6
2014,6,영산포-1,27.48,24.2,7.8,7.1,6.2,10.1,31.6,330,3.639,0.133,7.9
2014,7,영산포-1,45.43,25.8,7.8,6.9,5.6,10.7,32.6,277,3.448,0.163,7.1
2014,8,영산포-1,121.99,24.6,7.4,7.6,3.2,6.7,27.7,136,2.257,0.174,4.3
2014,9,영산포-1,48.36,24.2,7.7,9.1,3.3,6.6,22.9,197,2.465,0.12,4.8
2014,10,영산포-1,26.85,19.4,7.4,7.3,3.1,5.9,25.8,224,2.75,0.126,4.4
2014,11,영산포-1,90.24,12.7,7.1,9.7,3,5.7,27.7,299,4.183,0.128,4.2
2014,12,영산포-1,43.85,9.8,7.2,10.7,3.6,6.2,28.5,241,3.744,0.141,4.2
2015,1,영산포-1,41.92,4.5,7.4,14.3,4,5.7,15.9,383,5.134,0.099,4.3
2015,2,영산포-1,25.26,4.4,7.3,13.9,4.6,6.6,14.3,356,5.714,0.096,4.8
