Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2017.08.28,7.1,66,25.7,49.7,44.8,25.5,15.8,10.8,11.6,8.3,27,33.5,31,12.3,7.1
2017.09.04,66,10.6,49.7,44.8,25.5,15.8,10.8,11.6,8.3,27,33.5,31,12.3,7.1,66
2017.09.12,10.6,71,44.8,25.5,15.8,10.8,11.6,8.3,27,33.5,31,12.3,7.1,66,10.6
2017.09.18,71,52.3,25.5,15.8,10.8,11.6,8.3,27,33.5,31,12.3,7.1,66,10.6,71
2017.09.25,52.3,89.8,15.8,10.8,11.6,8.3,27,33.5,31,12.3,7.1,66,10.6,71,52.3
2017.10.10,89.8,13.2,10.8,11.6,8.3,27,33.5,31,12.3,7.1,66,10.6,71,52.3,89.8
2017.10.16,13.2,13.3,11.6,8.3,27,33.5,31,12.3,7.1,66,10.6,71,52.3,89.8,13.2
2017.10.23,13.3,23.9,8.3,27,33.5,31,12.3,7.1,66,10.6,71,52.3,89.8,13.2,13.3
2017.10.30,23.9,13.2,27,33.5,31,12.3,7.1,66,10.6,71,52.3,89.8,13.2,13.3,23.9
2017.11.06,13.2,9,33.5,31,12.3,7.1,66,10.6,71,52.3,89.8,13.2,13.3,23.9,13.2
2017.11.13,9,32.7,31,12.3,7.1,66,10.6,71,52.3,89.8,13.2,13.3,23.9,13.2,9
2017.11.20,32.7,11.1,12.3,7.1,66,10.6,71,52.3,89.8,13.2,13.3,23.9,13.2,9,32.7
2017.11.27,11.1,14.8,7.1,66,10.6,71,52.3,89.8,13.2,13.3,23.9,13.2,9,32.7,11.1
2017.12.04,14.8,27.7,66,10.6,71,52.3,89.8,13.2,13.3,23.9,13.2,9,32.7,11.1,14.8
2017.12.11,27.7,28.3,10.6,71,52.3,89.8,13.2,13.3,23.9,13.2,9,32.7,11.1,14.8,27.7
2017.12.18,28.3,39.5,71,52.3,89.8,13.2,13.3,23.9,13.2,9,32.7,11.1,14.8,27.7,28.3
2017.12.26,39.5,15.8,52.3,89.8,13.2,13.3,23.9,13.2,9,32.7,11.1,14.8,27.7,28.3,39.5
2018.01.02,15.8,100.3,89.8,13.2,13.3,23.9,13.2,9,32.7,11.1,14.8,27.7,28.3,39.5,15.8
2018.01.08,100.3,87.1,13.2,13.3,23.9,13.2,9,32.7,11.1,14.8,27.7,28.3,39.5,15.8,100.3
2018.01.15,87.1,136,13.3,23.9,13.2,9,32.7,11.1,14.8,27.7,28.3,39.5,15.8,100.3,87.1
2018.01.22,136,174.2,23.9,13.2,9,32.7,11.1,14.8,27.7,28.3,39.5,15.8,100.3,87.1,136
2018.01.29,174.2,57.1,13.2,9,32.7,11.1,14.8,27.7,28.3,39.5,15.8,100.3,87.1,136,174.2
2018.02.05,57.1,49.3,9,32.7,11.1,14.8,27.7,28.3,39.5,15.8,100.3,87.1,136,174.2,57.1
2018.02.13,49.3,48.6,32.7,11.1,14.8,27.7,28.3,39.5,15.8,100.3,87.1,136,174.2,57.1,49.3
2018.02.19,48.6,38.3,11.1,14.8,27.7,28.3,39.5,15.8,100.3,87.1,136,174.2,57.1,49.3,48.6
2018.02.26,38.3,29.1,14.8,27.7,28.3,39.5,15.8,100.3,87.1,136,174.2,57.1,49.3,48.6,38.3
2018.03.05,29.1,20.3,27.7,28.3,39.5,15.8,100.3,87.1,136,174.2,57.1,49.3,48.6,38.3,29.1
2018.03.12,20.3,9.9,28.3,39.5,15.8,100.3,87.1,136,174.2,57.1,49.3,48.6,38.3,29.1,20.3
2018.03.19,9.9,39.5,39.5,15.8,100.3,87.1,136,174.2,57.1,49.3,48.6,38.3,29.1,20.3,9.9
2018.03.26,39.5,49.2,15.8,100.3,87.1,136,174.2,57.1,49.3,48.6,38.3,29.1,20.3,9.9,39.5
2018.04.02,49.2,57.5,100.3,87.1,136,174.2,57.1,49.3,48.6,38.3,29.1,20.3,9.9,39.5,49.2
2018.04.09,57.5,65.7,87.1,136,174.2,57.1,49.3,48.6,38.3,29.1,20.3,9.9,39.5,49.2,57.5
2018.04.16,65.7,27.6,136,174.2,57.1,49.3,48.6,38.3,29.1,20.3,9.9,39.5,49.2,57.5,65.7
2018.04.23,27.6,66.3,174.2,57.1,49.3,48.6,38.3,29.1,20.3,9.9,39.5,49.2,57.5,65.7,27.6
2018.04.30,66.3,34,57.1,49.3,48.6,38.3,29.1,20.3,9.9,39.5,49.2,57.5,65.7,27.6,66.3
2018.05.08,34,48.8,49.3,48.6,38.3,29.1,20.3,9.9,39.5,49.2,57.5,65.7,27.6,66.3,34
2018.05.14,48.8,64.1,48.6,38.3,29.1,20.3,9.9,39.5,49.2,57.5,65.7,27.6,66.3,34,48.8
2018.05.21,64.1,91.7,38.3,29.1,20.3,9.9,39.5,49.2,57.5,65.7,27.6,66.3,34,48.8,64.1
2018.05.28,91.7,29.7,29.1,20.3,9.9,39.5,49.2,57.5,65.7,27.6,66.3,34,48.8,64.1,91.7
2018.06.04,29.7,20.5,20.3,9.9,39.5,49.2,57.5,65.7,27.6,66.3,34,48.8,64.1,91.7,29.7
2018.06.11,20.5,30.2,9.9,39.5,49.2,57.5,65.7,27.6,66.3,34,48.8,64.1,91.7,29.7,20.5
2018.06.18,30.2,24.4,39.5,49.2,57.5,65.7,27.6,66.3,34,48.8,64.1,91.7,29.7,20.5,30.2
2018.06.25,24.4,4.5,49.2,57.5,65.7,27.6,66.3,34,48.8,64.1,91.7,29.7,20.5,30.2,24.4
2018.07.02,4.5,67.1,57.5,65.7,27.6,66.3,34,48.8,64.1,91.7,29.7,20.5,30.2,24.4,4.5
2018.07.09,67.1,19.4,65.7,27.6,66.3,34,48.8,64.1,91.7,29.7,20.5,30.2,24.4,4.5,67.1
2018.07.16,19.4,41.5,27.6,66.3,34,48.8,64.1,91.7,29.7,20.5,30.2,24.4,4.5,67.1,19.4
2018.07.23,41.5,77,66.3,34,48.8,64.1,91.7,29.7,20.5,30.2,24.4,4.5,67.1,19.4,41.5
2018.07.30,77,44,34,48.8,64.1,91.7,29.7,20.5,30.2,24.4,4.5,67.1,19.4,41.5,77
2018.08.06,44,25,48.8,64.1,91.7,29.7,20.5,30.2,24.4,4.5,67.1,19.4,41.5,77,44
2018.08.13,25,44.4,64.1,91.7,29.7,20.5,30.2,24.4,4.5,67.1,19.4,41.5,77,44,25
2018.08.20,44.4,7.7,91.7,29.7,20.5,30.2,24.4,4.5,67.1,19.4,41.5,77,44,25,44.4
2018.08.28,7.7,5.7,29.7,20.5,30.2,24.4,4.5,67.1,19.4,41.5,77,44,25,44.4,7.7
2018.09.03,5.7,52.5,20.5,30.2,24.4,4.5,67.1,19.4,41.5,77,44,25,44.4,7.7,5.7
2018.09.10,52.5,45.1,30.2,24.4,4.5,67.1,19.4,41.5,77,44,25,44.4,7.7,5.7,52.5
2018.09.17,45.1,103.6,24.4,4.5,67.1,19.4,41.5,77,44,25,44.4,7.7,5.7,52.5,45.1
2018.09.27,103.6,135.5,4.5,67.1,19.4,41.5,77,44,25,44.4,7.7,5.7,52.5,45.1,103.6
2018.10.01,135.5,7.1,67.1,19.4,41.5,77,44,25,44.4,7.7,5.7,52.5,45.1,103.6,135.5
2018.10.08,7.1,59.9,19.4,41.5,77,44,25,44.4,7.7,5.7,52.5,45.1,103.6,135.5,7.1
2018.10.15,59.9,37.7,41.5,77,44,25,44.4,7.7,5.7,52.5,45.1,103.6,135.5,7.1,59.9
2018.10.22,37.7,29.3,77,44,25,44.4,7.7,5.7,52.5,45.1,103.6,135.5,7.1,59.9,37.7
2018.10.29,29.3,93.4,44,25,44.4,7.7,5.7,52.5,45.1,103.6,135.5,7.1,59.9,37.7,29.3
2018.11.05,93.4,51.4,25,44.4,7.7,5.7,52.5,45.1,103.6,135.5,7.1,59.9,37.7,29.3,93.4
2018.11.12,51.4,109.6,44.4,7.7,5.7,52.5,45.1,103.6,135.5,7.1,59.9,37.7,29.3,93.4,51.4
2018.11.19,109.6,77.2,7.7,5.7,52.5,45.1,103.6,135.5,7.1,59.9,37.7,29.3,93.4,51.4,109.6
2018.11.26,77.2,72,5.7,52.5,45.1,103.6,135.5,7.1,59.9,37.7,29.3,93.4,51.4,109.6,77.2
2018.12.03,72,75.9,52.5,45.1,103.6,135.5,7.1,59.9,37.7,29.3,93.4,51.4,109.6,77.2,72
2018.12.10,75.9,106.8,45.1,103.6,135.5,7.1,59.9,37.7,29.3,93.4,51.4,109.6,77.2,72,75.9
2018.12.17,106.8,113.3,103.6,135.5,7.1,59.9,37.7,29.3,93.4,51.4,109.6,77.2,72,75.9,106.8
2018.12.24,113.3,55.5,135.5,7.1,59.9,37.7,29.3,93.4,51.4,109.6,77.2,72,75.9,106.8,113.3
2019.01.07,55.5,75.1,7.1,59.9,37.7,29.3,93.4,51.4,109.6,77.2,72,75.9,106.8,113.3,55.5
2019.01.14,75.1,128.7,59.9,37.7,29.3,93.4,51.4,109.6,77.2,72,75.9,106.8,113.3,55.5,75.1
2019.01.21,128.7,115.1,37.7,29.3,93.4,51.4,109.6,77.2,72,75.9,106.8,113.3,55.5,75.1,128.7
