연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2020,7,4회차,2020.07.21,황룡강,황룡강5,1.8,7.3,4.9,0.083,1.496,1.922,0.076
2020,7,4회차,2020.07.27,영산강상류,광주천2,2.6,0.7,4.5,0.502,1.878,2.786,0.171
2020,7,4회차,2020.07.27,영산강상류,광주1,0.8,5,4,0.132,1.355,1.906,0.082
2020,7,4회차,2020.07.27,영산강상류,광주2,4.3,3.6,4.5,1.232,1.395,3.411,0.111
2020,7,4회차,2020.07.27,영산강상류,광주3,2.3,2.7,5,0.869,1.442,2.972,0.121
2020,7,5회차,2020.07.27,죽산보(영산강중류),광산,3.1,6,5.9,0.612,1.739,2.769,0.14
2020,7,5회차,2020.07.27,황룡강,황룡강5,1,5.2,5,0.047,1.742,2.024,0.072
2020,8,1회차,2020.08.03,영산강상류,우치,0.8,3.9,4.7,0.076,1.846,2.253,0.091
2020,8,1회차,2020.08.03,영산강상류,광주천2,3.5,2.6,5.2,0.517,2.368,3.3,0.148
2020,8,1회차,2020.08.03,영산강상류,광주1,1.5,4.9,5,0.107,2.033,2.8,0.118
2020,8,1회차,2020.08.03,영산강상류,광주2,3.6,2.7,4.6,0.889,1.681,3.392,0.109
2020,8,1회차,2020.08.03,영산강상류,광주3,2.5,3,4.8,0.94,1.68,3.437,0.108
2020,8,1회차,2020.08.03,죽산보(영산강중류),광산,3.9,5.2,5.7,0.759,1.88,3.169,0.154
2020,8,1회차,2020.08.03,황룡강,황룡강1,1.5,4.1,3.5,0.047,2.239,2.404,0.039
2020,8,1회차,2020.08.03,황룡강,황룡강5,1,6.8,4.9,0.071,1.526,2.017,0.084
2020,8,1회차,2020.08.03,황룡강,황룡강2,1.2,4.7,4,0.03,1.88,2.037,0.044
2020,8,1회차,2020.08.04,영산강상류,광주천1,2.6,0.4,5.4,0.776,2.498,4.447,0.062
2020,8,1회차,2020.08.05,황룡강,황룡강4,1.3,12.5,6.2,0,1.632,1.761,0.067
2020,8,1회차,2020.08.13,영산강상류,산동,1.5,1,8.2,0.513,1.507,2.368,0.151
2020,8,2회차,2020.08.13,영산강상류,광주1,1.4,1.1,4.1,0.506,1.723,2.62,0.157
2020,8,2회차,2020.08.13,영산강상류,광주2,9.6,0.6,6.4,0.897,1.179,4.61,0.328
2020,8,2회차,2020.08.13,영산강상류,광주3,2.7,0.7,8.7,0.599,1.381,2.826,0.177
2020,8,2회차,2020.08.18,영산강상류,우치,1.7,22.2,5.1,0.119,1.636,2.097,0.063
2020,8,2회차,2020.08.18,황룡강,황룡강5,3.7,61.3,6.8,0.144,1.237,1.819,0.058
2020,8,2회차,2020.08.19,죽산보(영산강중류),광산,4.3,57.5,7.8,1.073,1.736,3.472,0.18
2020,8,2회차,2020.08.20,영산강상류,광주천2,5.9,76,12.6,0.096,1.244,2.962,0.263
2020,8,3회차,2020.08.18,영산강상류,광주1,4.4,29.4,8.2,0.065,1.195,1.67,0.05
2020,8,3회차,2020.08.18,영산강상류,광주2,15.1,18.6,10.1,2.855,1.482,5.418,0.429
2020,8,3회차,2020.08.18,영산강상류,광주3,4.7,30.3,8.2,0.516,1.664,2.887,0.088
2020,8,3회차,2020.08.24,영산강상류,우치,2.9,29.1,6.2,0.036,1.327,2.008,0.065
2020,8,3회차,2020.08.24,영산강상류,광주천2,4.2,32.8,7,0.474,1.753,3.3,0.202
2020,8,3회차,2020.08.24,죽산보(영산강중류),광산,4.7,45.3,8.2,1.658,1.457,4.24,0.11
2020,8,3회차,2020.08.24,황룡강,황룡강5,4.1,35.7,7.3,0.213,0.876,1.718,0.073
2020,8,4회차,2020.08.24,영산강상류,광주1,3.1,30.5,10.2,0.018,0.78,1.519,0.075
2020,8,4회차,2020.08.24,영산강상류,광주2,7.3,13.5,9.1,1.373,1.159,3.716,0.102
2020,8,4회차,2020.08.24,영산강상류,광주3,5.8,15.2,10.3,3.45,1.136,6.359,0.401
2020,9,1회차,2020.09.01,영산강상류,우치,1.3,9.6,5.6,0.061,1.25,1.789,0.094
2020,9,1회차,2020.09.01,영산강상류,광주천2,2.4,6.6,6.1,0.536,1.594,2.999,0.203
2020,9,1회차,2020.09.01,죽산보(영산강중류),광산,4.8,24.1,8,0.54,1.316,2.511,0.218
2020,9,1회차,2020.09.01,황룡강,황룡강5,3.5,17.9,7.3,0.22,1.129,1.883,0.158
2020,9,1회차,2020.09.08,영산강상류,광주1,1.2,4.8,6.9,0.202,1.202,1.824,0.194
2020,9,1회차,2020.09.08,영산강상류,광주2,6,2.8,7.7,1.584,1.429,3.837,0.307
2020,9,1회차,2020.09.08,영산강상류,광주3,1.8,2.8,6.5,0.618,1.377,2.603,0.205
2020,9,1회차,2020.09.08,황룡강,황룡강1,1.2,3.4,4.5,0.051,1.676,1.909,0.107
2020,9,1회차,2020.09.08,황룡강,황룡강4,1.3,12.5,6.2,0,1.632,1.761,0.067
2020,9,1회차,2020.09.08,황룡강,황룡강2,2,3.4,4.7,0.073,1.629,1.877,0.106
2020,9,1회차,2020.09.10,영산강상류,광주천1,0.8,0.8,4.2,0.032,1.29,1.472,0.093
2020,9,1회차,2020.09.14,영산강상류,산동,1.3,2.5,5.4,0.072,1.361,1.9,0.086
2020,9,2회차,2020.09.08,영산강상류,우치,1,3.8,6.1,0.072,1.179,1.645,0.118
2020,9,2회차,2020.09.08,영산강상류,광주천2,2.8,1.1,4.7,0.576,1.502,2.571,0.159
2020,9,2회차,2020.09.08,죽산보(영산강중류),광산,3.7,4.2,6.4,0.378,1.313,2.218,0.172
2020,9,2회차,2020.09.08,황룡강,황룡강5,2.4,4,6.2,0.196,1.299,1.957,0.158
2020,9,2회차,2020.09.14,영산강상류,광주1,1.4,3.3,6,0.105,1.387,2.098,0.107
2020,9,2회차,2020.09.14,영산강상류,광주2,5.4,0.7,6.7,1.106,1.656,3.389,0.114
2020,9,2회차,2020.09.14,영산강상류,광주3,2.4,1.2,5.7,0.481,1.656,2.902,0.122
2020,9,3회차,2020.09.14,영산강상류,우치,0.9,3.4,4.6,0.062,1.384,1.803,0.087
2020,9,3회차,2020.09.14,영산강상류,광주천2,1.9,1,4.4,0.425,1.424,2.319,0.184
2020,9,3회차,2020.09.14,죽산보(영산강중류),광산,3.1,6,5.4,0.489,1.613,2.545,0.144
2020,9,3회차,2020.09.14,황룡강,황룡강5,1.8,6.5,5.5,0.229,1.474,2.054,0.1
2020,9,3회차,2020.09.21,영산강상류,광주1,2.5,63.1,5.7,0,1.309,1.886,0.083
2020,9,3회차,2020.09.21,영산강상류,광주2,3.2,42.5,6.3,1.301,1.668,3.85,0.092
2020,9,3회차,2020.09.21,영산강상류,광주3,3.1,48.7,6.7,1.359,1.845,4.319,0.123
2020,9,4회차,2020.09.21,영산강상류,우치,1.2,23.4,4.8,0.004,1.461,1.832,0.073
2020,9,4회차,2020.09.21,영산강상류,광주천2,1.7,7.1,4.3,0.192,1.847,2.512,0.122
2020,9,4회차,2020.09.21,죽산보(영산강중류),광산,4.5,71.5,8.3,0.365,2.037,2.948,0.091
2020,9,4회차,2020.09.21,황룡강,황룡강5,2.3,17.9,5.5,0.334,1.24,1.939,0.074
2020,9,4회차,2020.09.28,영산강상류,광주1,5,73.4,10.4,0,0.674,1.491,0.128
2020,9,4회차,2020.09.28,영산강상류,광주2,6.4,106.8,10.5,2.312,1.121,4.953,0.111
2020,9,4회차,2020.09.28,영산강상류,광주3,8.7,92.8,11.3,3.406,1.453,6.597,0.116
2020,9,5회차,2020.09.28,죽산보(영산강중류),광산,6.8,230.8,13.5,1.247,1.773,4.192,0.083
