yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2009/08,7.3,8,2.5,4.5,11.9,1.839,0.08,26,184,9400,0.091,1.324,51
2009/09,7,7.5,1.7,4.5,8.9,1.573,0.079,22.8,225,5380,0.1,0.96,9
2009/10,7.6,8.8,1.9,4.5,5.1,1.784,0.051,16.8,297,7963,0.097,0.959,21
2009/11,7.1,10.5,2.6,5.4,7.3,1.903,0.069,12,363,10950,0.1,1.186,199
2009/12,7.1,13,2.8,4.3,5.1,2.851,0.077,4.8,366,6940,0.131,2.397,91
2010/01,7,13.3,2.2,4,3.8,3.321,0.077,2.3,339,3100,0.268,2.736,99
2010/02,7.3,12.6,2.2,4.7,4.9,2.986,0.071,5.3,331,3275,0.227,2.538,259
2010/03,7.2,11,2.3,5.3,7.3,2.787,0.073,9,275,3830,0.192,2.253,151
2010/04,7.5,10,3.1,6.3,11.3,1.811,0.06,13.2,268,5760,0.075,1.176,129
2010/05,7.3,8.1,2.9,5.8,11.3,1.978,0.086,19,207,24900,0.183,1.003,157
2010/06,7.2,6.8,3.6,7.9,8.4,2.317,0.125,24,230,36520,0.191,1.13,167
2010/07,7.2,7.1,3.1,7.2,16.9,2.658,0.102,25.3,177,13600,0.142,1.481,950
2010/08,7.3,6.9,3.6,5.9,14.1,1.909,0.102,26.7,183,12000,0.159,0.78,1189
2010/09,7.4,7.9,3.3,6.1,23,2.221,0.104,23.2,289,14200,0.116,1.323,2513
2010/10,7.3,9,2.9,6,11,2.321,0.084,17.5,269,3300,0.112,1.677,875
2010/11,7.6,9.8,4,8,6.9,2.319,0.07,10.8,334,8258,0.069,1.825,711
2010/12,7.5,12.7,3.9,7.8,9.9,3.192,0.103,5.2,366,5967,0.078,2.615,1872
2011/01,7.3,13.3,2.6,4.9,7.4,3.207,0.114,2,362,500,0.22,2.653,68
2011/02,7.8,13,3,5,12.7,3.009,0.105,5,336,325,0.198,2.642,59
2011/03,7.8,12.3,3.5,7.3,26.6,2.576,0.103,8,337,1350,0.173,1.875,117
2011/04,7.8,10.2,6.5,8.7,30.1,1.959,0.115,14.3,347,745,0.124,1.042,82
2011/05,8,10.5,4.6,7.4,28.4,2.341,0.126,19.5,252,12200,0.192,1.493,6922
2011/06,7.3,8.1,6.1,9.2,26.3,2.626,0.177,23.4,254,2409,0.33,1.346,543
2011/07,7.3,8.8,4.2,7.3,38.7,2.286,0.165,25.3,163,13469,0.254,1.603,2355
2011/08,7.3,8.3,1.9,4.9,16.9,2.023,0.105,25.2,173,20675,0.108,1.425,3996
2011/09,7.3,8.7,2.1,5.1,8,1.488,0.086,23.8,204,2815,0.127,0.845,434
2011/10,7.7,9.9,2.2,6.8,10.6,1.506,0.104,16.8,293,3558,0.11,0.808,275
2011/11,7.3,10.4,2.4,7.3,15.9,2.526,0.102,13.3,366,2450,0.301,1.335,824
2011/12,7.5,12.1,1.2,3.9,6.5,2.862,0.049,5.8,307,682,0.159,2.071,156
2012/01,7.4,13.6,2.1,4.1,6.9,3.128,0.079,3,329,197,0.149,2.502,126
2012/02,7.7,13.7,2.7,5,8,3.021,0.063,3.6,367,235,0.119,2.389,121
2012/03,8.1,11.8,4.2,7.4,16.9,2.451,0.09,9.5,354,977,0.096,1.663,368
2012/04,7.6,10.9,3.5,6.8,17.6,2.432,0.088,14.4,285,928,0.158,1.675,219
2012/05,7.3,7.9,3.4,7.6,19.4,1.582,0.101,21.1,347,425,0.281,0.618,139
2012/06,7.5,8.7,4.6,9.4,14.9,2.349,0.099,24.7,290,341,0.44,0.806,157
2012/07,7.6,8.4,3.1,7.5,18.4,1.988,0.093,26.5,219,9093,0.155,1.258,1216
2012/08,7,8.1,2.6,7.4,11.6,1.641,0.088,26.3,191,8993,0.142,1.108,1263
2012/09,7.7,9.2,1.5,5.5,12.7,2.096,0.053,22.2,181,6058,0.147,1.543,1421
2012/10,7.2,9,2,6.2,9.5,1.785,0.057,17.5,269,6466,0.127,1.329,1244
2012/11,7.3,11.2,1,4.6,3.9,2.399,0.049,9.6,284,1455,0.128,1.878,182
2012/12,7.4,13.6,1.6,5.5,5,3.058,0.056,4.3,294,5187,0.323,2.322,528
2013/01,7.5,14,1.9,4.4,4.5,3.302,0.056,2,303,1109,0.27,2.655,156
2013/02,7.1,12.8,1.5,4.1,5.7,2.807,0.053,4.2,238,3433,0.188,2.307,409
2013/03,7.3,11.3,3.3,7,19.6,2.579,0.086,10.5,285,4790,0.242,1.93,544
2013/04,7.8,11.4,3.9,7.3,12.3,2.016,0.06,13.9,288,1465,0.122,1.182,88
2013/05,7.4,8.7,3.6,7.3,20.5,1.759,0.076,20,300,13469,0.598,0.906,999
