number,site,month,pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
29,담양,May-17,7.6,12.1,18.6,157,1.6,4.3,9.2,2.366,0.08,2.9,4375,0.121,0.047,17.8,101,2.093,28.1
30,담양,Jun-17,7.7,11.6,22.9,200,1.6,4.6,6.5,2.723,0.079,2.9,3215,0.085,0.05,16.2,314,3.473,42.1
31,담양,Jul-17,7.5,8.7,26.4,244,1.6,6.8,10.7,3.415,0.15,3.6,6825,0.232,0.107,8.9,2185,10.418,211.7
32,담양,Aug-17,7.6,8.6,25.3,174,0.8,5.1,11.1,2.1,0.104,3.2,9475,0.094,0.078,8.4,5940,31.665,273.8
33,담양,Sep-17,7.3,9.2,23.2,224,0.7,3.6,6.3,2.232,0.068,2.2,5445,0.14,0.05,9.6,3190,12.089,108.8
34,담양,Oct-17,7.7,11.3,18.9,281,1.5,4.6,5.9,2.633,0.15,2.1,1073,0.073,0.105,37.4,670,3.39,85.4
35,담양,Nov-17,7.7,13.2,12.8,382,1.6,4.5,5.6,2.813,0.151,2.5,3313,0.086,0.112,35.7,175,2.222,2.1
36,담양,Dec-17,7.7,12.9,6.3,363,2.3,5.3,6,3.758,0.22,3.2,2518,0.117,0.192,24.2,339,2.623,28.5
37,담양,Jan-18,7.4,13.7,7.3,338,2.2,4.9,3.8,4.328,0.3,2.6,2250,0.13,0.244,30.1,445,2.826,38.8
38,담양,Feb-18,7.6,11.5,5.3,378,2.3,6.2,6.2,3.798,0.257,3.3,5235,0.144,0.246,33.5,279,2.31,22
39,담양,Mar-18,7.5,12.9,12.4,186,2.1,6.1,10.7,3.182,0.139,3.7,5055,0.107,0.105,27,458,11.389,115.8
40,담양,Apr-18,7.6,11.9,16.5,217,1.9,5.4,15.8,3.055,0.134,3,17825,0.149,0.097,20.9,6523,6.176,127.4
41,담양,May-18,7.6,11.4,21.3,202,1.2,4.6,9.6,3.278,0.097,3,27050,0.183,0.073,11.3,655,7.879,85.4
42,담양,Jun-18,7.3,10.4,22.4,187,0.8,4,5.8,2.146,0.075,2.8,5075,0.113,0.057,10.7,101,5.507,222.4
43,담양,Jul-18,7.1,10.7,24.7,177,0.9,4.9,12.8,2.424,0.121,3,12073,0.137,0.095,11.7,1103,26.962,84.5
44,담양,Aug-18,7,8.1,26.1,182,0.6,4,3.6,1.473,0.08,2.3,6150,0.087,0.058,8.8,1558,32.126,397.1
45,담양,Sep-18,7.1,8.7,22.9,199,0.6,3.5,3.1,2.861,0.084,1.9,5767,0.118,0.061,8.2,2467,11.455,129.7
46,담양,Oct-18,7.6,11.3,17.6,240,1,3.6,3.2,2.319,0.125,2.2,25800,0.089,0.105,8.7,7100,6.158,125.2
47,담양,Nov-18,7.6,14,12.3,257,1.3,3.7,2.2,2.584,0.124,2.3,12225,0.098,0.091,6.7,3753,2.32,47.2
48,담양,Dec-18,7.5,9.5,8.7,282,1.4,4,3.1,2.711,0.156,2.3,47175,0.152,0.121,11.1,326,3.693,32.4
49,담양,Jan-19,7.8,13.9,6.1,318,2.3,4.8,4.3,2.709,0.226,2.8,33410,0.109,0.185,14.4,98,2.649,16.4
50,담양,Feb-19,7.3,12.5,8.5,284,2.3,6.2,7.1,2.626,0.19,2.6,4610,0.123,0.139,16.7,143,2.677,37
51,담양,Mar-19,7.5,11.6,12.1,265,3.2,6.2,7,4.057,0.403,3.3,204175,0.221,0.327,29,523,2.001,33.9
52,담양,Apr-19,7.9,11.7,12.7,139,1.4,4.6,7.1,1.682,0.102,2.4,188446,0.179,0.068,8.9,842,2.843,84.7
53,담양,May-19,7.8,12.2,18.2,196,2.6,6.9,9.7,2.665,0.196,4,212375,0.328,0.143,8.6,13550,5.198,78.8
54,담양,Jun-19,7.4,9.5,19.8,169,0.9,4.9,6.3,2.105,0.096,2.8,16525,0.184,0.067,3.4,1435,5.329,158
55,담양,Jul-19,7.3,10.1,22.1,214,1.1,4.9,5.1,2.526,0.111,3,219450,0.315,0.09,5.5,24515,13.018,242.2
56,담양,Aug-19,7.3,9.1,25.6,223,1.1,4.2,3.9,3.003,0.123,3.2,150500,0.224,0.097,8,37710,6.699,64.8
57,담양,Sep-19,7.5,9.3,22.7,205,0.9,4.5,3.4,1.939,0.133,2.6,28075,0.131,0.101,4.2,4071,10.641,165.8
58,담양,Oct-19,7.4,12.5,17.9,222,0.8,3.7,2.8,2.511,0.083,2.1,255000,0.097,0.064,3.1,31455,6.811,149.9
59,담양,Nov-19,7.5,11.9,12.9,304,2.3,6.9,12.2,1.741,0.102,3.3,492500,0.174,0.063,9.1,158550,3.572,22.8
60,담양,Dec-19,7.9,15.3,8.6,281,1.9,4.5,5.9,2.107,0.08,3.3,160075,0.053,0.045,13.6,966,3.814,31.6
