site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
우치,Nov-15,11,7,9.7,2.3,6.2,5.2,2.306,0.113,5.1,13.5,294,10200,2.2,0.304,0.983,0.081,0.064,10.1,1354,93.1
우치,Dec-15,12,7,12.3,1.5,4.2,2.3,2.745,0.066,2,7.3,301,6880,2.726,0.183,1.9,0.047,0.029,3.1,252,49.99
우치,Jan-16,1,7.5,12.3,1.5,3.5,4.1,3.025,0.059,3.8,4.7,317,2500,2.931,0.236,2.447,0.037,0.018,5.1,120,47.5
우치,Feb-16,2,7.1,13.5,2.1,4.5,8.6,2.744,0.073,4.3,4.7,271,8075,2.687,0.248,1.956,0.046,0.031,6.7,468,22.29
우치,Mar-16,3,7.2,12,2.7,5.6,15.1,2.506,0.096,4.8,9,287,6940,2.371,0.181,1.916,0.049,0.024,14.9,328,36.39
우치,Apr-16,4,7.3,10.1,3,6.6,16.9,1.907,0.108,5.1,16,255,3475,1.809,0.14,1.332,0.049,0.022,31.6,745,141.03
우치,May-16,5,7.1,11.2,1.9,5.6,11.3,1.773,0.092,4.6,19.8,264,4475,1.696,0.121,1.084,0.06,0.039,13.1,375,46.8
우치,Jun-16,6,6.9,6.9,2.6,8,12.6,2.377,0.119,7,23.5,243,4700,2.283,0.249,1.156,0.079,0.063,7.7,296,101.66
우치,Jul-16,7,7.1,7.9,2.4,5.7,11.8,1.852,0.119,5.4,26.1,204,11300,1.807,0.089,1.298,0.077,0.058,20.7,1293,167.04
우치,Aug-16,8,7,7.3,2.4,7.1,8.2,1.152,0.109,5.7,27.8,286,2052,1.022,0.071,0.419,0.058,0.035,19.4,242,139.77
우치,Sep-16,9,7.3,8.2,1.8,6.4,8.7,1.725,0.098,4.8,22.9,204,10875,1.674,0.162,1.095,0.058,0.048,7.9,1960,59.78
우치,Oct-16,10,7.3,8.7,1.2,5.2,8.6,2.114,0.097,3.9,18.7,190,20000,1.914,0.076,1.247,0.077,0.057,3.8,1450,95.25
우치,Nov-16,11,7.6,10.6,1.4,4.4,3.9,2.209,0.094,3.9,11.8,323,10980,2.143,0.06,1.539,0.063,0.048,9.6,140,120.23
우치,Dec-16,12,7.8,12.3,1.3,3.9,3.3,2.573,0.056,3.5,6.1,356,15875,2.491,0.077,2.068,0.029,0.02,8.6,210,61.39
우치,Jan-17,1,7.4,11.6,1.5,4.3,4.2,2.898,0.079,3.3,3.8,327,2800,2.833,0.224,2.256,0.048,0.029,7.3,180,51.16
우치,Feb-17,2,7.8,12.5,1.8,4.5,5.6,2.929,0.086,3.5,4.8,307,1240,2.852,0.222,2.453,0.057,0.041,8.5,200,43.52
우치,Mar-17,3,7.7,13.6,4,6.6,13.4,2.255,0.091,5.8,10.1,366,1150,2.108,0.062,1.553,0.036,0.014,42.5,173,58.43
우치,Apr-17,4,8.5,11.4,5.9,11,18.1,1.422,0.109,7.8,15.9,329,8188,0.963,0.024,0.642,0.024,0.006,110.6,150,185.56
우치,May-17,5,7.8,10.9,5.8,13.4,21.2,1.626,0.138,9.1,20.6,364,610,1.282,0.124,0.471,0.034,0.01,71.4,56,105.54
우치,Jun-17,6,6.9,7.3,3.9,12.7,12.9,2.142,0.121,9.5,23.7,332,1158,2.047,0.286,0.919,0.058,0.026,32,285,106.73
우치,Jul-17,7,7.3,6.6,2.3,8.4,10.3,1.971,0.118,6.2,26.9,225,7050,1.907,0.162,1.289,0.072,0.047,14.1,1378,287.76
우치,Aug-17,8,7.3,7.5,2.5,7.1,21.5,1.404,0.112,5.3,26.5,183,15600,1.365,0.091,0.953,0.076,0.064,20.4,2218,86.27
우치,Sep-17,9,7.2,8.4,1.7,5.8,6.7,1.412,0.08,4.5,22.4,221,5300,1.384,0.038,0.977,0.054,0.041,10.7,1438,243.14
우치,Oct-17,10,7.8,11.6,1.6,5.5,3.7,1.813,0.071,4.2,17.2,346,2500,1.802,0.092,1.277,0.045,0.03,17.9,275,207.29
우치,Nov-17,11,7.9,11.9,4.1,7.3,9.9,1.917,0.07,6,8.8,493,895,1.722,0.192,1.106,0.02,0.006,77.5,73,32.43
우치,Dec-17,12,7.4,12.7,3.3,5.9,7.5,2.72,0.067,5,4.2,363,2075,2.606,0.269,2.049,0.018,0.005,49.1,558,45.34
우치,Jan-18,1,8,12.1,2.9,5.6,6.7,2.627,0.072,4.5,3.3,328,7000,2.487,0.246,1.844,0.027,0.012,34.1,574,13.64
우치,Feb-18,2,8.2,9.5,3.2,5.8,7.7,2.659,0.095,4.5,4,440,1068,2.564,0.075,1.887,0.033,0.012,46.8,361,43.76
우치,Mar-18,3,7.2,10.7,3.5,7.4,15.6,2.59,0.108,5.5,11,261,11450,2.482,0.202,1.681,0.051,0.028,34.2,1195,7.99
우치,Apr-18,4,7.6,9.8,2.5,6.6,9.2,2.231,0.094,5,15.6,272,4640,1.849,0.064,1.265,0.04,0.023,35.7,380,9.05
우치,May-18,5,7.4,9.2,2.7,7.2,11.6,2.233,0.131,5.9,20.2,253,6525,2.166,0.252,1.316,0.086,0.058,15.9,433,37.53
우치,Jun-18,6,7.1,6.9,2.9,10.8,8.7,1.858,0.115,8.5,24.7,255,2650,1.825,0.12,0.81,0.079,0.05,13.9,278,38.62
우치,Jul-18,7,7.5,8,3.6,9.6,13.8,1.626,0.125,6.8,27.3,276,5040,1.557,0.039,0.85,0.089,0.074,29.7,1000,217.9
우치,Aug-18,8,7.2,7.4,2.5,8.4,9.4,1.399,0.112,6.4,26.9,305,7125,1.358,0.028,0.83,0.077,0.05,17.8,1138,261.09
우치,Sep-18,9,7.5,9.7,2.1,5.3,7.4,1.922,0.082,4.5,23.1,182,8875,1.893,0.031,1.032,0.05,0.036,18.5,1570,109.23
우치,Oct-18,10,8,11.3,2,5.8,5.6,1.969,0.078,5.3,16.2,272,8820,1.926,0.032,1.503,0.045,0.03,13.8,1136,79.99
우치,Nov-18,11,7.5,10.4,1.8,5.8,5.5,2.035,0.088,5.8,11.2,305,5075,1.99,0.013,1.539,0.047,0.038,18.1,310,3.01
우치,Dec-18,12,7.7,13,1.8,4.3,4.5,2.509,0.071,4.9,5.9,319,4400,2.463,0.078,2.044,0.044,0.034,18.5,1098,30.54
우치,Jan-19,1,7.9,12.5,1.7,4.3,4.6,2.71,0.073,4.3,3.4,383,523,2.642,0.092,2.166,0.036,0.014,16.6,178,39.2
우치,Feb-19,2,7.9,13.1,2.8,6.6,8.5,2.502,0.1,5.6,4.7,333,1225,2.414,0.13,1.879,0.037,0.028,41.1,190,24.71
우치,Mar-19,3,8.4,12.5,4.4,9,17,1.753,0.17,7.3,9.5,337,2550,1.542,0.036,0.971,0.039,0.014,77,346,113.55
우치,Apr-19,4,8.2,10.6,4.3,9.5,13.5,1.404,0.161,7,15.1,315,2908,1.23,0.165,0.635,0.052,0.02,52.8,743,126.33
우치,May-19,5,8,8.2,3.7,8.9,16.3,1.501,0.156,6.9,19.7,278,7875,1.406,0.272,0.624,0.066,0.041,40.6,722,85.52
우치,Jun-19,6,6.9,8.6,3.5,9.8,10.5,1.82,0.144,7.9,23.2,252,2900,1.762,0.177,0.834,0.073,0.053,17,941,212.38
우치,Jul-19,7,7.2,7.7,2.6,7.5,10.5,1.856,0.102,6.5,25.5,216,17900,1.807,0.103,1.14,0.07,0.064,9.2,3196,93.1
우치,Aug-19,8,7,7.8,2.6,7.9,6.7,1.13,0.089,7,27.1,219,11975,1.016,0.039,0.648,0.051,0.04,20.6,1813,382.73
