p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,logTC,logFC
7.2 ,8.3 ,191 ,19.0 ,2.6 ,4.6 ,2.9 ,13.0 ,8.1 ,1.775 ,0.060 ,0.107 ,0.018 ,4.302 ,3.5911 ,1.0000 
7.6 ,7.6 ,228 ,19.0 ,3.9 ,7.0 ,4.9 ,38.6 ,13.9 ,1.425 ,0.058 ,0.124 ,0.009 ,2.253 ,4.1399 ,1.7782 
7.2 ,8.4 ,201 ,19.0 ,2.3 ,5.8 ,4.8 ,4.9 ,12.0 ,2.734 ,0.141 ,0.319 ,0.064 ,46.561 ,4.7559 ,2.6021 
7.0 ,9.2 ,210 ,22.0 ,4.6 ,7.4 ,6.2 ,10.6 ,10.6 ,2.549 ,0.118 ,0.178 ,0.047 ,9.025 ,4.4472 ,1.9294 
7.2 ,6.3 ,240 ,23.0 ,4.2 ,9.4 ,7.1 ,11.7 ,5.9 ,2.789 ,0.147 ,0.296 ,0.075 ,7.313 ,4.8865 ,2.0969 
7.3 ,6.2 ,210 ,25.0 ,3.1 ,9.0 ,6.2 ,10.6 ,9.0 ,2.266 ,0.133 ,0.189 ,0.072 ,7.448 ,4.8808 ,2.0607 
7.5 ,7.0 ,234 ,25.0 ,3.5 ,8.6 ,6.7 ,25.5 ,10.2 ,1.881 ,0.103 ,0.137 ,0.031 ,6.107 ,2.7782 ,2.4624 
7.0 ,5.2 ,255 ,25.0 ,2.6 ,5.0 ,8.0 ,6.7 ,6.2 ,2.101 ,0.123 ,0.153 ,0.062 ,5.762 ,3.0000 ,2.3424 
7.1 ,6.8 ,191 ,25.0 ,1.8 ,7.6 ,5.3 ,4.7 ,5.1 ,2.645 ,0.121 ,0.264 ,0.073 ,2.900 ,3.5315 ,2.8325 
7.3 ,7.4 ,168 ,25.0 ,3.0 ,6.1 ,3.8 ,5.2 ,22.3 ,3.731 ,0.115 ,0.095 ,0.037 ,7.089 ,3.8451 ,2.6990 
7.1 ,7.7 ,168 ,25.0 ,2.5 ,5.9 ,3.5 ,8.1 ,17.9 ,2.010 ,0.059 ,0.121 ,0.049 ,109.535 ,4.1139 ,2.7924 
7.3 ,6.5 ,180 ,26.0 ,5.0 ,9.0 ,6.9 ,7.2 ,22.2 ,2.246 ,0.114 ,0.086 ,0.015 ,34.550 ,4.4914 ,3.3010 
7.4 ,6.4 ,128 ,28.0 ,3.4 ,5.2 ,3.1 ,14.6 ,9.5 ,2.029 ,0.076 ,0.122 ,0.042 ,16.470 ,4.2553 ,2.7782 
7.3 ,7.2 ,285 ,26.0 ,3.4 ,5.7 ,3.1 ,10.4 ,8.0 ,1.589 ,0.057 ,0.119 ,0.039 ,13.642 ,3.7782 ,2.9854 
7.3 ,7.1 ,135 ,26.0 ,4.0 ,6.8 ,4.1 ,10.6 ,24.8 ,2.110 ,0.172 ,0.235 ,0.079 ,12.857 ,4.0792 ,3.3010 
7.2 ,7.8 ,426 ,24.0 ,4.1 ,7.3 ,4.2 ,1.6 ,41.3 ,1.666 ,0.250 ,0.146 ,0.091 ,31.574 ,3.8921 ,3.5911 
7.5 ,8.1 ,477 ,23.0 ,3.9 ,8.1 ,4.6 ,5.5 ,17.7 ,2.018 ,0.082 ,0.056 ,0.024 ,103.775 ,4.6435 ,0.3010 
7.4 ,8.8 ,141 ,24.0 ,2.8 ,4.5 ,3.3 ,5.9 ,23.4 ,2.022 ,0.059 ,0.156 ,0.044 ,14.008 ,3.6232 ,3.4314 
6.9 ,6.5 ,158 ,26.0 ,2.9 ,5.3 ,3.2 ,15.3 ,15.9 ,3.422 ,0.056 ,0.119 ,0.031 ,21.127 ,4.0000 ,3.3802 
7.8 ,8.5 ,245 ,19.0 ,2.8 ,5.3 ,4.1 ,8.6 ,16.9 ,1.978 ,0.074 ,0.102 ,0.035 ,11.156 ,3.6990 ,3.5523 
7.1 ,8.4 ,211 ,19.0 ,3.0 ,5.5 ,4.4 ,6.2 ,11.0 ,2.442 ,0.112 ,0.201 ,0.042 ,7.659 ,3.4771 ,3.2041 
7.1 ,7.6 ,286 ,20.0 ,3.4 ,7.0 ,5.2 ,6.5 ,11.2 ,2.348 ,0.076 ,0.086 ,0.037 ,7.377 ,3.4150 ,2.4771 
7.3 ,9.1 ,315 ,18.0 ,3.2 ,6.0 ,4.5 ,5.8 ,10.8 ,2.216 ,0.057 ,0.080 ,0.033 ,5.281 ,3.5563 ,2.9542 
7.5 ,10.8 ,262 ,13.0 ,2.0 ,5.6 ,3.9 ,5.5 ,11.1 ,2.279 ,0.091 ,0.080 ,0.035 ,3.840 ,3.6021 ,2.8451 
7.5 ,6.8 ,278 ,13.0 ,1.8 ,5.4 ,3.7 ,5.1 ,7.8 ,2.130 ,0.061 ,0.087 ,0.028 ,2.917 ,2.9031 ,2.3010 
7.6 ,10.2 ,319 ,11.0 ,1.8 ,5.3 ,4.0 ,6.4 ,4.5 ,2.417 ,0.060 ,0.074 ,0.027 ,1.941 ,3.1461 ,2.0414 
7.4 ,10.5 ,347 ,9.0 ,4.8 ,8.0 ,5.4 ,7.6 ,8.2 ,2.227 ,0.082 ,0.060 ,0.019 ,3.407 ,4.4409 ,3.2711 
7.9 ,11.7 ,391 ,10.0 ,7.5 ,13.4 ,10.2 ,17.8 ,7.0 ,2.503 ,0.075 ,0.053 ,0.033 ,3.393 ,3.5096 ,2.8241 
7.8 ,11.1 ,369 ,9.0 ,6.0 ,11.1 ,6.3 ,15.8 ,11.2 ,3.118 ,0.118 ,0.048 ,0.035 ,2.750 ,4.3838 ,3.9103 
7.8 ,13.1 ,392 ,5.0 ,5.1 ,8.8 ,5.7 ,23.7 ,6.5 ,2.834 ,0.064 ,0.107 ,0.023 ,1.689 ,3.4472 ,2.9699 
7.7 ,12.0 ,384 ,4.0 ,3.2 ,7.1 ,4.7 ,19.8 ,6.0 ,3.390 ,0.111 ,0.072 ,0.068 ,1.680 ,3.0792 ,2.1239 
7.4 ,13.9 ,347 ,5.0 ,2.8 ,6.5 ,4.1 ,18.7 ,7.7 ,3.007 ,0.085 ,0.059 ,0.047 ,3.360 ,3.0792 ,2.0000 
7.0 ,13.2 ,340 ,3.0 ,2.5 ,5.6 ,4.6 ,18.5 ,18.3 ,3.609 ,0.137 ,0.102 ,0.076 ,3.548 ,2.6365 ,1.7782 
6.6 ,13.1 ,336 ,3.0 ,3.7 ,6.5 ,4.8 ,7.2 ,10.7 ,2.927 ,0.099 ,0.220 ,0.059 ,1.890 ,2.7340 ,1.6021 
7.8 ,13.2 ,355 ,2.0 ,2.0 ,5.1 ,3.6 ,6.0 ,8.8 ,2.976 ,0.124 ,0.166 ,0.089 ,2.365 ,2.5145 ,1.4914 
7.4 ,12.4 ,396 ,2.0 ,2.1 ,4.0 ,3.7 ,4.8 ,5.0 ,3.460 ,0.114 ,0.187 ,0.090 ,2.115 ,2.6712 ,1.9395 
7.3 ,13.8 ,338 ,2.0 ,2.9 ,4.7 ,3.8 ,7.6 ,8.4 ,3.415 ,0.136 ,0.328 ,0.089 ,2.221 ,2.9325 ,2.2330 
7.3 ,13.8 ,387 ,1.0 ,2.4 ,4.1 ,3.1 ,4.0 ,4.2 ,3.256 ,0.095 ,0.197 ,0.090 ,1.975 ,2.4843 ,0.9542 
7.6 ,12.8 ,322 ,5.0 ,2.5 ,3.4 ,4.0 ,14.2 ,9.5 ,3.496 ,0.116 ,0.282 ,0.078 ,2.335 ,2.6355 ,1.9345 
