 Date,Chla,WT,y_t+1,Chla_t-12,WT_t-12,Chla_t-11,WT_t-11,Chla_t-10,WT_t-10,Chla_t-9,WT_t-9,Chla_t-8,WT_t-8,Chla_t-7,WT_t-7,Chla_t-6,WT_t-6,Chla_t-5,WT_t-5,Chla_t-4,WT_t-4,Chla_t-3,WT_t-3,Chla_t-2,WT_t-2,Chla_t-1,WT_t-1,Chla_t-0,WT_t-0
2016.08.16,69.5,30.1,53,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1
2016.08.22,53,30.2,52.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2
2016.08.29,52.8,25.4,90.4,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4
2016.09.05,90.4,25.2,31.9,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2
2016.09.12,31.9,25.3,3.4,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3
2016.09.20,3.4,21.8,72.2,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8
2016.09.26,72.2,23.5,10.5,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5
2016.10.04,10.5,22.9,6.6,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9
2016.10.10,6.6,17.9,4.1,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9
2016.10.18,4.1,18.1,12.3,45.5,29,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1
2016.10.24,12.3,19,8.9,39.7,30.1,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19
2016.11.01,8.9,14.6,34.4,90.1,29.1,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6
2016.11.07,34.4,14,62.8,69.5,30.1,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14
2016.11.14,62.8,13.6,65.9,53,30.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6
2016.11.21,65.9,14.3,69.2,52.8,25.4,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3
2016.11.28,69.2,9.6,34.1,90.4,25.2,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6
2016.12.05,34.1,9,63.5,31.9,25.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9
2016.12.12,63.5,8,40.3,3.4,21.8,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8
2016.12.19,40.3,7.4,48.2,72.2,23.5,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4
2016.12.26,48.2,8.8,26.4,10.5,22.9,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8
2017.01.02,26.4,6.2,43.8,6.6,17.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2
2017.01.09,43.8,8.3,45.9,4.1,18.1,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3
2017.01.16,45.9,5.3,56.5,12.3,19,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3
2017.01.24,56.5,5.1,41.8,8.9,14.6,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1
2017.01.31,41.8,5.7,31.4,34.4,14,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7
2017.02.06,31.4,6.3,99,62.8,13.6,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3
2017.02.13,99,6.1,73.1,65.9,14.3,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1
2017.02.20,73.1,8.3,73.7,69.2,9.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3
2017.02.27,73.7,7.4,77.6,34.1,9,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4
2017.03.06,77.6,9.9,53.1,63.5,8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9
2017.03.13,53.1,10.2,96.8,40.3,7.4,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2
2017.03.20,96.8,11.9,177.9,48.2,8.8,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9
2017.03.27,177.9,12.4,60.3,26.4,6.2,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4
2017.04.03,60.3,13.5,29,43.8,8.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5
2017.04.10,29,17,27.3,45.9,5.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17
2017.04.17,27.3,18,20.3,56.5,5.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18
2017.04.24,20.3,17.7,35.1,41.8,5.7,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7
2017.05.08,35.1,20.7,27.6,31.4,6.3,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7
2017.05.15,27.6,20.5,38.4,99,6.1,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5
2017.05.22,38.4,22.1,39.5,73.1,8.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1
2017.05.29,39.5,22.9,44.3,73.7,7.4,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9
2017.06.05,44.3,23.4,94.6,77.6,9.9,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4
2017.06.12,94.6,23.3,38.4,53.1,10.2,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3
2017.06.19,38.4,24.4,43.9,96.8,11.9,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4
2017.06.26,43.9,25.4,27,177.9,12.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4
2017.07.03,27,26.2,31.4,60.3,13.5,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2
2017.07.10,31.4,27.2,2.4,29,17,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2
2017.07.17,2.4,26,21.1,27.3,18,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26
2017.07.24,21.1,29.2,22.4,20.3,17.7,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2
2017.08.07,22.4,29.9,11.2,35.1,20.7,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9
2017.08.14,11.2,27.9,9.6,27.6,20.5,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9
2017.08.21,9.6,26.5,12.3,38.4,22.1,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5
2017.08.28,12.3,25.7,49.4,39.5,22.9,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7
2017.09.04,49.4,25,5,44.3,23.4,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25
2017.09.12,5,22.2,70,94.6,23.3,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2
2017.09.18,70,23.4,31,38.4,24.4,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4
2017.09.25,31,24,61.9,43.9,25.4,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24
2017.10.10,61.9,21.4,37.5,27,26.2,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4
2017.10.16,37.5,19.1,52.5,31.4,27.2,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1
2017.10.23,52.5,18.3,43.6,2.4,26,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3
2017.10.30,43.6,16.9,26.9,21.1,29.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9
2017.11.06,26.9,14.4,24.2,22.4,29.9,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4
2017.11.13,24.2,13.9,75.7,11.2,27.9,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9
2017.11.20,75.7,9.9,65.4,9.6,26.5,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9
2017.11.27,65.4,10.2,42.9,12.3,25.7,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2
2017.12.04,42.9,9.4,30.1,49.4,25,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4
2017.12.11,30.1,8,19.1,5,22.2,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8
2017.12.18,19.1,5.8,70.8,70,23.4,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8
2017.12.26,70.8,6.4,24.9,31,24,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4
2018.01.02,24.9,6.9,42.1,61.9,21.4,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9
2018.01.08,42.1,6.3,80.8,37.5,19.1,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3
2018.01.15,80.8,5.3,67.2,52.5,18.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3
2018.01.22,67.2,7,67.3,43.6,16.9,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7
2018.01.29,67.3,3.6,51.1,26.9,14.4,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6
2018.02.05,51.1,4.5,64.5,24.2,13.9,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5
2018.02.13,64.5,6.1,100.2,75.7,9.9,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1
2018.02.19,100.2,6.9,64.3,65.4,10.2,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9
2018.02.26,64.3,8.5,72.6,42.9,9.4,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5
2018.03.05,72.6,10.1,67.8,30.1,8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1
2018.03.12,67.8,10.6,6.8,19.1,5.8,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6
2018.03.19,6.8,12.3,20.4,70.8,6.4,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3
2018.03.26,20.4,13.8,54.5,24.9,6.9,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3,20.4,13.8
2018.04.02,54.5,17.6,24,42.1,6.3,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3,20.4,13.8,54.5,17.6
2018.04.09,24,13.8,54.2,80.8,5.3,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3,20.4,13.8,54.5,17.6,24,13.8
2018.04.16,54.2,14.8,32.9,67.2,7,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3,20.4,13.8,54.5,17.6,24,13.8,54.2,14.8
2018.04.30,32.9,20,76.3,67.3,3.6,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3,20.4,13.8,54.5,17.6,24,13.8,54.2,14.8,32.9,20
2018.05.08,76.3,18.9,50.5,51.1,4.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3,20.4,13.8,54.5,17.6,24,13.8,54.2,14.8,32.9,20,76.3,18.9
2018.05.14,50.5,21.3,35.5,64.5,6.1,100.2,6.9,64.3,8.5,72.6,10.1,67.8,10.6,6.8,12.3,20.4,13.8,54.5,17.6,24,13.8,54.2,14.8,32.9,20,76.3,18.9,50.5,21.3
