 Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2017.08.28,12.3,49.4,39.5,44.3,94.6,38.4,43.9,27,31.4,2.4,21.1,22.4,11.2,9.6,12.3
2017.09.04,49.4,5,44.3,94.6,38.4,43.9,27,31.4,2.4,21.1,22.4,11.2,9.6,12.3,49.4
2017.09.12,5,70,94.6,38.4,43.9,27,31.4,2.4,21.1,22.4,11.2,9.6,12.3,49.4,5
2017.09.18,70,31,38.4,43.9,27,31.4,2.4,21.1,22.4,11.2,9.6,12.3,49.4,5,70
2017.09.25,31,61.9,43.9,27,31.4,2.4,21.1,22.4,11.2,9.6,12.3,49.4,5,70,31
2017.10.10,61.9,37.5,27,31.4,2.4,21.1,22.4,11.2,9.6,12.3,49.4,5,70,31,61.9
2017.10.16,37.5,52.5,31.4,2.4,21.1,22.4,11.2,9.6,12.3,49.4,5,70,31,61.9,37.5
2017.10.23,52.5,43.6,2.4,21.1,22.4,11.2,9.6,12.3,49.4,5,70,31,61.9,37.5,52.5
2017.10.30,43.6,26.9,21.1,22.4,11.2,9.6,12.3,49.4,5,70,31,61.9,37.5,52.5,43.6
2017.11.06,26.9,24.2,22.4,11.2,9.6,12.3,49.4,5,70,31,61.9,37.5,52.5,43.6,26.9
2017.11.13,24.2,75.7,11.2,9.6,12.3,49.4,5,70,31,61.9,37.5,52.5,43.6,26.9,24.2
2017.11.20,75.7,65.4,9.6,12.3,49.4,5,70,31,61.9,37.5,52.5,43.6,26.9,24.2,75.7
2017.11.27,65.4,42.9,12.3,49.4,5,70,31,61.9,37.5,52.5,43.6,26.9,24.2,75.7,65.4
2017.12.04,42.9,30.1,49.4,5,70,31,61.9,37.5,52.5,43.6,26.9,24.2,75.7,65.4,42.9
2017.12.11,30.1,19.1,5,70,31,61.9,37.5,52.5,43.6,26.9,24.2,75.7,65.4,42.9,30.1
2017.12.18,19.1,70.8,70,31,61.9,37.5,52.5,43.6,26.9,24.2,75.7,65.4,42.9,30.1,19.1
2017.12.26,70.8,24.9,31,61.9,37.5,52.5,43.6,26.9,24.2,75.7,65.4,42.9,30.1,19.1,70.8
2018.01.02,24.9,42.1,61.9,37.5,52.5,43.6,26.9,24.2,75.7,65.4,42.9,30.1,19.1,70.8,24.9
2018.01.08,42.1,80.8,37.5,52.5,43.6,26.9,24.2,75.7,65.4,42.9,30.1,19.1,70.8,24.9,42.1
2018.01.15,80.8,67.2,52.5,43.6,26.9,24.2,75.7,65.4,42.9,30.1,19.1,70.8,24.9,42.1,80.8
2018.01.22,67.2,67.3,43.6,26.9,24.2,75.7,65.4,42.9,30.1,19.1,70.8,24.9,42.1,80.8,67.2
2018.01.29,67.3,51.1,26.9,24.2,75.7,65.4,42.9,30.1,19.1,70.8,24.9,42.1,80.8,67.2,67.3
2018.02.05,51.1,64.5,24.2,75.7,65.4,42.9,30.1,19.1,70.8,24.9,42.1,80.8,67.2,67.3,51.1
2018.02.13,64.5,100.2,75.7,65.4,42.9,30.1,19.1,70.8,24.9,42.1,80.8,67.2,67.3,51.1,64.5
