p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,Rain,logTC,logFC
7.4 ,10.8 ,309.3 ,10.9 ,3.0 ,5.8 ,4.6 ,16.9 ,8.9 ,1.995 ,0.094 ,0.226 ,0.035 ,6.325 ,95.0 ,3.8599 ,2.8287 
7.3 ,11.9 ,357.8 ,5.3 ,1.9 ,3.7 ,3.3 ,5.8 ,3.9 ,3.071 ,0.064 ,0.162 ,0.035 ,3.649 ,19.3 ,2.6789 ,2.0633 
7.5 ,11.8 ,352.0 ,2.4 ,2.4 ,3.9 ,2.6 ,17.7 ,5.4 ,3.396 ,0.064 ,0.163 ,0.023 ,2.453 ,26.4 ,2.5731 ,1.6305 
8.4 ,13.9 ,338.8 ,4.8 ,3.9 ,5.7 ,4.2 ,40.2 ,11.6 ,2.990 ,0.092 ,0.095 ,0.008 ,2.487 ,8.6 ,2.4354 ,1.8757 
8.5 ,13.0 ,394.3 ,9.1 ,6.1 ,9.1 ,6.8 ,91.4 ,20.8 ,2.226 ,0.117 ,0.076 ,0.006 ,1.915 ,101.7 ,2.3233 ,1.4708 
7.8 ,10.2 ,367.0 ,15.8 ,4.0 ,7.5 ,5.3 ,52.3 ,14.7 ,1.437 ,0.090 ,0.067 ,0.012 ,4.267 ,62.5 ,3.0264 ,1.8117 
7.3 ,8.6 ,276.0 ,19.7 ,5.2 ,9.2 ,7.4 ,34.7 ,22.6 ,1.772 ,0.163 ,0.357 ,0.044 ,6.879 ,56.0 ,3.8344 ,2.7883 
7.3 ,6.6 ,291.0 ,24.0 ,3.9 ,8.2 ,7.9 ,16.3 ,11.5 ,2.313 ,0.138 ,0.354 ,0.054 ,4.678 ,72.0 ,3.3917 ,2.4829 
7.3 ,6.9 ,227.2 ,25.6 ,3.4 ,7.3 ,6.0 ,24.8 ,9.5 ,1.709 ,0.106 ,0.122 ,0.037 ,6.229 ,240.9 ,3.7659 ,2.7471 
7.3 ,8.6 ,129.0 ,24.2 ,1.7 ,5.4 ,3.5 ,3.6 ,17.1 ,1.894 ,0.108 ,0.189 ,0.057 ,38.377 ,370.2 ,4.0039 ,3.0859 
7.3 ,8.4 ,243.8 ,22.4 ,1.5 ,4.4 ,3.6 ,3.8 ,7.0 ,1.560 ,0.071 ,0.063 ,0.035 ,7.388 ,116.5 ,3.2670 ,2.6049 
7.1 ,9.2 ,263.0 ,17.8 ,2.2 ,5.3 ,4.5 ,3.7 ,5.8 ,1.775 ,0.073 ,0.110 ,0.040 ,6.277 ,105.0 ,3.6410 ,2.8224 
7.3 ,11.3 ,303.0 ,11.4 ,1.6 ,4.3 ,3.7 ,8.3 ,4.1 ,2.048 ,0.060 ,0.080 ,0.028 ,4.804 ,95.0 ,3.2676 ,2.2191 
7.2 ,13.6 ,300.4 ,5.0 ,1.0 ,3.8 ,2.9 ,2.4 ,2.8 ,2.522 ,0.044 ,0.119 ,0.025 ,8.434 ,47.5 ,3.0710 ,2.5197 
7.2 ,13.9 ,279.3 ,4.3 ,1.6 ,3.8 ,3.0 ,4.9 ,4.6 ,2.619 ,0.044 ,0.151 ,0.019 ,4.897 ,47.2 ,2.6264 ,1.8715 
7.1 ,12.7 ,314.8 ,4.8 ,2.0 ,3.6 ,3.0 ,6.5 ,4.6 ,2.589 ,0.051 ,0.145 ,0.020 ,4.571 ,23.9 ,3.0475 ,2.3841 
7.6 ,12.2 ,376.4 ,8.3 ,4.4 ,7.8 ,5.8 ,47.0 ,12.2 ,2.085 ,0.075 ,0.077 ,0.009 ,2.509 ,36.5 ,2.6845 ,1.9904 
7.6 ,10.0 ,285.3 ,15.4 ,4.3 ,7.5 ,4.9 ,54.3 ,20.2 ,1.819 ,0.119 ,0.158 ,0.020 ,5.934 ,145.5 ,3.8491 ,2.4208 
7.2 ,7.8 ,254.8 ,19.7 ,3.4 ,7.0 ,5.5 ,22.6 ,12.1 ,1.724 ,0.119 ,0.306 ,0.046 ,5.461 ,48.6 ,2.9361 ,2.1232 
