p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,logTC,logFC
6.9 ,8.3 ,281 ,20.0 ,2.9 ,5.4 ,4.0 ,12.0 ,11.5 ,4.159 ,0.181 ,0.579 ,0.109 ,26.292 ,3.8062 ,3.6990 
6.9 ,8.3 ,285 ,20.0 ,3.0 ,5.4 ,4.4 ,13.7 ,12.9 ,4.021 ,0.232 ,0.687 ,0.169 ,25.973 ,3.7634 ,3.4771 
6.8 ,7.3 ,355 ,21.0 ,3.2 ,6.6 ,5.1 ,19.6 ,12.7 ,5.371 ,0.331 ,1.305 ,0.233 ,19.398 ,4.9138 ,4.3222 
7.1 ,7.7 ,374 ,19.0 ,3.2 ,6.6 ,4.5 ,11.6 ,12.6 ,5.182 ,0.171 ,0.798 ,0.130 ,17.323 ,3.6232 ,3.2788 
7.3 ,10.7 ,338 ,15.0 ,2.5 ,6.8 ,4.6 ,8.2 ,8.2 ,4.560 ,0.183 ,0.765 ,0.120 ,16.747 ,3.8692 ,3.4314 
7.3 ,6.0 ,397 ,15.0 ,3.6 ,6.6 ,5.1 ,7.5 ,13.1 ,5.908 ,0.258 ,1.650 ,0.181 ,14.475 ,3.7924 ,3.1139 
7.1 ,8.7 ,433 ,12.0 ,3.9 ,6.9 ,4.7 ,13.8 ,31.3 ,6.192 ,0.249 ,1.486 ,0.158 ,13.170 ,3.8451 ,2.9031 
7.1 ,9.7 ,405 ,11.0 ,4.7 ,7.5 ,5.4 ,14.5 ,31.0 ,6.365 ,0.551 ,1.857 ,0.410 ,14.808 ,3.9542 ,3.4472 
7.4 ,9.9 ,491 ,12.0 ,5.5 ,9.9 ,6.3 ,33.7 ,23.5 ,7.126 ,0.414 ,2.456 ,0.290 ,12.741 ,4.1761 ,3.5563 
7.4 ,9.9 ,537 ,11.0 ,5.0 ,8.6 ,5.7 ,24.9 ,28.0 ,7.277 ,0.528 ,3.213 ,0.386 ,13.199 ,3.9345 ,3.3010 
7.4 ,11.0 ,550 ,8.0 ,5.5 ,8.3 ,5.9 ,32.3 ,24.6 ,7.952 ,0.186 ,3.259 ,0.086 ,13.756 ,3.8195 ,3.2041 
6.7 ,11.7 ,498 ,5.0 ,6.5 ,9.1 ,6.8 ,40.5 ,52.2 ,6.824 ,0.322 ,2.542 ,0.111 ,16.043 ,4.8573 ,4.2041 
7.4 ,13.2 ,497 ,9.0 ,4.9 ,9.8 ,6.1 ,35.2 ,37.8 ,8.900 ,0.478 ,3.732 ,0.324 ,12.448 ,4.1335 ,3.0000 
7.3 ,13.3 ,554 ,6.0 ,6.1 ,8.5 ,6.2 ,31.5 ,34.8 ,9.853 ,0.409 ,5.338 ,0.310 ,13.603 ,4.5563 ,3.8062 
6.3 ,12.6 ,474 ,6.0 ,5.1 ,8.6 ,6.2 ,26.7 ,21.9 ,9.512 ,0.771 ,4.962 ,0.612 ,12.336 ,3.7966 ,2.7388 
7.8 ,12.7 ,514 ,4.0 ,5.9 ,8.0 ,6.3 ,25.7 ,23.1 ,9.022 ,0.524 ,5.774 ,0.389 ,13.716 ,3.7236 ,2.1903 
7.3 ,12.3 ,541 ,4.0 ,4.9 ,8.5 ,7.0 ,16.9 ,23.0 ,10.802 ,0.479 ,6.866 ,0.306 ,15.096 ,4.2274 ,3.4276 
7.3 ,12.5 ,540 ,5.0 ,6.2 ,9.1 ,7.0 ,10.1 ,29.7 ,10.780 ,0.653 ,7.420 ,0.511 ,11.697 ,4.3825 ,3.8248 
7.0 ,11.3 ,537 ,4.0 ,6.3 ,9.3 ,7.2 ,10.8 ,21.8 ,10.810 ,0.380 ,7.603 ,0.372 ,14.704 ,3.6812 ,2.3892 
7.2 ,10.1 ,466 ,7.0 ,5.9 ,9.8 ,6.8 ,25.7 ,37.6 ,10.625 ,0.561 ,7.374 ,0.355 ,14.325 ,4.6371 ,3.6137 
7.0 ,9.9 ,527 ,5.0 ,7.1 ,10.1 ,6.7 ,28.0 ,23.9 ,9.826 ,0.421 ,6.905 ,0.230 ,13.276 ,4.1087 ,2.9818 
6.7 ,10.8 ,505 ,9.0 ,6.6 ,9.9 ,8.5 ,42.1 ,20.5 ,9.068 ,0.483 ,6.290 ,0.282 ,13.544 ,3.8891 ,2.5391 
7.3 ,9.0 ,310 ,7.0 ,6.7 ,10.8 ,7.7 ,13.9 ,57.7 ,6.747 ,0.357 ,1.844 ,0.112 ,35.582 ,4.5051 ,3.9294 
7.3 ,11.2 ,388 ,8.0 ,5.0 ,7.6 ,6.6 ,9.3 ,39.3 ,7.871 ,0.478 ,4.060 ,0.337 ,15.875 ,3.6812 ,2.2553 
7.9 ,11.3 ,484 ,9.0 ,5.3 ,9.7 ,8.2 ,34.3 ,28.8 ,10.248 ,0.596 ,5.445 ,0.414 ,15.849 ,3.6628 ,2.4314 
7.8 ,11.2 ,403 ,10.0 ,5.3 ,9.6 ,8.1 ,65.0 ,21.6 ,6.799 ,0.304 ,3.854 ,0.173 ,13.290 ,3.2240 ,1.9777 
7.7 ,12.5 ,478 ,12.0 ,9.4 ,12.3 ,9.4 ,84.6 ,26.1 ,9.757 ,0.855 ,5.011 ,0.619 ,10.913 ,2.8633 ,2.5211 
7.7 ,9.3 ,459 ,14.0 ,10.6 ,14.3 ,10.4 ,56.3 ,67.7 ,8.589 ,0.838 ,5.241 ,0.628 ,32.298 ,4.4914 ,3.6021 
7.8 ,13.5 ,397 ,15.0 ,11.8 ,15.5 ,9.3 ,161.2 ,35.2 ,6.125 ,0.431 ,2.602 ,0.202 ,17.084 ,4.0000 ,2.7782 
7.9 ,11.7 ,479 ,17.0 ,12.1 ,14.0 ,9.8 ,117.2 ,35.3 ,8.021 ,0.877 ,4.015 ,0.616 ,14.063 ,3.3010 ,1.9031 
7.5 ,8.3 ,369 ,16.0 ,8.7 ,9.6 ,8.6 ,43.2 ,19.2 ,5.938 ,0.280 ,2.975 ,0.148 ,19.839 ,4.2810 ,2.8325 
8.1 ,10.5 ,291 ,20.0 ,7.7 ,10.6 ,7.5 ,125.0 ,18.5 ,4.405 ,0.268 ,1.418 ,0.115 ,31.588 ,4.0114 ,2.4150 
7.4 ,9.6 ,146 ,17.0 ,5.2 ,8.2 ,4.8 ,8.4 ,77.7 ,3.470 ,0.287 ,0.489 ,0.090 ,192.455 ,4.8808 ,4.4385 
7.9 ,10.2 ,259 ,22.0 ,7.0 ,8.0 ,5.1 ,58.7 ,29.6 ,4.446 ,0.212 ,1.364 ,0.067 ,23.887 ,3.1761 ,2.4150 
7.4 ,9.1 ,311 ,22.0 ,5.9 ,8.2 ,5.9 ,21.4 ,10.8 ,4.823 ,0.221 ,1.926 ,0.025 ,24.821 ,3.0212 ,2.5315 
7.1 ,6.7 ,325 ,22.0 ,5.1 ,7.9 ,5.9 ,24.2 ,18.7 ,5.091 ,0.195 ,2.088 ,0.099 ,24.474 ,2.6990 ,2.0792 
7.1 ,7.0 ,280 ,24.0 ,6.7 ,7.9 ,7.0 ,51.3 ,25.1 ,4.488 ,0.231 ,1.492 ,0.126 ,22.465 ,3.0073 ,2.1461 
6.6 ,7.9 ,334 ,25.0 ,6.5 ,9.6 ,7.9 ,32.4 ,27.0 ,4.885 ,0.358 ,1.940 ,0.193 ,25.087 ,3.5682 ,2.7924 
7.6 ,8.2 ,339 ,25.0 ,8.7 ,13.0 ,9.2 ,109.9 ,21.2 ,4.371 ,0.270 ,1.290 ,0.138 ,19.912 ,3.1855 ,2.5832 
7.9 ,7.8 ,159 ,23.0 ,7.0 ,9.1 ,7.1 ,10.9 ,89.8 ,3.676 ,0.327 ,0.758 ,0.120 ,68.359 ,4.4928 ,3.7634 
7.1 ,6.5 ,208 ,26.0 ,7.4 ,9.1 ,6.2 ,23.6 ,79.1 ,4.621 ,0.329 ,1.717 ,0.108 ,184.455 ,4.9345 ,4.2553 
8.2 ,8.6 ,98 ,22.0 ,4.9 ,10.0 ,5.5 ,9.4 ,229.6 ,2.719 ,0.420 ,0.203 ,0.106 ,619.671 ,4.4771 ,3.8502 
7.4 ,8.9 ,232 ,28.0 ,4.8 ,8.2 ,5.0 ,9.2 ,39.6 ,4.490 ,0.223 ,1.544 ,0.127 ,44.147 ,3.9542 ,3.7417 
7.1 ,5.2 ,161 ,27.0 ,5.1 ,7.7 ,5.5 ,17.9 ,97.6 ,4.021 ,0.406 ,1.622 ,0.120 ,59.466 ,4.9542 ,4.5315 
7.4 ,7.3 ,141 ,29.0 ,2.3 ,6.3 ,4.0 ,12.9 ,21.0 ,2.164 ,0.154 ,0.402 ,0.105 ,559.018 ,5.1139 ,4.6532 
6.9 ,7.9 ,99 ,24.0 ,3.0 ,4.8 ,3.6 ,3.1 ,22.5 ,2.395 ,0.134 ,0.138 ,0.060 ,320.343 ,4.5563 ,3.9777 
7.2 ,8.2 ,201 ,27.0 ,2.2 ,5.1 ,3.4 ,2.7 ,15.5 ,3.564 ,0.209 ,0.676 ,0.140 ,81.668 ,4.5051 ,3.9542 
6.9 ,7.3 ,188 ,24.0 ,3.1 ,5.3 ,3.9 ,7.9 ,11.9 ,2.865 ,0.168 ,0.415 ,0.117 ,65.771 ,4.1399 ,3.4314 
7.1 ,9.4 ,257 ,28.0 ,3.6 ,6.2 ,4.2 ,29.5 ,9.4 ,3.714 ,0.181 ,0.889 ,0.106 ,42.577 ,4.0682 ,3.7443 
8.0 ,9.5 ,294 ,28.0 ,5.4 ,10.0 ,6.0 ,102.3 ,11.8 ,3.363 ,0.233 ,0.173 ,0.122 ,48.960 ,2.9926 ,2.2577 
9.1 ,10.8 ,237 ,28.0 ,5.4 ,8.1 ,5.4 ,74.2 ,9.8 ,2.597 ,0.114 ,0.114 ,0.014 ,52.152 ,3.9294 ,2.2900 
7.7 ,8.6 ,313 ,27.0 ,7.0 ,7.4 ,4.6 ,66.6 ,9.0 ,3.956 ,0.133 ,1.921 ,0.078 ,55.343 ,4.2095 ,2.3201 
8.0 ,9.5 ,294 ,28.0 ,5.4 ,10.0 ,6.0 ,102.3 ,11.8 ,3.363 ,0.233 ,0.173 ,0.122 ,48.960 ,2.9926 ,2.2577 
9.1 ,10.8 ,237 ,28.0 ,5.4 ,8.1 ,5.4 ,74.2 ,9.8 ,2.597 ,0.114 ,0.114 ,0.014 ,52.152 ,3.9294 ,2.2900 
7.7 ,8.6 ,313 ,27.0 ,7.0 ,7.4 ,4.6 ,66.6 ,9.0 ,3.956 ,0.133 ,1.921 ,0.078 ,55.343 ,4.2095 ,2.3201 
7.7 ,9.1 ,292 ,22.0 ,5.1 ,6.3 ,4.6 ,43.5 ,10.0 ,4.399 ,0.241 ,1.241 ,0.142 ,40.658 ,3.6056 ,3.3979 
7.5 ,11.1 ,344 ,19.6 ,2.6 ,6.1 ,4.6 ,13.6 ,5.4 ,6.314 ,0.559 ,1.521 ,0.475 ,25.973 ,3.4150 ,2.9868 
6.7 ,10.9 ,386 ,19.6 ,5.1 ,7.3 ,4.6 ,32.6 ,12.3 ,6.494 ,0.562 ,1.744 ,0.476 ,19.398 ,3.2553 ,2.8028 
8.6 ,13.7 ,423 ,18.8 ,6.8 ,11.1 ,7.1 ,103.4 ,10.7 ,6.499 ,0.519 ,1.495 ,0.438 ,17.323 ,3.4510 ,1.9777 
8.1 ,10.4 ,402 ,17.6 ,7.1 ,9.1 ,6.9 ,77.1 ,15.5 ,6.170 ,0.646 ,1.376 ,0.496 ,16.747 ,2.6990 ,1.3979 
8.0 ,13.4 ,454 ,18.2 ,8.7 ,10.8 ,8.1 ,140.3 ,29.8 ,8.026 ,0.741 ,1.690 ,0.458 ,11.941 ,3.5185 ,2.9566 
7.6 ,9.7 ,407 ,18.4 ,5.9 ,8.5 ,7.2 ,55.2 ,19.6 ,5.726 ,0.506 ,0.694 ,0.365 ,16.946 ,3.2672 ,2.8451 
7.3 ,9.9 ,425 ,14.9 ,5.9 ,8.1 ,5.7 ,54.4 ,20.4 ,6.073 ,0.623 ,0.976 ,0.478 ,35.593 ,3.6435 ,3.1959 
6.7 ,10.3 ,304 ,10.4 ,3.5 ,6.9 ,5.0 ,5.3 ,18.7 ,5.585 ,0.475 ,0.477 ,0.356 ,20.330 ,4.3424 ,3.5933 
7.2 ,11.2 ,428 ,12.6 ,3.2 ,6.8 ,5.2 ,10.7 ,23.7 ,5.573 ,0.518 ,1.464 ,0.440 ,25.162 ,3.9031 ,3.0000 
7.4 ,13.4 ,428 ,8.1 ,1.8 ,5.2 ,3.8 ,4.0 ,4.9 ,4.867 ,0.408 ,0.534 ,0.360 ,24.751 ,3.6435 ,3.2041 
7.1 ,13.8 ,474 ,8.3 ,3.3 ,6.2 ,4.7 ,15.4 ,6.1 ,6.262 ,0.424 ,1.106 ,0.387 ,25.525 ,3.6532 ,2.5092 
6.5 ,11.8 ,468 ,7.1 ,3.1 ,6.4 ,5.3 ,12.1 ,5.6 ,7.850 ,0.660 ,1.932 ,0.530 ,18.327 ,3.8921 ,3.3617 
7.2 ,15.0 ,480 ,4.1 ,4.8 ,8.0 ,6.6 ,25.4 ,7.9 ,7.792 ,0.600 ,4.442 ,0.538 ,10.403 ,3.5966 ,2.9768 
7.9 ,14.3 ,513 ,5.9 ,4.7 ,8.4 ,6.6 ,25.4 ,7.1 ,10.901 ,0.888 ,5.014 ,0.797 ,12.313 ,4.0719 ,3.0414 
7.2 ,12.8 ,508 ,6.1 ,6.7 ,10.3 ,7.3 ,66.6 ,15.3 ,12.401 ,0.844 ,6.125 ,0.493 ,10.369 ,4.3243 ,3.8062 
7.9 ,15.6 ,461 ,4.3 ,5.6 ,11.3 ,7.2 ,75.5 ,14.1 ,10.239 ,0.236 ,3.684 ,0.057 ,13.402 ,2.6021 ,1.0000 
8.5 ,16.3 ,485 ,5.9 ,6.4 ,10.3 ,7.7 ,54.4 ,39.9 ,8.903 ,0.611 ,4.205 ,0.402 ,11.425 ,3.8325 ,3.1804 
8.3 ,12.8 ,478 ,4.7 ,6.3 ,10.0 ,6.9 ,40.4 ,12.5 ,8.084 ,0.462 ,4.362 ,0.389 ,13.781 ,4.5966 ,3.9685 
7.3 ,13.5 ,554 ,6.6 ,6.7 ,12.0 ,8.4 ,83.7 ,18.2 ,10.925 ,0.639 ,6.526 ,0.491 ,14.019 ,3.8573 ,2.4698 
7.1 ,12.5 ,517 ,5.5 ,6.1 ,12.3 ,9.0 ,64.4 ,15.1 ,11.579 ,0.593 ,7.625 ,0.363 ,12.188 ,3.9823 ,3.0792 
7.2 ,10.1 ,518 ,6.6 ,6.1 ,10.1 ,8.0 ,34.2 ,9.4 ,12.827 ,0.601 ,7.382 ,0.383 ,10.597 ,4.3655 ,3.5944 
7.4 ,10.6 ,452 ,10.5 ,6.7 ,12.7 ,9.7 ,63.1 ,13.2 ,13.563 ,0.571 ,10.295 ,0.417 ,17.503 ,4.8195 ,4.1139 
7.6 ,12.7 ,461 ,9.6 ,6.5 ,11.7 ,10.4 ,43.6 ,16.6 ,12.106 ,0.387 ,6.510 ,0.240 ,14.281 ,3.6990 ,2.8603 
7.8 ,12.4 ,534 ,10.3 ,7.0 ,12.2 ,9.4 ,67.4 ,12.6 ,11.305 ,0.874 ,8.069 ,0.737 ,11.992 ,4.0969 ,3.4997 
7.6 ,7.9 ,458 ,14.8 ,8.2 ,12.0 ,9.3 ,104.0 ,21.5 ,10.545 ,0.609 ,5.972 ,0.420 ,23.073 ,4.2330 ,2.8751 
7.3 ,11.1 ,332 ,12.8 ,7.3 ,12.9 ,7.5 ,90.3 ,29.9 ,6.937 ,0.501 ,2.682 ,0.157 ,22.251 ,4.8837 ,4.4150 
7.8 ,13.4 ,344 ,15.1 ,6.2 ,11.8 ,7.0 ,151.1 ,13.8 ,6.007 ,0.314 ,2.033 ,0.160 ,18.901 ,4.0792 ,2.3979 
8.7 ,10.9 ,393 ,19.2 ,6.6 ,11.5 ,8.4 ,74.1 ,8.1 ,7.079 ,0.481 ,3.855 ,0.396 ,12.567 ,2.9777 ,1.6021 
7.2 ,8.1 ,307 ,17.2 ,6.0 ,10.4 ,7.5 ,61.3 ,13.8 ,4.901 ,0.400 ,2.357 ,0.269 ,20.278 ,4.1447 ,3.3802 
7.3 ,11.3 ,310 ,21.1 ,6.4 ,11.0 ,7.2 ,70.9 ,16.2 ,5.440 ,0.465 ,3.038 ,0.291 ,24.241 ,3.6857 ,3.0212 
8.1 ,12.6 ,351 ,23.3 ,8.8 ,13.4 ,8.2 ,76.2 ,13.2 ,5.398 ,0.417 ,3.184 ,0.328 ,13.961 ,3.5682 ,2.3222 
6.5 ,5.0 ,393 ,20.8 ,5.3 ,8.6 ,7.0 ,64.3 ,7.4 ,6.573 ,0.436 ,4.771 ,0.386 ,19.904 ,2.2553 ,1.3617 
7.7 ,10.4 ,398 ,22.7 ,5.7 ,11.6 ,8.2 ,82.8 ,11.7 ,3.708 ,0.167 ,1.171 ,0.065 ,16.984 ,1.3010 ,0.6990 
8.7 ,14.1 ,354 ,28.1 ,7.9 ,14.4 ,8.7 ,83.3 ,15.7 ,5.044 ,0.175 ,2.366 ,0.068 ,16.924 ,1.9031 ,1.3617 
8.9 ,12.0 ,337 ,25.9 ,6.0 ,12.3 ,8.4 ,89.8 ,10.6 ,5.243 ,0.285 ,2.503 ,0.197 ,21.466 ,2.3617 ,1.7924 
8.3 ,14.2 ,346 ,27.0 ,6.3 ,15.7 ,9.7 ,72.5 ,13.9 ,6.173 ,0.329 ,3.239 ,0.255 ,19.360 ,2.5315 ,2.2900 
7.9 ,11.4 ,349 ,25.7 ,12.2 ,14.3 ,9.2 ,143.5 ,18.4 ,6.003 ,0.318 ,2.833 ,0.186 ,26.550 ,2.5563 ,1.8451 
7.1 ,10.4 ,406 ,26.6 ,6.0 ,12.5 ,9.4 ,50.2 ,12.0 ,7.086 ,0.487 ,4.097 ,0.305 ,16.625 ,2.0792 ,1.1461 
7.6 ,12.1 ,305 ,25.8 ,6.8 ,15.3 ,8.8 ,146.9 ,19.9 ,3.650 ,0.209 ,1.323 ,0.096 ,86.417 ,2.1461 ,2.0414 
6.6 ,7.7 ,150 ,24.5 ,4.3 ,9.0 ,5.3 ,9.1 ,34.9 ,2.930 ,0.156 ,0.526 ,0.110 ,156.417 ,4.5051 ,3.9243 
6.8 ,9.3 ,123 ,23.0 ,3.2 ,6.8 ,4.1 ,5.1 ,36.5 ,2.643 ,0.117 ,0.234 ,0.089 ,232.167 ,4.7782 ,4.0253 
9.3 ,13.0 ,255 ,31.4 ,5.1 ,8.6 ,5.7 ,29.9 ,6.5 ,3.200 ,0.129 ,0.325 ,0.037 ,24.500 ,2.0607 ,1.7482 
8.1 ,8.8 ,288 ,31.3 ,5.3 ,11.2 ,6.6 ,71.2 ,11.1 ,3.299 ,0.138 ,0.962 ,0.079 ,15.076 ,2.0000 ,0.3010 
8.8 ,9.4 ,236 ,31.5 ,7.2 ,11.4 ,6.8 ,100.3 ,19.5 ,3.009 ,0.137 ,1.076 ,0.074 ,39.021 ,4.1461 ,2.8692 
6.4 ,4.0 ,202 ,27.3 ,5.0 ,8.2 ,5.3 ,26.4 ,23.1 ,2.703 ,0.157 ,1.183 ,0.143 ,76.285 ,4.7482 ,4.2923 
7.2 ,6.0 ,168 ,26.4 ,3.2 ,8.1 ,4.5 ,13.4 ,15.8 ,2.321 ,0.148 ,0.764 ,0.140 ,102.111 ,4.6021 ,3.8573 
6.3 ,6.7 ,171 ,26.7 ,3.2 ,6.4 ,3.4 ,9.0 ,11.1 ,2.535 ,0.101 ,0.048 ,0.088 ,84.375 ,4.4771 ,3.7324 
7.3 ,7.7 ,121 ,24.9 ,1.2 ,5.7 ,2.3 ,7.1 ,12.3 ,2.052 ,0.040 ,0.109 ,0.033 ,137.889 ,4.2978 ,2.9031 
7.8 ,8.7 ,151 ,23.7 ,1.7 ,5.4 ,2.7 ,4.9 ,3.6 ,2.635 ,0.095 ,0.543 ,0.088 ,93.882 ,4.0569 ,3.4472 
7.5 ,9.3 ,91 ,20.2 ,1.7 ,5.8 ,2.9 ,5.1 ,24.0 ,1.774 ,0.082 ,0.131 ,0.064 ,325.944 ,4.7782 ,3.9345 
7.2 ,9.6 ,199 ,23.0 ,2.5 ,5.2 ,2.2 ,25.7 ,5.0 ,3.275 ,0.060 ,0.480 ,0.024 ,26.535 ,3.5378 ,2.7782 
7.2 ,10.7 ,216 ,21.1 ,2.7 ,5.9 ,2.6 ,34.6 ,7.4 ,2.874 ,0.053 ,0.470 ,0.005 ,26.653 ,3.2455 ,2.6990 
7.1 ,11.7 ,255 ,21.3 ,3.9 ,6.9 ,3.1 ,43.2 ,7.2 ,3.363 ,0.037 ,0.480 ,0.003 ,20.917 ,3.1931 ,2.3424 
7.2 ,11.4 ,297 ,18.7 ,4.8 ,7.2 ,4.6 ,86.9 ,9.3 ,4.395 ,0.045 ,0.342 ,0.005 ,10.396 ,2.7443 ,2.1303 
7.1 ,7.2 ,192 ,17.2 ,4.0 ,6.8 ,4.1 ,16.0 ,12.8 ,3.637 ,0.165 ,1.230 ,0.117 ,15.076 ,4.0000 ,3.8865 
