Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
ak_성주,2.1,4.7,3.255,2.622,2.038,0.221,0.077,0.069,0.028,18.6
ak_성주,2,4.7,2.954,2.745,2.472,0.099,0.093,0.048,0.023,29.4
ak_성주,2.2,4.7,2.758,2.604,2.271,0.13,0.081,0.028,0.014,31.3
ak_성주,2.3,5.5,2.811,2.708,1.853,0.212,0.063,0.039,0.029,37.8
ak_성주,2.2,5.2,2.6,2.442,2.047,0.173,0.098,0.067,0.055,37.8
ak_성주,1.6,5.4,2.889,2.74,2.217,0.243,0.115,0.059,0.05,17.3
ak_성주,1.5,5.4,3.011,2.829,2.355,0.12,0.08,0.049,0.04,18.4
ak_성주,1.8,5.7,2.709,2.449,2.215,0.105,0.054,0.035,0.021,18.3
ak_성주,2.2,5.6,2.482,2.382,1.881,0.141,0.047,0.027,0.01,26.2
ak_성주,2.5,6.2,2.88,2.747,2.174,0.199,0.045,0.031,0.012,28.2
ak_성주,1.9,6.1,2.252,2.085,1.541,0.16,0.026,0.076,0.007,17.3
ak_성주,2.4,6.9,2.592,2.498,2.203,0.145,0.03,0.022,0.01,22.4
ak_성주,2.3,6,2.308,2.216,1.783,0.102,0.03,0.018,0.007,15.9
ak_성주,2.4,6.7,2.814,2.701,2.088,0.105,0.039,0.025,0.013,21.9
ak_성주,1.9,6.4,2.499,2.387,1.848,0.09,0.032,0.02,0.009,22.8
al_달성,2.2,4.9,2.934,2.479,1.993,0.215,0.075,0.061,0.027,26.6
al_달성,2.1,4.9,2.836,2.628,2.434,0.095,0.088,0.049,0.023,30.8
al_달성,2.2,4.8,2.825,2.612,2.204,0.135,0.06,0.024,0.01,36.5
al_달성,2.3,5.5,2.629,2.493,2.034,0.168,0.059,0.027,0.016,35.9
al_달성,2.6,6.1,2.531,2.343,1.933,0.165,0.096,0.06,0.045,46
al_달성,1.6,5.3,2.73,2.609,2.106,0.253,0.104,0.063,0.045,16
