Flow,BOD,COD,TN,NO3N,NH3N,TP,PO4P,Chla,TOC,TC,FC,Precipitation
7.92,7.9,14,10.64,1.438,8.241,0.255,0.037,100.2,10.7,1100,270,0
10.49,6.1,12.8,13.96,1.872,10.926,0.176,0.034,64.3,9,1300,65,0
21,6.5,12.3,8.43,1.205,6.419,0.194,0.016,72.6,9.3,20000,900,31.8
17.677,6.2,11.6,6.451,1.571,3.956,0.194,0.021,67.8,8.8,4000,3800,22.5
91.543,6.1,11.6,5.312,1.598,2.414,0.289,0.071,6.8,9,20000,6200,70.5
22.848,5.3,8.7,7.931,1.744,5.05,0.118,0.027,20.4,7.5,9800,1500,7.7
16.083,6.3,11.6,8.101,1.121,5.963,0.229,0.013,54.5,8.7,4700,800,0
66.143,5.9,12.3,6.838,1.331,4.959,0.247,0.062,24,9.1,140000,32000,44.8
59.729,6.5,11.6,6.477,1.462,2.634,0.225,0.064,54.2,8.7,92000,22000,22.6
31.793,4.2,8,5.979,2.754,1.771,0.11,0.034,32.9,6.4,1700,530,11.6
45.815,8.1,14,3.573,0.198,1.406,0.239,0.043,76.3,9.4,150000,35000,35.8
48.169,5.7,9.4,3.775,1.25,1.732,0.234,0.079,50.5,8.1,150000,41000,30.1
28.92,4.3,8.6,5.112,1.895,2.32,0.148,0.026,35.5,7,9600,3400,0.5
29.876,6.7,10.8,6.241,1.477,3.62,0.11,0.042,28.6,7.9,4400,1100,19
35.122,7.3,11.5,5.863,1.724,2.839,0.108,0.025,43.2,8.3,7100,1800,0
37.798,5,10.6,6.001,1.284,3.52,0.11,0.026,21.3,7.8,8600,2800,7.3
32.553,7.8,12,5.649,1.377,3.005,0.142,0.033,99.6,10.2,12000,2300,0
29.788,6.1,12.3,6.321,1.24,3.95,0.151,0.021,35.8,9.1,2100,1000,14.4
272.642,6,14.8,3.14,1.808,0.586,0.377,0.169,5.2,9.9,130000,18000,275.1
40.088,5,8.8,6.418,1.972,3.707,0.229,0.191,13.3,7.1,200000,53000,10.1
11.473,6.1,9.9,5.317,1.447,3.237,0.115,0.06,27.4,7.6,5000,1800,0
