site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-33,0.011,0.024,0.106,0.034,0.119,0.563,0.099,0.045,round05
JS-34,0.011,0.02,0.086,0.034,0.109,0.583,0.115,0.041,round05
JS-35,0.011,0.024,0.098,0.03,0.113,0.581,0.1,0.043,round05
JS-36,0.011,0.024,0.107,0.029,0.123,0.556,0.101,0.048,round05
JS-01,0.015,0.022,0.09,0.036,0.148,0.575,0.08,0.032,round06
JS-02,0.02,0.029,0.103,0.04,0.168,0.534,0.071,0.035,round06
JS-03,0.02,0.031,0.108,0.043,0.168,0.534,0.063,0.034,round06
JS-04,0.025,0.031,0.106,0.049,0.176,0.524,0.059,0.03,round06
JS-05,0.016,0.019,0.082,0.043,0.143,0.558,0.1,0.037,round06
JS-06,0.025,0.034,0.1,0.046,0.186,0.524,0.056,0.029,round06
JS-07,0.026,0.031,0.105,0.049,0.176,0.523,0.059,0.03,round06
JS-08,0.015,0.027,0.109,0.035,0.16,0.526,0.087,0.041,round06
JS-09,0.019,0.023,0.092,0.041,0.156,0.558,0.077,0.034,round06
JS-10,0.017,0.027,0.107,0.034,0.16,0.539,0.08,0.037,round06
JS-11,0.018,0.023,0.094,0.039,0.157,0.551,0.082,0.036,round06
JS-12,0.014,0.025,0.115,0.033,0.153,0.512,0.098,0.049,round06
JS-13,0.019,0.025,0.091,0.046,0.16,0.561,0.067,0.032,round06
JS-14,0.017,0.032,0.115,0.036,0.178,0.516,0.071,0.035,round06
JS-15,0.018,0.025,0.096,0.041,0.163,0.55,0.071,0.035,round06
JS-16,0.017,0.028,0.112,0.037,0.16,0.528,0.079,0.04,round06
JS-17,0.018,0.027,0.105,0.038,0.167,0.534,0.072,0.039,round06
JS-18,0.016,0.024,0.097,0.037,0.155,0.549,0.086,0.037,round06
JS-19,0.02,0.024,0.094,0.042,0.16,0.556,0.07,0.034,round06
JS-20,0.017,0.026,0.11,0.04,0.158,0.531,0.08,0.037,round06
JS-21,0.016,0.022,0.093,0.04,0.155,0.537,0.096,0.04,round06
JS-22,0.013,0.019,0.065,0.032,0.078,0.206,0.529,0.058,round06
JS-23,0.019,0.023,0.089,0.04,0.156,0.554,0.081,0.037,round06
JS-24,0.015,0.021,0.102,0.033,0.135,0.512,0.127,0.055,round06
JS-25,0.014,0.019,0.086,0.037,0.121,0.516,0.157,0.05,round06
JS-26,0.015,0.026,0.111,0.033,0.15,0.531,0.092,0.042,round06
JS-27,0.018,0.026,0.098,0.038,0.153,0.552,0.078,0.038,round06
JS-28,0.015,0.025,0.097,0.036,0.15,0.556,0.081,0.039,round06
JS-29,0.02,0.024,0.094,0.042,0.164,0.546,0.076,0.035,round06
JS-30,0.013,0.024,0.112,0.031,0.148,0.504,0.115,0.054,round06
JS-31,0.018,0.025,0.101,0.039,0.152,0.547,0.08,0.038,round06
JS-32,0.019,0.024,0.093,0.04,0.153,0.559,0.079,0.034,round06
JS-33,0.019,0.029,0.096,0.04,0.161,0.546,0.075,0.034,round06
JS-34,0.017,0.024,0.095,0.04,0.166,0.548,0.075,0.034,round06
JS-35,0.018,0.026,0.101,0.04,0.157,0.544,0.078,0.035,round06
JS-36,0.018,0.021,0.094,0.035,0.145,0.559,0.09,0.039,round06
JS-01,0.013,0.026,0.13,0.033,0.18,0.519,0.062,0.036,round07
JS-02,0.027,0.034,0.133,0.058,0.221,0.448,0.048,0.03,round07
JS-03,0.017,0.034,0.151,0.04,0.201,0.469,0.053,0.035,round07
JS-04,0.022,0.039,0.127,0.051,0.216,0.472,0.044,0.031,round07
JS-05,0.015,0.021,0.111,0.046,0.181,0.528,0.062,0.037,round07
JS-06,0.019,0.03,0.13,0.048,0.199,0.489,0.052,0.033,round07
JS-07,0.016,0.034,0.138,0.039,0.194,0.494,0.051,0.035,round07
JS-08,0.012,0.032,0.167,0.033,0.197,0.454,0.06,0.045,round07
JS-09,0.02,0.033,0.146,0.044,0.195,0.48,0.049,0.033,round07
JS-10,0.023,0.045,0.139,0.05,0.228,0.441,0.044,0.03,round07
JS-11,0.019,0.032,0.134,0.042,0.195,0.487,0.055,0.035,round07
JS-12,0.015,0.029,0.136,0.037,0.178,0.486,0.073,0.047,round07
JS-13,0.014,0.03,0.156,0.033,0.191,0.465,0.068,0.043,round07
JS-14,0.014,0.033,0.161,0.036,0.197,0.465,0.056,0.037,round07
JS-15,0.015,0.033,0.138,0.039,0.192,0.489,0.056,0.038,round07
JS-16,0.014,0.035,0.152,0.038,0.205,0.462,0.056,0.038,round07
JS-17,0.016,0.031,0.138,0.04,0.185,0.497,0.057,0.036,round07
JS-18,0.012,0.03,0.169,0.031,0.179,0.438,0.083,0.059,round07
JS-19,0.016,0.031,0.139,0.036,0.196,0.477,0.065,0.038,round07
JS-20,0.016,0.029,0.133,0.037,0.188,0.497,0.061,0.04,round07
JS-21,0.012,0.023,0.13,0.034,0.172,0.491,0.087,0.051,round07
JS-22,0.011,0.019,0.111,0.035,0.136,0.401,0.211,0.076,round07
JS-23,0.012,0.028,0.145,0.029,0.17,0.481,0.078,0.056,round07
JS-24,0.012,0.025,0.138,0.032,0.174,0.48,0.083,0.056,round07
JS-25,0.012,0.025,0.131,0.033,0.166,0.509,0.077,0.046,round07
JS-26,0.014,0.03,0.136,0.034,0.19,0.489,0.066,0.041,round07
JS-27,0.014,0.029,0.13,0.038,0.187,0.497,0.066,0.039,round07
JS-28,0.015,0.026,0.124,0.04,0.176,0.517,0.064,0.038,round07
JS-29,0.015,0.029,0.144,0.035,0.174,0.492,0.068,0.043,round07
JS-30,0.012,0.026,0.148,0.032,0.158,0.457,0.096,0.071,round07
JS-31,0.015,0.027,0.124,0.04,0.185,0.51,0.062,0.036,round07
JS-32,0.015,0.029,0.149,0.038,0.175,0.492,0.063,0.04,round07
JS-33,0.014,0.027,0.14,0.033,0.177,0.496,0.068,0.045,round07
JS-34,0.014,0.028,0.132,0.038,0.181,0.5,0.068,0.041,round07
JS-35,0.012,0.024,0.138,0.031,0.156,0.495,0.088,0.056,round07
JS-36,0.013,0.028,0.145,0.032,0.177,0.48,0.073,0.052,round07
JS-01,0.035,0.022,0.098,0.022,0.163,0.576,0.024,0.058,round08
JS-02,0.049,0.028,0.109,0.034,0.186,0.515,0.025,0.053,round08
JS-03,0.049,0.032,0.111,0.032,0.193,0.502,0.028,0.053,round08
JS-04,0.057,0.035,0.125,0.035,0.2,0.473,0.025,0.05,round08
JS-05,0.043,0.033,0.118,0.028,0.185,0.515,0.025,0.052,round08
JS-06,0.039,0.028,0.115,0.026,0.179,0.538,0.025,0.052,round08
JS-07,0.034,0.031,0.116,0.025,0.179,0.536,0.026,0.054,round08
JS-08,0.033,0.025,0.114,0.025,0.18,0.535,0.029,0.059,round08
JS-09,0.044,0.023,0.094,0.033,0.185,0.537,0.031,0.053,round08
JS-10,0.059,0.028,0.098,0.037,0.201,0.498,0.026,0.053,round08
JS-11,0.034,0.028,0.127,0.025,0.181,0.516,0.029,0.061,round08
JS-12,0.025,0.02,0.107,0.02,0.149,0.568,0.034,0.076,round08
JS-13,0.027,0.023,0.114,0.021,0.157,0.555,0.033,0.069,round08
JS-14,0.032,0.027,0.111,0.023,0.181,0.533,0.029,0.064,round08
