지점,지점명,일시,M기온,최저기온,최저기온날,최고기온,최고기온날,M최저기온,M최고기온,M해면기압,S강수량,일최다강수량,일최다강수량날,M상대습도,S일조시간,일조율,S일사량,M풍속,최다풍향,S소형증발량,S대형증발량
184,제주,1983,15.6,-2.9,19830214,34.2,19830731,12.4,18.8,1015.8,1373.6,188.2,19830927,74.2,1688.1,37.98,4532.73,3.8,320,1251.2,670.6
184,제주,1984,14.8,-4,19840206,34,19840715,11.9,18,1016.1,878.5,72.8,19840820,72.8,1972.5,44.28,4879.77,4,320,1256.2,773.8
184,제주,1985,15.4,-3.6,19851217,33.9,19850801,12.4,18.6,1015.8,2420.6,248.7,19850627,71.4,1831.3,41.2,4494.1,4.1,320,1228.2,826.8
184,제주,1986,14.7,-3.5,19860104,34.3,19860721,11.6,17.9,1016.3,1828.6,224.5,19860828,71.8,1797.5,40.44,4714.04,3.9,290,1237.1,844.1
184,제주,1987,15.4,-3,19870113,35.4,19870804,12.3,18.9,1016.5,1719.4,163.6,19870715,70.1,1837.5,41.34,4535.84,3.9,320,1188.4,795.9
184,제주,1988,15.2,-2.3,19880204,34.6,19880713,12.3,18.5,1016,1084.6,147,19880726,73.9,2093.7,47,4599.48,4,320,1243.8,869.3
184,제주,1989,15.7,-1.7,19890129,33.3,19890711,12.8,18.8,1016.1,1358.6,188.5,19890908,77.1,1959.9,44.09,4371.01,3.8,290,1204.8,845.6
184,제주,1990,16.4,-4.5,19900126,37,19900814,13.3,19.5,1016.1,1544.5,113.2,19900701,73.5,1952.5,43.92,4322.84,3.8,20,1320.1,870.8
184,제주,1991,15.5,-3.3,19910223,34.4,19910721,12.7,18.5,1016,1810.9,119.1,19910704,68.8,1841.6,41.43,4252.42,3.8,320,1151.7,721.8
184,제주,1992,15.9,0.4,19920201,34.5,19920727,13,19.1,1016.9,1232.9,59.4,19920812,72.8,1899.3,42.64,4167.46,3.7,290,1274.7,839
184,제주,1993,15.2,-0.8,19930128,34.5,19930712,12.3,18.3,1017.1,1552.8,132.2,19930807,72.3,1583.6,35.62,3922.15,3.6,290,1210.8,763.3
184,제주,1994,16.5,-0.6,19940119,34.6,19940702,13.5,19.6,1016.5,1448.9,189.3,19941011,70.3,2159.7,48.58,4692.07,3.3,20,1398.2,770
184,제주,1995,15.6,0.3,19950205,35.8,19950808,12.7,18.6,1017.1,1472.9,204.5,19950820,71.9,1945.8,43.77,4264.42,3.5,20,1266.9,646.1
184,제주,1996,15.7,-1.5,19960210,35.5,19960802,12.7,18.9,1017.1,881.1,47.1,19960619,69,1915,42.99,4047.18,3.3,20,1253,633.7
184,제주,1997,16.4,-0.9,19970122,34.4,19970902,13.5,19.4,1016.8,999.5,86.4,19971125,70.6,1908.2,42.92,4261.5,3.2,20,1273,654.6
