site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-10,0.018,0.024,0.123,0.045,0.184,0.452,0.122,0.031,round02
JS-11,0.017,0.027,0.136,0.04,0.176,0.425,0.142,0.036,round02
JS-12,0.016,0.02,0.115,0.04,0.154,0.417,0.195,0.043,round02
JS-13,0.018,0.025,0.128,0.04,0.171,0.439,0.144,0.036,round02
JS-14,0.02,0.022,0.117,0.048,0.176,0.458,0.128,0.03,round02
JS-15,0.017,0.017,0.079,0.042,0.102,0.241,0.473,0.03,round02
JS-16,0.016,0.018,0.111,0.039,0.161,0.434,0.183,0.037,round02
JS-17,0.018,0.022,0.128,0.039,0.182,0.404,0.167,0.041,round02
JS-18,0.018,0.021,0.117,0.041,0.172,0.42,0.172,0.04,round02
JS-19,0.019,0.025,0.117,0.045,0.18,0.445,0.135,0.034,round02
JS-20,0.018,0.023,0.118,0.044,0.162,0.435,0.161,0.039,round02
JS-21,0.017,0.018,0.094,0.043,0.146,0.429,0.216,0.036,round02
JS-22,0.011,0.011,0.045,0.023,0.057,0.111,0.722,0.021,round02
JS-23,0.015,0.021,0.112,0.037,0.148,0.362,0.258,0.047,round02
JS-24,0.017,0.022,0.112,0.043,0.175,0.448,0.147,0.036,round02
JS-25,0.017,0.02,0.103,0.039,0.149,0.391,0.241,0.041,round02
JS-26,0.02,0.02,0.113,0.046,0.174,0.452,0.144,0.031,round02
JS-27,0.026,0.022,0.109,0.05,0.186,0.457,0.121,0.03,round02
JS-28,0.017,0.022,0.115,0.04,0.168,0.43,0.171,0.037,round02
JS-29,0.02,0.02,0.102,0.044,0.155,0.436,0.186,0.038,round02
JS-30,0.014,0.021,0.127,0.035,0.155,0.349,0.245,0.054,round02
JS-31,0.017,0.02,0.11,0.039,0.156,0.398,0.218,0.041,round02
JS-32,0.034,0.025,0.108,0.064,0.21,0.441,0.09,0.028,round02
JS-33,0.014,0.018,0.089,0.036,0.122,0.306,0.365,0.049,round02
JS-34,0.016,0.019,0.104,0.039,0.132,0.36,0.281,0.05,round02
JS-35,0.016,0.021,0.124,0.035,0.159,0.39,0.205,0.049,round02
JS-36,0.015,0.02,0.109,0.038,0.147,0.379,0.242,0.05,round02
JS-01,0.014,0.032,0.079,0.043,0.162,0.564,0.081,0.024,round03
JS-02,0.029,0.036,0.08,0.073,0.2,0.508,0.053,0.021,round03
JS-03,0.023,0.036,0.086,0.059,0.198,0.521,0.056,0.02,round03
JS-04,0.03,0.04,0.086,0.07,0.209,0.49,0.054,0.02,round03
JS-05,0.02,0.037,0.085,0.058,0.188,0.527,0.063,0.023,round03
JS-06,0.017,0.197,0.046,0.032,0.08,0.166,0.331,0.133,round03
JS-07,0.015,0.04,0.095,0.044,0.191,0.53,0.063,0.021,round03
JS-08,0.014,0.034,0.093,0.04,0.159,0.537,0.093,0.031,round03
JS-09,0.014,0.032,0.094,0.04,0.176,0.541,0.079,0.025,round03
JS-10,0.016,0.034,0.096,0.045,0.169,0.55,0.065,0.025,round03
JS-11,0.015,0.033,0.097,0.039,0.172,0.549,0.071,0.024,round03
JS-12,0.012,0.03,0.096,0.035,0.147,0.53,0.113,0.037,round03
JS-13,0.021,0.035,0.091,0.056,0.179,0.537,0.059,0.021,round03
JS-14,0.017,0.034,0.09,0.048,0.178,0.538,0.069,0.025,round03
JS-15,0.018,0.035,0.087,0.046,0.18,0.548,0.064,0.023,round03
JS-16,0.018,0.136,0.064,0.044,0.112,0.257,0.283,0.085,round03
JS-17,0.024,0.085,0.074,0.074,0.143,0.35,0.194,0.056,round03
JS-18,0.023,0.036,0.078,0.062,0.174,0.54,0.062,0.025,round03
JS-19,0.015,0.046,0.109,0.048,0.191,0.5,0.066,0.024,round03
JS-20,0.014,0.05,0.084,0.042,0.147,0.413,0.197,0.053,round03
JS-21,0.015,0.033,0.087,0.045,0.169,0.549,0.075,0.026,round03
JS-22,0.014,0.032,0.092,0.037,0.159,0.543,0.093,0.03,round03
JS-23,0.014,0.031,0.093,0.041,0.166,0.551,0.079,0.026,round03
JS-24,0.016,0.036,0.09,0.042,0.168,0.549,0.073,0.025,round03
JS-25,0.014,0.03,0.088,0.043,0.175,0.551,0.073,0.025,round03
JS-26,0.014,0.031,0.086,0.041,0.166,0.56,0.075,0.026,round03
JS-27,0.018,0.032,0.085,0.048,0.171,0.552,0.069,0.024,round03
JS-28,0.015,0.032,0.086,0.04,0.163,0.554,0.081,0.029,round03
JS-29,0.018,0.035,0.083,0.05,0.189,0.539,0.063,0.023,round03
JS-30,0.017,0.035,0.088,0.047,0.17,0.553,0.067,0.024,round03
JS-31,0.014,0.032,0.089,0.044,0.168,0.559,0.069,0.025,round03
JS-32,0.015,0.032,0.092,0.043,0.179,0.549,0.067,0.023,round03
JS-33,0.012,0.032,0.088,0.036,0.156,0.528,0.113,0.036,round03
JS-34,0.018,0.032,0.086,0.049,0.178,0.549,0.065,0.023,round03
JS-35,0.015,0.034,0.093,0.042,0.171,0.545,0.074,0.025,round03
JS-36,0.015,0.035,0.093,0.045,0.161,0.55,0.076,0.026,round03
JS-01,0.014,0.013,0.097,0.018,0.17,0.561,0.093,0.033,round04
JS-02,0.024,0.018,0.111,0.023,0.199,0.527,0.068,0.029,round04
JS-03,0.029,0.017,0.102,0.033,0.212,0.521,0.058,0.029,round04
JS-04,0.028,0.021,0.109,0.027,0.215,0.51,0.06,0.03,round04
JS-05,0.022,0.02,0.104,0.023,0.196,0.533,0.069,0.033,round04
JS-06,0.022,0.02,0.119,0.024,0.197,0.52,0.065,0.032,round04
JS-07,0.022,0.019,0.116,0.022,0.188,0.535,0.067,0.031,round04
JS-08,0.019,0.019,0.112,0.022,0.189,0.528,0.078,0.032,round04
JS-09,0.022,0.018,0.103,0.023,0.188,0.546,0.069,0.031,round04
JS-10,0.016,0.017,0.115,0.019,0.174,0.526,0.091,0.043,round04
JS-11,0.018,0.015,0.103,0.022,0.179,0.543,0.085,0.035,round04
JS-12,0.023,0.02,0.107,0.025,0.192,0.536,0.068,0.03,round04
JS-13,0.018,0.017,0.103,0.023,0.171,0.546,0.086,0.036,round04
JS-14,0.018,0.017,0.111,0.022,0.181,0.535,0.082,0.033,round04
JS-15,0.018,0.017,0.113,0.022,0.185,0.529,0.083,0.032,round04
JS-16,0.017,0.018,0.117,0.02,0.179,0.532,0.082,0.037,round04
JS-17,0.016,0.018,0.122,0.019,0.179,0.518,0.091,0.038,round04
JS-18,0.014,0.016,0.131,0.019,0.181,0.471,0.119,0.049,round04
JS-19,0.016,0.017,0.117,0.021,0.178,0.512,0.097,0.042,round04
JS-20,0.017,0.016,0.109,0.023,0.177,0.526,0.094,0.037,round04
JS-21,0.015,0.015,0.103,0.019,0.149,0.536,0.116,0.047,round04
JS-22,0.01,0.01,0.056,0.012,0.075,0.152,0.65,0.034,round04
JS-23,0.014,0.015,0.108,0.019,0.166,0.496,0.133,0.047,round04
JS-24,0.018,0.016,0.107,0.021,0.178,0.54,0.081,0.037,round04
JS-25,0.015,0.015,0.102,0.02,0.155,0.515,0.129,0.05,round04
JS-26,0.014,0.015,0.106,0.018,0.162,0.509,0.124,0.05,round04
JS-27,0.016,0.015,0.096,0.022,0.156,0.55,0.109,0.035,round04
JS-28,0.014,0.015,0.104,0.021,0.159,0.545,0.101,0.04,round04
JS-29,0.014,0.014,0.097,0.019,0.151,0.502,0.152,0.052,round04
JS-30,0.012,0.017,0.144,0.017,0.171,0.438,0.136,0.064,round04
JS-31,0.016,0.014,0.091,0.021,0.16,0.539,0.117,0.042,round04
JS-32,0.017,0.016,0.109,0.021,0.177,0.542,0.082,0.035,round04
JS-33,0.015,0.015,0.109,0.018,0.165,0.52,0.112,0.044,round04
JS-34,0.016,0.015,0.098,0.021,0.161,0.535,0.113,0.04,round04
JS-35,0.016,0.016,0.111,0.019,0.17,0.538,0.089,0.041,round04
JS-36,0.016,0.016,0.103,0.021,0.166,0.531,0.108,0.041,round04
JS-01,0.016,0.014,0.087,0.022,0.135,0.602,0.094,0.029,round05
JS-02,0.027,0.021,0.102,0.029,0.163,0.565,0.066,0.027,round05
JS-03,0.025,0.019,0.098,0.032,0.161,0.563,0.073,0.029,round05
JS-04,0.023,0.021,0.103,0.029,0.172,0.558,0.066,0.028,round05
JS-05,0.024,0.024,0.11,0.031,0.175,0.542,0.067,0.028,round05
JS-06,0.032,0.023,0.1,0.034,0.179,0.538,0.065,0.028,round05
JS-07,0.024,0.02,0.099,0.03,0.164,0.563,0.071,0.029,round05
JS-08,0.015,0.02,0.117,0.023,0.153,0.542,0.093,0.037,round05
JS-09,0.017,0.018,0.103,0.022,0.149,0.565,0.093,0.034,round05
JS-10,0.014,0.02,0.111,0.023,0.159,0.535,0.102,0.036,round05
JS-11,0.02,0.016,0.093,0.025,0.151,0.571,0.092,0.033,round05
JS-12,0.018,0.017,0.098,0.024,0.147,0.554,0.106,0.037,round05
JS-13,0.021,0.017,0.099,0.027,0.161,0.564,0.08,0.031,round05
JS-14,0.022,0.021,0.101,0.027,0.158,0.571,0.072,0.028,round05
JS-15,0.017,0.019,0.105,0.024,0.149,0.558,0.092,0.036,round05
JS-16,0.018,0.018,0.1,0.025,0.151,0.571,0.087,0.031,round05
JS-17,0.019,0.017,0.093,0.026,0.142,0.586,0.086,0.031,round05
JS-18,0.018,0.018,0.1,0.027,0.145,0.548,0.107,0.039,round05
JS-19,0.017,0.018,0.105,0.024,0.149,0.567,0.087,0.033,round05
JS-20,0.02,0.019,0.1,0.027,0.155,0.559,0.086,0.034,round05
JS-21,0.017,0.016,0.104,0.022,0.137,0.515,0.143,0.046,round05
JS-22,0.01,0.01,0.046,0.017,0.064,0.145,0.675,0.033,round05
JS-23,0.016,0.015,0.097,0.024,0.138,0.552,0.115,0.041,round05
JS-24,0.017,0.016,0.093,0.023,0.136,0.576,0.105,0.035,round05
JS-25,0.016,0.017,0.091,0.023,0.139,0.57,0.106,0.038,round05
JS-26,0.016,0.017,0.11,0.023,0.149,0.528,0.115,0.042,round05
JS-27,0.019,0.017,0.09,0.025,0.141,0.57,0.103,0.035,round05
JS-28,0.021,0.02,0.099,0.024,0.155,0.57,0.081,0.029,round05
JS-29,0.017,0.014,0.082,0.026,0.139,0.576,0.108,0.037,round05
JS-30,0.015,0.016,0.099,0.022,0.136,0.545,0.123,0.045,round05
JS-31,0.016,0.016,0.094,0.024,0.132,0.557,0.121,0.041,round05
JS-32,0.018,0.017,0.094,0.022,0.139,0.581,0.095,0.034,round05
JS-33,0.017,0.017,0.101,0.022,0.143,0.558,0.102,0.04,round05
JS-34,0.017,0.013,0.081,0.026,0.137,0.567,0.126,0.034,round05
JS-35,0.016,0.016,0.096,0.023,0.135,0.565,0.111,0.038,round05
JS-36,0.016,0.017,0.101,0.022,0.137,0.553,0.112,0.042,round05
JS-01,0.009,0.014,0.07,0.025,0.126,0.673,0.063,0.02,round06
JS-02,0.013,0.02,0.091,0.031,0.15,0.611,0.061,0.023,round06
JS-03,0.014,0.02,0.088,0.036,0.152,0.619,0.05,0.022,round06
JS-04,0.016,0.022,0.088,0.039,0.177,0.585,0.052,0.021,round06
JS-05,0.012,0.013,0.068,0.031,0.125,0.639,0.086,0.025,round06
JS-06,0.016,0.025,0.086,0.041,0.161,0.602,0.048,0.02,round06
JS-07,0.016,0.022,0.082,0.041,0.166,0.605,0.05,0.02,round06
JS-08,0.01,0.017,0.087,0.027,0.14,0.613,0.075,0.03,round06
JS-09,0.012,0.015,0.073,0.033,0.146,0.634,0.063,0.024,round06
JS-10,0.012,0.019,0.101,0.028,0.148,0.593,0.072,0.028,round06
JS-11,0.012,0.016,0.076,0.035,0.143,0.625,0.07,0.025,round06
JS-12,0.009,0.017,0.097,0.025,0.144,0.593,0.085,0.03,round06
JS-13,0.014,0.016,0.077,0.036,0.148,0.627,0.058,0.024,round06
JS-14,0.012,0.024,0.098,0.03,0.16,0.59,0.061,0.025,round06
JS-15,0.012,0.018,0.08,0.033,0.152,0.622,0.06,0.024,round06
JS-16,0.011,0.018,0.09,0.028,0.145,0.62,0.064,0.025,round06
JS-17,0.013,0.021,0.088,0.031,0.152,0.6,0.07,0.025,round06
JS-18,0.011,0.016,0.079,0.03,0.143,0.623,0.072,0.026,round06
JS-19,0.012,0.016,0.074,0.036,0.144,0.632,0.06,0.025,round06
JS-20,0.011,0.019,0.088,0.03,0.15,0.608,0.068,0.026,round06
JS-21,0.011,0.015,0.082,0.031,0.127,0.632,0.077,0.026,round06
JS-22,0.009,0.014,0.058,0.024,0.081,0.231,0.553,0.032,round06
JS-23,0.012,0.016,0.075,0.032,0.139,0.631,0.069,0.026,round06
JS-24,0.01,0.014,0.082,0.025,0.121,0.602,0.114,0.032,round06
JS-25,0.009,0.014,0.068,0.028,0.114,0.594,0.142,0.032,round06
JS-26,0.01,0.018,0.091,0.026,0.147,0.602,0.075,0.03,round06
JS-27,0.011,0.017,0.079,0.03,0.137,0.634,0.067,0.025,round06
JS-28,0.011,0.018,0.08,0.029,0.141,0.622,0.072,0.027,round06
JS-29,0.013,0.016,0.078,0.034,0.132,0.64,0.064,0.023,round06
JS-30,0.01,0.017,0.093,0.026,0.146,0.564,0.105,0.039,round06
JS-31,0.012,0.017,0.074,0.029,0.139,0.637,0.067,0.025,round06
JS-32,0.013,0.016,0.078,0.033,0.142,0.628,0.064,0.025,round06
JS-33,0.013,0.017,0.091,0.032,0.14,0.618,0.062,0.026,round06
JS-34,0.012,0.017,0.085,0.032,0.143,0.618,0.067,0.025,round06
JS-35,0.012,0.019,0.085,0.031,0.149,0.611,0.066,0.027,round06
JS-36,0.011,0.016,0.078,0.031,0.132,0.627,0.079,0.026,round06
JS-01,0.026,0.024,0.134,0.03,0.168,0.499,0.071,0.047,round07
JS-02,0.051,0.03,0.127,0.05,0.198,0.452,0.055,0.039,round07
JS-03,0.031,0.034,0.145,0.036,0.181,0.467,0.061,0.046,round07
JS-04,0.042,0.034,0.131,0.044,0.196,0.459,0.054,0.039,round07
JS-05,0.031,0.02,0.107,0.039,0.164,0.515,0.078,0.047,round07
JS-06,0.037,0.03,0.127,0.038,0.177,0.487,0.062,0.042,round07
JS-07,0.03,0.033,0.154,0.037,0.173,0.463,0.063,0.047,round07
JS-08,0.022,0.029,0.167,0.029,0.176,0.446,0.073,0.056,round07
JS-09,0.036,0.032,0.138,0.039,0.181,0.473,0.059,0.042,round07
JS-10,0.041,0.039,0.138,0.043,0.213,0.437,0.052,0.037,round07
JS-11,0.034,0.031,0.136,0.039,0.181,0.474,0.063,0.043,round07
JS-12,0.026,0.025,0.139,0.032,0.164,0.475,0.081,0.058,round07
JS-13,0.024,0.028,0.149,0.03,0.173,0.467,0.075,0.055,round07
JS-14,0.025,0.032,0.149,0.031,0.183,0.466,0.065,0.049,round07
JS-15,0.027,0.03,0.131,0.034,0.178,0.485,0.068,0.048,round07
JS-16,0.026,0.031,0.145,0.032,0.18,0.476,0.063,0.047,round07
JS-17,0.026,0.029,0.14,0.035,0.178,0.481,0.063,0.049,round07
JS-18,0.02,0.028,0.163,0.028,0.168,0.434,0.091,0.068,round07
JS-19,0.027,0.03,0.143,0.032,0.169,0.48,0.068,0.051,round07
JS-20,0.027,0.025,0.137,0.032,0.165,0.494,0.07,0.05,round07
JS-21,0.023,0.022,0.13,0.031,0.151,0.481,0.1,0.062,round07
JS-22,0.019,0.018,0.117,0.032,0.12,0.379,0.233,0.083,round07
JS-23,0.022,0.025,0.147,0.029,0.161,0.45,0.095,0.071,round07
JS-24,0.021,0.023,0.134,0.028,0.153,0.481,0.095,0.065,round07
JS-25,0.024,0.024,0.131,0.031,0.161,0.481,0.084,0.064,round07
JS-26,0.025,0.028,0.147,0.032,0.169,0.468,0.075,0.055,round07
JS-27,0.028,0.026,0.131,0.032,0.167,0.486,0.078,0.053,round07
JS-28,0.026,0.023,0.126,0.034,0.165,0.505,0.072,0.049,round07
JS-29,0.026,0.025,0.144,0.032,0.158,0.483,0.077,0.056,round07
JS-30,0.021,0.025,0.149,0.029,0.154,0.426,0.111,0.085,round07
JS-31,0.029,0.025,0.128,0.035,0.172,0.495,0.07,0.047,round07
JS-32,0.025,0.027,0.137,0.032,0.167,0.49,0.072,0.049,round07
JS-33,0.025,0.025,0.133,0.031,0.157,0.497,0.078,0.053,round07
JS-34,0.026,0.024,0.136,0.032,0.163,0.489,0.078,0.053,round07
JS-35,0.02,0.024,0.136,0.031,0.148,0.471,0.103,0.067,round07
JS-36,0.023,0.028,0.141,0.03,0.168,0.458,0.088,0.064,round07
JS-01,0.029,0.021,0.065,0.034,0.142,0.629,0.036,0.044,round08
JS-02,0.046,0.028,0.08,0.045,0.171,0.548,0.038,0.044,round08
JS-03,0.042,0.03,0.077,0.043,0.175,0.552,0.037,0.044,round08
JS-04,0.053,0.034,0.08,0.046,0.197,0.516,0.033,0.041,round08
JS-05,0.036,0.034,0.081,0.038,0.18,0.55,0.037,0.043,round08
JS-06,0.033,0.027,0.082,0.035,0.178,0.566,0.036,0.043,round08
JS-07,0.032,0.032,0.077,0.032,0.173,0.572,0.038,0.045,round08
JS-08,0.031,0.027,0.08,0.032,0.164,0.579,0.038,0.049,round08
JS-09,0.038,0.024,0.069,0.041,0.16,0.589,0.038,0.042,round08
JS-10,0.055,0.027,0.072,0.055,0.175,0.531,0.037,0.047,round08
JS-11,0.029,0.028,0.082,0.03,0.162,0.584,0.037,0.047,round08
JS-12,0.024,0.021,0.074,0.026,0.138,0.607,0.047,0.063,round08
JS-13,0.023,0.024,0.081,0.028,0.15,0.591,0.046,0.058,round08
JS-14,0.027,0.028,0.079,0.031,0.154,0.589,0.041,0.05,round08
JS-15,0.027,0.024,0.082,0.028,0.156,0.596,0.04,0.047,round08
JS-16,0.027,0.026,0.078,0.028,0.154,0.594,0.044,0.048,round08
JS-17,0.028,0.023,0.072,0.028,0.147,0.611,0.043,0.049,round08
JS-18,0.041,0.025,0.069,0.039,0.154,0.588,0.04,0.044,round08
JS-19,0.036,0.023,0.072,0.036,0.158,0.592,0.039,0.045,round08
JS-20,0.024,0.022,0.074,0.026,0.138,0.602,0.052,0.062,round08
JS-21,0.026,0.026,0.076,0.029,0.151,0.594,0.044,0.054,round08
JS-22,0.021,0.022,0.081,0.025,0.134,0.595,0.052,0.07,round08
JS-23,0.028,0.025,0.068,0.032,0.158,0.6,0.041,0.048,round08
JS-24,0.026,0.021,0.063,0.029,0.143,0.624,0.045,0.049,round08
JS-25,0.027,0.022,0.072,0.028,0.152,0.603,0.044,0.051,round08
JS-26,0.028,0.026,0.081,0.031,0.152,0.586,0.045,0.052,round08
JS-27,0.03,0.024,0.08,0.032,0.159,0.589,0.04,0.047,round08
JS-28,0.021,0.02,0.077,0.025,0.146,0.588,0.052,0.07,round08
JS-29,0.032,0.027,0.078,0.032,0.164,0.575,0.041,0.051,round08
JS-30,0.023,0.021,0.076,0.027,0.145,0.594,0.054,0.061,round08
JS-31,0.029,0.024,0.07,0.033,0.153,0.604,0.04,0.047,round08
JS-32,0.026,0.021,0.071,0.029,0.142,0.612,0.048,0.052,round08
JS-33,0.02,0.02,0.07,0.024,0.119,0.613,0.062,0.072,round08
JS-34,0.029,0.026,0.082,0.03,0.159,0.582,0.039,0.053,round08
JS-35,0.278,0.015,0.03,0.494,0.049,0.096,0.018,0.02,round08
JS-36,0.029,0.026,0.076,0.032,0.162,0.586,0.04,0.051,round08
JS-01,0.019,0.018,0.09,0.026,0.147,0.573,0.107,0.02,round09
JS-02,0.026,0.022,0.093,0.034,0.168,0.557,0.08,0.021,round09
JS-03,0.022,0.025,0.107,0.03,0.154,0.557,0.083,0.022,round09
JS-04,0.03,0.027,0.105,0.039,0.176,0.532,0.07,0.021,round09
JS-05,0.041,0.024,0.096,0.047,0.19,0.502,0.077,0.022,round09
JS-06,0.025,0.031,0.113,0.036,0.187,0.517,0.071,0.02,round09
JS-07,0.021,0.025,0.098,0.032,0.167,0.548,0.087,0.023,round09
JS-08,0.021,0.021,0.097,0.031,0.153,0.564,0.092,0.022,round09
JS-09,0.02,0.023,0.109,0.03,0.159,0.55,0.087,0.023,round09
JS-10,0.023,0.025,0.103,0.03,0.165,0.553,0.08,0.021,round09
JS-11,0.023,0.021,0.099,0.03,0.166,0.543,0.093,0.023,round09
JS-12,0.022,0.019,0.089,0.033,0.144,0.569,0.102,0.022,round09
JS-13,0.021,0.019,0.099,0.028,0.15,0.562,0.098,0.023,round09
JS-14,0.017,0.024,0.108,0.026,0.163,0.54,0.096,0.026,round09
JS-15,0.02,0.023,0.1,0.026,0.16,0.541,0.105,0.026,round09
JS-16,0.018,0.022,0.097,0.03,0.15,0.562,0.096,0.025,round09
JS-17,0.022,0.017,0.085,0.033,0.141,0.571,0.107,0.024,round09
JS-18,0.02,0.024,0.106,0.029,0.163,0.535,0.098,0.024,round09
JS-19,0.026,0.018,0.087,0.037,0.149,0.573,0.09,0.02,round09
JS-20,0.017,0.022,0.097,0.028,0.144,0.548,0.118,0.026,round09
JS-21,0.018,0.018,0.098,0.028,0.145,0.538,0.128,0.027,round09
JS-22,0.015,0.015,0.06,0.023,0.078,0.204,0.585,0.022,round09
JS-23,0.017,0.02,0.098,0.026,0.14,0.512,0.153,0.032,round09
JS-24,0.017,0.018,0.096,0.027,0.142,0.528,0.143,0.029,round09
JS-25,0.017,0.018,0.102,0.028,0.146,0.541,0.122,0.025,round09
JS-26,0.024,0.02,0.096,0.036,0.161,0.558,0.082,0.022,round09
JS-27,0.019,0.019,0.087,0.03,0.145,0.533,0.14,0.026,round09
JS-28,0.018,0.021,0.101,0.027,0.143,0.531,0.129,0.03,round09
JS-29,0.019,0.019,0.089,0.029,0.146,0.546,0.124,0.027,round09
JS-30,0.017,0.019,0.107,0.026,0.14,0.512,0.146,0.033,round09
JS-31,0.019,0.021,0.099,0.027,0.148,0.547,0.112,0.026,round09
JS-32,0.018,0.019,0.101,0.029,0.136,0.527,0.138,0.032,round09
JS-33,0.017,0.017,0.089,0.027,0.133,0.487,0.197,0.032,round09
JS-34,0.021,0.019,0.084,0.034,0.15,0.569,0.1,0.023,round09
JS-35,0.019,0.02,0.094,0.029,0.153,0.554,0.106,0.026,round09
JS-36,0.02,0.017,0.092,0.031,0.144,0.57,0.103,0.024,round09
JS-01,0.009,0.015,0.108,0.027,0.095,0.65,0.059,0.037,round10
JS-02,0.014,0.022,0.121,0.038,0.124,0.601,0.048,0.033,round10
JS-03,0.011,0.022,0.128,0.032,0.115,0.595,0.059,0.038,round10
JS-04,0.016,0.024,0.119,0.043,0.128,0.596,0.044,0.031,round10
JS-05,0.012,0.019,0.116,0.031,0.105,0.621,0.058,0.038,round10
JS-06,0.01,0.025,0.137,0.03,0.126,0.576,0.057,0.038,round10
JS-07,0.014,0.022,0.116,0.037,0.117,0.617,0.046,0.03,round10
JS-08,0.01,0.02,0.133,0.031,0.114,0.579,0.065,0.047,round10
JS-09,0.01,0.019,0.12,0.035,0.12,0.595,0.06,0.041,round10
JS-10,0.009,0.018,0.132,0.029,0.102,0.575,0.082,0.053,round10
JS-11,0.01,0.02,0.126,0.03,0.111,0.587,0.069,0.047,round10
JS-12,0.01,0.018,0.122,0.032,0.109,0.601,0.064,0.045,round10
JS-13,0.01,0.021,0.127,0.03,0.112,0.595,0.062,0.044,round10
JS-14,0.01,0.021,0.135,0.03,0.107,0.592,0.065,0.041,round10
JS-15,0.012,0.021,0.12,0.034,0.114,0.615,0.051,0.034,round10
JS-16,0.011,0.023,0.129,0.031,0.117,0.592,0.057,0.04,round10
JS-17,0.013,0.019,0.125,0.034,0.113,0.601,0.055,0.039,round10
JS-18,0.011,0.019,0.119,0.034,0.11,0.611,0.058,0.039,round10
JS-19,0.012,0.022,0.124,0.035,0.126,0.592,0.054,0.036,round10
JS-20,0.011,0.017,0.11,0.034,0.104,0.624,0.062,0.038,round10
JS-21,0.01,0.019,0.115,0.03,0.105,0.604,0.069,0.048,round10
JS-22,0.008,0.015,0.103,0.03,0.085,0.5,0.176,0.084,round10
JS-23,0.01,0.017,0.11,0.031,0.098,0.609,0.077,0.048,round10
