BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a,BOD_lag,COD_lag,T-N_lag,DTN_lag,NO3-N_lag,NH3-N_lag,T-P_lag,DTP_lag,PO4-P_lag,Chl-a_lag
1.2,3.7,3.569,3.385,2.919,0.28,0.067,0.039,0.018,4.9,1,3.5,4.039,3.853,3.317,0.362,0.037,0.125,0.014,2.6
1.7,4.2,3.573,3.34,2.757,0.284,0.044,0.022,0.012,12.1,1.2,3.7,3.569,3.385,2.919,0.28,0.067,0.039,0.018,4.9
2,4.1,3.161,2.979,2.506,0.157,0.042,0.019,0.009,11.5,1.7,4.2,3.573,3.34,2.757,0.284,0.044,0.022,0.012,12.1
2.5,4.9,2.612,2.461,1.971,0.142,0.044,0.023,0.008,17.2,2,4.1,3.161,2.979,2.506,0.157,0.042,0.019,0.009,11.5
2.2,5.1,2.356,2.152,1.655,0.095,0.363,0.025,0.015,27.1,2.5,4.9,2.612,2.461,1.971,0.142,0.044,0.023,0.008,17.2
2,4.7,2.576,2.377,1.826,0.063,0.067,0.043,0.034,16.2,2.2,5.1,2.356,2.152,1.655,0.095,0.363,0.025,0.015,27.1
1.8,5,2.062,1.916,1.556,0.071,0.068,0.047,0.033,18,2,4.7,2.576,2.377,1.826,0.063,0.067,0.043,0.034,16.2
1.6,4.2,2.218,2.052,1.523,0.117,0.055,0.036,0.019,16.1,1.8,5,2.062,1.916,1.556,0.071,0.068,0.047,0.033,18
1.4,4.8,2.873,2.74,2.32,0.043,0.064,0.048,0.031,7.9,1.6,4.2,2.218,2.052,1.523,0.117,0.055,0.036,0.019,16.1
1.7,4,2.931,2.749,2.03,0.053,0.04,0.023,0.011,12,1.4,4.8,2.873,2.74,2.32,0.043,0.064,0.048,0.031,7.9
1.5,3.7,3.773,3.57,2.738,0.094,0.038,0.022,0.013,7.9,1.7,4,2.931,2.749,2.03,0.053,0.04,0.023,0.011,12
1.5,3.6,3.697,3.517,3.282,0.176,0.032,0.019,0.01,7,1.5,3.7,3.773,3.57,2.738,0.094,0.038,0.022,0.013,7.9
2,3.8,3.917,3.693,3.051,0.265,0.055,0.03,0.011,11.5,1.5,3.6,3.697,3.517,3.282,0.176,0.032,0.019,0.01,7
2.1,4.8,3.368,3.189,2.66,0.196,0.038,0.02,0.006,12.9,2,3.8,3.917,3.693,3.051,0.265,0.055,0.03,0.011,11.5
2.1,4.7,3.08,2.944,2.36,0.096,0.041,0.025,0.013,13.8,2.1,4.8,3.368,3.189,2.66,0.196,0.038,0.02,0.006,12.9
2.2,5.2,2.73,2.429,1.92,0.08,0.044,0.021,0.009,16,2.1,4.7,3.08,2.944,2.36,0.096,0.041,0.025,0.013,13.8
2.8,6.2,2.206,1.989,1.811,0.139,0.048,0.027,0.021,28.4,2.2,5.2,2.73,2.429,1.92,0.08,0.044,0.021,0.009,16
2.2,5.5,2.154,1.85,1.552,0.087,0.053,0.032,0.019,31.1,2.8,6.2,2.206,1.989,1.811,0.139,0.048,0.027,0.021,28.4
1.8,5.5,2.378,2.06,1.733,0.104,0.099,0.061,0.029,9.3,2.2,5.5,2.154,1.85,1.552,0.087,0.053,0.032,0.019,31.1
