T_N,T_P,NH3_N
4.154,0.092,0.899
4.586,0.114,1.091
2.929,0.087,0.326
3.651,0.133,0.913
2.492,0.098,0.185
2.581,0.112,0.451
2.955,0.15,0.555
2.941,0.169,0.562
4.892,0.088,0.778
6.227,0.088,1.172
5.143,0.077,0.819
7.245,0.087,1.707
6.284,0.157,2.112
5.551,0.102,2.079
5.377,0.081,1.613
4.768,0.125,1.293
3.857,0.186,1.285
3.293,0.172,1.142
2.645,0.101,0.312
3.789,0.083,0.582
5.276,0.066,1.108
7.247,0.09,2.014
7.636,0.122,2.905
9.432,0.089,5.143
6.634,0.15,3.393
5.022,0.121,1.958
3.941,0.127,1.492
4.233,0.153,1.245
3.507,0.231,0.677
3.16,0.191,1.167
2.85,0.157,0.412
3.803,0.103,0.413
3.104,0.097,0.726
4.143,0.089,0.972
6.652,0.102,1.972
6.452,0.141,1.705
6.849,0.135,2.693
5.548,0.117,1.977
4.361,0.142,1.961
3.695,0.122,1.014
3.051,0.226,0.541
3.027,0.15,0.53
2.776,0.152,0.363
3.313,0.063,0.39
5.21,0.068,1.118
6.414,0.102,2.181
5.335,0.092,1.648
6.035,0.101,2.221
6.218,0.091,2.593
5.008,0.109,2.079
3.289,0.099,1.062
3.855,0.095,1.412
2.966,0.122,0.57
3.023,0.133,0.647
2.776,0.103,0.459
2.916,0.104,0.52
4.355,0.099,0.956
4.391,0.14,0.84
4.95,0.093,0.418
4.708,0.13,0.946
4.281,0.114,0.887
4.03,0.099,0.885
2.901,0.096,0.445
3.753,0.12,1.157
2.488,0.131,0.475
2.528,0.128,0.785
2.82,0.141,0.672
2.841,0.17,0.622
4.171,0.098,0.622
5.176,0.082,0.974
4.934,0.104,0.777
6.062,0.111,1.212
5.89,0.092,1.932
5.514,0.094,2.329
4.829,0.07,1.515
3.992,0.079,1.02
3.294,0.145,1.163
2.368,0.134,0.517
2.228,0.147,0.12
3.108,0.081,0.677
4.797,0.093,1.147
6.218,0.077,1.854
6.771,0.137,2.66
7.686,0.111,4.539
6.632,0.152,3.478
4.52,0.1,1.629
3.909,0.104,1.546
3.897,0.085,1.318
2.975,0.125,0.515
2.8,0.188,0.991
2.537,0.101,0.256
2.975,0.116,0.206
4.056,0.176,0.88
5.522,0.176,1.429
7.198,0.145,1.775
6.292,0.197,2.299
6.492,0.192,2.755
4.441,0.156,2.08
3.878,0.149,2.154
2.811,0.132,1.181
2.46,0.118,0.421
2.128,0.142,0.347
2.608,0.137,0.339
3.111,0.068,0.181
4.537,0.062,0.597
5.832,0.088,1.843
5.134,0.099,1.457
5.714,0.096,1.809
6.029,0.103,2.214
4.748,0.11,1.872
3.242,0.109,0.854
3.725,0.103,1.261
2.928,0.139,0.497
3.431,0.19,0.729
2.514,0.135,0.347
2.841,0.117,0.409
3.945,0.098,0.673
4.364,0.129,0.861
5.226,0.104,0.3
5.067,0.139,1.062
4.042,0.118,0.678
3.852,0.096,0.735
2.573,0.097,0.259
3.751,0.135,0.985
2.459,0.138,0.323
2.578,0.181,0.576
2.502,0.135,0.444
3.037,0.196,0.502
4.027,0.102,0.538
4.594,0.091,0.843
4.325,0.094,0.724
5.665,0.111,0.809
5.857,0.085,1.943
5.697,0.134,2.073
4.327,0.066,1.112
3.892,0.092,1.182
3.168,0.135,1.111
3.01,0.159,0.914
2.183,0.1,0.176
2.886,0.078,0.545
4.581,0.073,0.998
5.655,0.071,1.297
6.551,0.159,2.274
7.818,0.12,4.195
7.502,0.118,4.24
4.374,0.1,1.529
4.07,0.097,1.658
3.717,0.097,1.135
3.009,0.116,0.459
2.745,0.154,0.804
2.585,0.095,0.251
2.898,0.128,0.219
4.147,0.136,0.95
4.971,0.159,1.212
7.118,0.13,1.624
6.277,0.157,2.434
6.171,0.127,2.785
4.295,0.16,1.758
4.093,0.151,2.031
2.939,0.112,0.995
2.494,0.116,0.38
2.069,0.113,0.499
2.399,0.12,0.176
3.255,0.075,0.206
4.056,0.051,0.362
5.492,0.091,1.965
4.808,0.085,1.085
5.078,0.081,1.292
5.719,0.096,1.868
4.621,0.103,1.609
3.145,0.1,0.795
3.573,0.085,1.104
2.907,0.129,0.451
2.893,0.183,0.514
2.433,0.121,0.261
2.975,0.11,0.498
3.721,0.1,0.587
4.374,0.116,0.838
4.621,0.088,0.154
5.102,0.129,0.937
3.945,0.109,0.566
3.519,0.099,0.499
2.858,0.116,0.248
3.481,0.123,0.745
2.324,0.15,0.239
2.126,0.141,0.243
2.447,0.134,0.331
3.149,0.275,0.355
3.727,0.111,0.404
4.374,0.08,0.573
4.429,0.097,0.746
5.129,0.102,0.457
5.711,0.068,1.773
5.336,0.078,1.643
3.728,0.059,0.79
3.847,0.096,0.97
3.315,0.13,1.039
3.117,0.148,0.99
2.144,0.101,0.152
2.717,0.085,0.491
4.118,0.059,0.689
5.091,0.067,1.067
6.747,0.119,2.313
6.701,0.107,2.794
7.046,0.102,3.458
4.435,0.098,1.593
3.502,0.081,1.051
3.163,0.085,0.776
2.531,0.118,0.235
2.4,0.168,0.503
2.591,0.108,0.21
2.558,0.109,0.187
3.592,0.099,1.02
4.371,0.092,1.18
6.836,0.103,1.333
6.029,0.132,1.965
5.893,0.108,2.536
4.814,0.152,1.938
3.708,0.134,1.632
2.979,0.117,1.019
2.641,0.121,0.297
1.999,0.119,0.305
2.511,0.128,0.243
3.072,0.082,0.173
3.692,0.047,0.259
5.379,0.055,1.75
