PO4_P,log TC,log FC
0.021,2.5775,1.7559
0.057,2.4346,2.4624
0.029,2.2945,1.5051
0.091,3.7455,3.3218
0.075,2.5366,2.1239
0.076,3.167,2.9015
0.027,3.2274,2.9395
0.011,2.8965,2.6484
0.051,3.601,3.2718
0.031,2.0043,1.301
0.006,2.617,1.3617
0.006,2.0374,0.6021
0.033,3.2882,1.5051
0.04,2.2718,1.301
0.02,2.2041,1.2304
0.043,3.2676,2.4456
0.052,1.7634,1.1139
0.035,1.6532,1.1139
0.038,1.9395,1.6021
0.042,2.7033,1.9638
0.052,3.1772,2.3222
0.004,2.1987,0.7782
0.042,2.721,2.0043
0.013,2.9294,2.0828
0.019,2.5798,1.9638
0.024,2.7419,1.5185
0.037,2.4829,1.4771
0.065,3.5064,2.1673
0.078,2.2148,1.2788
0.082,3.1335,2.6656
0.098,4.0978,3.415
0.019,2.6021,1.7324
0.017,2.7284,1.5911
0.017,2.1004,1.301
0.012,2.5441,0.4771
0.017,2.3617,0.699
0.016,1.6812,0.301
0.02,1.9685,0
0.007,0.7782,0
0.079,2.5866,2.1553
0.065,4.3618,3.0781
0.046,3.9244,2.3404
0.015,2.4983,1.5441
0.019,2.1903,1.2304
0.01,2.0334,1.415
0.021,2.4654,0.9542
0.015,1.6128,0.7782
0.038,3.699,2.8021
0.023,2.9685,2.2201
0.026,2.9566,2.238
0.023,0.9542,0.6021
0.066,3.7642,3.1011
0.082,4.1775,3.2973
0.046,3.5079,2.5658
0.034,3.3002,2.6937
0.028,3.7222,2.8376
0.028,3.5428,2.4771
0.013,2.3385,1.3222
0.014,3.0022,1.2788
0.013,3.2055,2.1523
0.029,2.29,1.415
0.044,2.4346,2.1703
0.017,2.2742,1.3802
0.053,3.812,3.2711
0.065,3.8879,3.3355
0.07,3.9053,3.2945
0.024,3.5712,2.7404
0.023,2.5024,1.7634
0.049,3.2082,2.683
0.017,1.7243,1.6021
0.007,2.3747,0.301
0.006,1.6232,0.9031
0.03,2.8451,1.7404
0.03,2.2718,1.3802
0.016,1.6812,1.2041
0.044,2.8062,1.0792
0.068,3.0253,2.8325
0.034,2.7324,1.8633
0.031,2.6812,1.8451
0.016,1.9777,0.301
0.062,2.6628,1.8451
0.007,1.7782,0.6021
0.041,2.9731,2
0.019,3.7782,2.7324
0.024,1.6021,0
0.026,3.5911,2.8751
0.035,2.301,1.1461
0.067,4.1761,3.3802
0.074,2,1.4771
0.073,2.7324,1.9777
0.102,3.9542,2.7782
0.034,2.8451,1.9542
0.029,2.301,1.301
0.016,1.8129,1.301
0.008,1.7782,0
0.017,1.6021,0
0.057,2.0792,0.699
0.012,2.0414,1.3424
0.005,2.4771,2
0.064,2.7782,2
0.07,3,1.699
0.052,2,1.699
0.019,2.4771,1.4771
0.008,2,0
0.011,1.5563,0.4771
0.017,2.0414,0.8451
0.02,1.3979,0
0.019,2.9031,2
0.021,2.1139,1
0.024,2.9542,2.0414
0.032,2.4771,0.301
0.043,3.6021,3.2788
0.07,2.6021,0.699
0.049,3.2788,2.301
0.03,2.1139,1
0.033,2.9243,2.2041
0.032,3.301,2.5315
0.021,2.1461,1.301
0.014,2.4771,1
0.024,2.699,0.301
0.022,1.6021,0.4771
0.05,0.301,0
0.018,1.8129,1.0792
0.05,3.5315,3.0792
0.061,2.7324,0.301
0.082,2.2041,1.6721
0.023,3.2553,2.7076
0.017,2.4624,1.2553
0.058,3.5682,2.4472
0.013,1.8261,1.301
0.004,1.9031,0.301
0.008,2.1239,1
0.02,3.1206,2.29
0.027,2.2856,1.9685
0.012,1.8129,1.415
0.04,2.4771,0.6021
0.054,3.6812,3.1875
0.02,3.0334,2.3118
0.025,2.7482,1.716
0.018,2.6021,1.2041
0.051,2.2553,1.8195
0.007,1.6532,1.6812
0.033,2.6721,2.3222
