region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Nakdong,덕천강2,2020,4,27,first,normal,1.6,13,10.7,7,44,83.2,16.8,0,32.8,3.22,0.41,0.5,1034,675,0.9,22.3,137.9,20.8,72.1,31.5,4.1,0.27,0.027,9.82,37.3
Geum,무주남대천-1,2020,4,28,first,normal,0.5,14,12.7,8.8,112,96.8,3.2,0,16.6,0.69,0.06,0.15,637,294,2.7,36.7,214.8,41,60.3,32.1,11.5,0.38,0.045,6.33,43.2
Nakdong,밀양강3,2020,4,20,first,normal,2.4,16,10,7.6,142,100,0,0,13.4,1.12,0.03,0.1,660,197,2.3,32.4,136,20.2,33.2,13.8,12.5,0.33,0.039,8.1,41.6
Han,반월천,2020,4,30,first,normal,1,13,12.4,8.1,1285,78.9,19.7,1.4,21.7,0.74,0.08,0.15,266,336,8.6,37,152.8,36.6,68.7,31.7,8.4,0.25,0.036,7.16,27.4
Yeongsan,보성강7,2020,4,9,first,slightlybad,0.4,13,10.5,8.3,84,91.4,8.6,0,21.6,0.69,0.07,0.24,242,194,0.4,26.5,148.1,47.2,81.1,39,18.8,0.23,0.041,7.65,42.6
Han,사직,2020,4,23,first,normal,1.7,12,12.7,8.5,9773,72.9,26,1.2,20,2.63,0.25,1.45,565,441,15.4,27.5,124.4,35.3,70.7,29.3,13.9,0.24,0.067,7.36,38.2
Nakdong,삼랑진2,2020,4,20,first,normal,11.8,15,9.8,8,282,90.8,7.4,1.8,22.2,1.25,0.27,0.28,880,238,2.1,31,138.2,23.3,56.3,27.1,9.7,0.32,0.055,9.06,43.9
Han,삼봉리,2020,4,14,first,normal,7.8,12,11.9,8.2,123,70.8,29.2,0,32.8,3.53,0.9,1.15,1248,535,0.7,30.3,94.4,23,77.2,31.9,6.6,0.21,0.038,10.38,37.2
Yeongsan,석교천,2020,4,14,first,normal,1.1,13,13.3,8.9,3939,4.6,77,18.4,46.8,2.69,0.76,0.33,551,266,7.5,20.3,60.7,8.5,57.9,21.2,4.5,0.14,0.007,7.16,49.3
Han,선행천,2020,4,19,first,normal,0.4,11,12.6,7.7,296,75.2,24.8,0,22.9,1.45,0.25,0.4,461,410,3.9,28,114.7,27.5,53.6,21.8,4.9,0.22,0.034,10.36,20.7
Han,섬강4-1,2020,4,17,first,normal,0.8,14,13.6,9.1,320,82.4,17.6,0,19.2,0.56,0.12,0.35,712,293,5.2,27.4,103.5,16.2,66.7,32.5,9.4,0.25,0.029,8.84,38.3
Han,소양강2-2,2020,4,22,first,normal,1.3,9,12.8,7.6,84,76.7,23.3,0,25.8,1.84,0.48,1.52,1773,535,2.5,25.4,91.8,17.2,59.9,23.6,4.6,0.19,0.028,8.8,26.1
Yeongsan,수어천2,2020,4,1,first,normal,2.3,15,9,8,34982,4.7,73.8,21.5,52.3,8.74,2.08,1.92,1865,636,7.2,30.4,163.1,33.1,71.1,33,13.1,0.21,0.056,9.99,98.2
Nakdong,안동1,2020,4,21,first,slightlybad,4.4,8,10.6,7.7,170,95,5,0,19.8,1,0.05,0.08,561,497,0.9,18.9,208.8,6.9,17.2,9.6,30.9,1.51,0.015,7.89,17.7
Han,안성천3,2020,4,2,first,normal,1.8,13,10.3,7.7,536,60.4,37.6,2,26.9,2.76,0.66,0.85,1170,671,14,26.1,141,23.9,64,23.8,8.1,0.19,0.045,9.18,31.4
Han,안양천10,2020,4,7,first,bad,1.3,15,8.4,7.4,653,77,22.9,0.2,20.8,1.25,0.23,0.59,709,381,6.1,47.9,631.8,106.8,112.7,50.2,6.3,1.84,0.357,9.23,42.8
Nakdong,영강2-1,2020,4,13,first,normal,1,13,11.7,8,362,98.7,1.3,0,21,0.64,0.06,0.1,691,101,0.7,34.1,115,18.7,50.1,25.3,10.5,0.24,0.043,7.77,45
Han,영등포,2020,4,10,first,slightlybad,7.9,14,11.8,8.3,283,56.6,43.5,0,24.9,2.89,0.63,0.89,1074,606,7.2,25,132,29.2,60.8,22.7,5.2,0.26,0.072,8.02,34.5
Han,영월1,2020,4,23,first,normal,1.4,10,11.5,8.3,216,83.7,14.5,1.8,21.3,1.16,0.11,2.38,507,323,5.9,23.1,94.7,17.8,48.9,23.7,10.4,0.28,0.046,7.14,38.6
Nakdong,예천2,2020,4,13,first,normal,1.2,12,11.2,8.1,210,99.9,0.1,0,20.1,0.53,0.02,0.04,545,124,1,22.6,78.3,8,47.1,18.7,9.1,0.26,0.017,7.07,20.7
Yeongsan,오천천,2020,4,20,first,slightlybad,0.5,14,11,7.8,71,76,21.8,2.2,29.9,4.08,0.2,0.22,366,518,1.6,24.1,150.4,63.8,91.1,39.9,7.7,0.28,0.027,11.77,88.4
