region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Nakdong,낙단D,2016,10,14,second,normal,4.4,18,10.2,7.7,190,97.8,2.3,0,20.1,0.56,0.06,0.11,206,107,0,21.2,69.5,8.3,16.1,11,5.4,0.25,0.017,6.75,18.8
Nakdong,낙단U,2016,10,13,second,slightlybad,8.9,19,12.2,7.6,181,80.5,17.1,2.4,26.4,2.48,0.5,0.2,494,162,0,27.5,158.5,19.9,34.2,21.1,8,0.42,0.054,8.03,33.5
Nakdong,논공D,2016,10,12,second,normal,7.5,20,11,6.9,228,99.1,0.9,0,22.2,0.73,0.06,0.07,574,121,0,21,88.7,14.3,51.8,15.3,4.9,0.31,0.023,6.75,20.8
Geum,논산천4,2016,10,17,second,normal,7.7,18,10.6,7.8,275,72.1,25.8,2.1,23.5,1.58,0.32,0.57,798,502,0,36.9,149.6,28,51.5,22.2,7.3,0.21,0.039,9.91,48.1
Nakdong,다사D,2016,10,31,second,slightlybad,6,17,11.3,7.4,287,97.7,2.3,0,22.6,0.79,0.08,0.09,535,128,0,22.5,260.4,16.9,38.2,25.5,5,0.41,0.022,8.49,20.9
Geum,당진천2,2016,10,25,second,normal,0.8,17,8.5,8,434,81,16.3,2.7,21.4,0.88,0.08,0.16,365,369,5,32.4,123.3,29,62.9,24.6,8.5,0.26,0.028,7.15,38.3
Han,대성리,2016,10,25,second,normal,3.9,18,8.6,7.3,122,73.9,26.1,0,24.7,2.63,0.3,0.66,373,363,0,31.9,97.4,22.9,63.7,24.2,7,0.3,0.022,7.84,26.4
Han,대신,2016,10,12,second,slightlybad,3.4,18,9.3,8.4,252,66.5,33.1,0.4,21.9,1.72,0.45,0.41,507,257,0,33.8,119.5,20.9,32.6,13.4,7.1,0.47,0.033,7.16,36
Han,대신D,2016,10,13,second,normal,1.5,18,10.3,8.2,250,80.1,19.9,0,26.5,1.22,0.15,0.16,492,255,0,29.7,57.8,9.8,20.2,7.7,4.6,0.18,0.008,6.87,18.6
Han,대신U,2016,10,12,second,normal,4.7,18,9.2,8.1,249,82.7,17.3,0,18.2,0.9,0.09,0.26,246,247,0,33.4,113,19,27.6,11.3,4.6,0.27,0.016,8.66,35.5
Nakdong,덕곡D,2016,10,26,second,normal,4.2,18,11.1,7.1,325,99.5,0.5,0,21.4,0.48,0.01,0.03,313,93,0,19.6,68.2,11.6,38.6,13.5,5.8,0.17,0.022,6.03,18.6
Geum,동진강3,2016,10,19,second,normal,3.5,17,8.8,7.5,248,78.6,20.1,1.3,19.4,0.74,0.07,0.13,321,253,4.5,21.3,89.1,18.4,45.3,14.7,4.4,0.13,0.025,6.84,33.7
Yeongsan,동홍천,2016,10,17,second,slightlybad,0.5,15,3.4,7.8,99,94.1,5.9,0,23.4,1.08,0.17,0.36,288,1581,5.6,21.5,256.1,44.6,71.3,37,5,0.31,0.164,8.92,19.8
Yeongsan,무안1,2016,10,20,second,normal,3.3,19,7.8,8.3,217,32.2,66.4,1.4,42.9,4.49,1.41,1.45,1619,549,9.3,24.7,121.9,21,46.7,18.8,5.4,0.2,0.063,7.67,44.3
Geum,무한천2,2016,10,26,second,normal,1.2,16,10.1,7.6,488,87.3,12.3,0.4,19.3,0.61,0.06,0.21,450,264,4.1,29.4,130.6,33.6,79.8,33,9.5,0.18,0.033,8.81,48.1
Nakdong,반변천2-1,2016,10,25,second,normal,4,17,8.5,7.7,192,90.1,9.9,0,18.7,1.11,0.09,0.1,195,338,0,21.1,131.9,16.6,31,11.3,4.7,0.39,0.031,6.93,20.4
Han,반월천,2016,10,26,second,slightlybad,0.9,15,7.2,7.3,836,6.8,83.8,9.3,53.7,6.63,1.94,1.71,2453,929,8.8,40.6,261.5,81.5,86.7,39.8,9,0.25,0.041,9.11,49.9
Geum,부여,2016,10,13,second,slightlybad,5.5,18,10,7.6,273,92.6,7.4,0,20.9,0.85,0.09,0.26,597,298,0,42.7,214.2,55.1,75.9,38.6,9.2,0.5,0.083,8.39,53.8
Geum,부여D,2016,10,14,second,slightlybad,7.7,18,11.8,7.8,258,93.2,6.8,0,21.3,1.1,0.13,0.23,318,268,0,35.7,182.2,42.5,74.6,33.9,10,0.46,0.074,8.71,46.9
Geum,부여U,2016,10,12,second,slightlybad,6.7,18,9.5,7.6,256,88.6,11.1,0.3,20.3,0.7,0.06,0.1,286,138,0,34.4,219.7,52.6,74.4,37.9,10.2,0.5,0.087,9.07,54.8
Han,삼봉리,2016,10,25,second,slightlybad,9.2,18,8.8,7.5,128,69.4,30.6,0,36.7,4.49,1.32,0.98,842,470,0,39.6,152.1,40.8,81.8,35.3,7.7,0.52,0.042,9.21,39.8
Geum,삽교천3,2016,10,25,second,normal,2,16,10,7.7,458,80.7,19,0.4,19.6,0.84,0.07,0.12,324,275,0,17.3,58.8,12.5,53.4,17.5,4.7,0.11,0.012,6.86,30.5
Nakdong,선산,2016,10,24,second,normal,10.9,18,10.5,7.4,200,93.5,6.5,0,20.8,0.67,0.11,0.1,516,96,0,27.2,137.1,19.7,50.5,20.9,8.9,0.39,0.046,7.34,36
Nakdong,선산U,2016,10,24,second,slightlybad,9.7,18,10.4,7.4,204,84.7,14.1,1.3,30.8,2.96,0.37,1.25,1547,548,0,30.8,183.8,30.9,54.1,25,9.6,0.46,0.057,8.3,41
Han,선행천,2016,10,19,second,normal,0.5,18,12.4,8.3,624,79.1,20.9,0,22.5,1.31,0.06,0.07,235,124,0,25.8,102.6,24.3,24.9,8.6,5.1,0.36,0.008,8.41,14.2
Geum,성동,2016,10,17,second,normal,6.6,18,9.4,7.8,368,81.6,17.1,1.3,30.7,2.25,0.38,0.78,1234,516,0,34.3,156.1,36.5,68.6,31.5,10.3,0.37,0.06,9.58,46.7
Nakdong,수영강5,2016,10,27,second,verybad,3.5,20,5.8,7.1,38217,8.1,78.2,13.7,59.4,13.75,4.97,3.51,3202,1869,55.5,111.4,731.8,135.3,86.7,33,12.9,1.52,0.555,7.74,55
Yeongsan,순천동천3,2016,10,31,second,normal,2,14,5.9,6.9,2941,2.4,89.7,7.9,43.8,5.1,1.27,1.15,1674,447,5.7,21.2,104.2,20.1,73.6,31.6,5.5,0.11,0.034,7.29,70.9
Han,안성천3,2016,10,20,second,normal,1.2,21,14.8,8.8,668,93,7.1,0,20.5,0.78,0.21,0.12,340,110,0,35.9,125,27.6,50.9,18.6,8.9,0.38,0.052,6.92,26
Geum,양화,2016,10,18,second,normal,10.5,18,9,7.9,356,93.8,6.2,0,20.9,0.92,0.11,0.21,457,304,0,28,93,21.8,59,22.5,7.9,0.21,0.037,8.39,38.9
Nakdong,예천2,2016,10,10,second,normal,1.5,19,9.9,6.3,176,98.6,1.4,0,20.9,0.54,0.02,0.04,426,117,0,24.2,108.3,14.8,32.1,14.2,11.6,0.35,0.034,6.68,15.3
Yeongsan,옹포천,2016,10,18,second,slightlybad,0.9,17,5.2,8.2,335,64,32.5,3.5,31,3.66,0.59,1.36,1143,1349,16.4,12.8,113,39.4,195.5,92.4,5.5,0.11,0.038,7.33,23.9
Geum,와룡천,2016,10,4,second,slightlybad,0.5,20,9.1,7.5,341,85,14.1,0.9,21.5,0.89,0.18,0.27,641,354,0,40.8,207.2,48.6,60.3,35.2,9.3,0.34,0.04,8.33,46
Yeongsan,외도천,2016,10,18,second,verybad,0.5,17,5.8,7.9,147,99.3,0.7,0,23.4,0.68,0.11,0.12,144,1943,9.4,7.3,153.7,30.2,74.2,46.5,4.9,0.14,0.034,8.41,15.9
Nakdong,용산,2016,10,4,second,normal,9.8,24,12.4,7.9,277,88.2,11.8,0,23.9,1.94,0.31,0.28,829,248,0,22.6,120.4,13.3,62.6,15.7,5.1,0.36,0.034,5.71,24.7
Yeongsan,운암,2016,10,26,second,normal,0.5,17,10.2,8.2,177,100,0,0,22.6,1.01,0.07,0.17,327,255,4.1,25.6,111.1,25.7,49.2,20.2,7.9,0.18,0.042,8.42,49
Geum,웅천천2,2016,10,24,second,normal,4.2,16,6.2,7.3,1735,64.1,32.6,3.3,23.2,2.27,0.53,1.07,1147,428,0,28,129.7,26.9,65.9,25.3,7.3,0.25,0.03,7.61,44
Geum,원평천2,2016,10,20,second,normal,3.3,18,6.8,7.5,262,44.1,51.5,4.3,24.3,1.78,0.43,0.74,999,582,0,21.3,83.7,19.1,56.1,21.4,6.2,0.12,0.026,8.52,47.9
Yeongsan,이사천3,2016,10,31,second,normal,0.9,14,9.8,8,87,99.2,0.8,0,22.6,1.5,0.16,0.34,479,296,4.2,24.9,140.8,35.3,77.6,39.3,9.7,0.21,0.065,8.52,48.6
Han,이포,2016,10,13,second,slightlybad,4.5,19,10.6,8.6,286,64.7,35.3,0,21.7,1.66,0.09,0.34,408,935,0,27.4,166.3,37.9,129.7,30.8,5.2,0.34,0.021,9.01,32.9
Han,이포D,2016,10,12,second,normal,3.1,19,9.7,8.2,279,82.5,17.5,0,22.6,1.07,0.11,0.3,662,408,0,34.4,85.9,19.3,45.4,17.5,5.1,0.34,0.032,6.95,32.7
Han,이포U,2016,10,13,second,slightlybad,3.3,18,9.6,8.1,252,16.1,78.7,5.2,45.2,9.47,1.74,2.16,2665,1020,0,40.1,166.6,32.2,36.2,16.7,7.1,0.42,0.008,12.15,55.3
Geum,전주천6,2016,10,27,second,verybad,3.1,20,6.9,7.2,1458,75.5,22.5,1.9,67.2,12.57,2.89,6.44,8250,3611,12.3,56.6,581.8,119.2,63,30.4,9.3,1.19,0.359,7.35,52.7
Yeongsan,죽산,2016,10,10,second,slightlybad,7.1,20,6.6,6.4,138,30.8,60.9,8.3,21.2,1.22,0.24,2.09,2728,858,0,28.3,177.5,30.7,48.5,21.6,5.9,0.21,0.074,8.82,49.2
Yeongsan,죽산U,2016,10,13,second,slightlybad,5.4,18,7,7.4,187,94.5,5.5,0,25.9,1.4,0.04,0.08,499,425,0,38.4,221.2,51.8,40.2,19.3,6.3,0.27,0.081,10.63,52.9
Yeongsan,지석천4,2016,10,24,second,normal,0.8,19,10,7.8,191,100,0,0,18.4,0.68,0.02,0.08,176,192,0,26.7,124.6,25.2,46.2,20.2,8.2,0.26,0.051,8.62,46.9
Han,진위천3,2016,10,20,second,normal,1.7,21,10.8,7.9,1308,81.6,18.4,0,25.3,2.11,0.58,0.51,739,574,5.5,33.5,132.9,29.1,45.8,19.5,3.6,0.37,0.028,7.07,19.3
Nakdong,칠곡,2016,10,19,second,slightlybad,13.5,20,11.2,7.3,262,69,26.8,4.3,31.8,3.98,0.71,0.75,1173,519,0,31.9,217.1,29.4,51.8,28.3,9.7,0.42,0.048,6.39,42.3
Nakdong,칠곡D,2016,10,21,second,normal,6.6,19,10.3,6.5,262,99.1,0.9,0,19.6,0.38,0.01,0.04,333,101,0,13.7,19.6,1.4,7.6,3.4,1.8,0.05,0.005,4.96,7.7
Nakdong,칠곡U,2016,10,19,second,slightlybad,12.1,19,11.4,7.4,256,39.1,54.1,6.8,53,8.1,1.8,1.71,2582,808,0,32.5,220.4,33.1,54.1,28.8,10.1,0.41,0.057,7.97,45.4
Yeongsan,함평,2016,10,20,second,normal,2.9,19,7.2,7.7,212,100,0,0,19.7,0.43,0.06,0.07,179,211,0,24.8,141.8,27.9,55.7,24.1,7.2,0.17,0.05,8.32,53.2
Nakdong,형산강6,2016,10,18,second,normal,2.4,20,9.8,6.8,876,96.6,3.3,0.1,21.9,0.76,0.04,0.05,464,211,12.8,26,124.6,10.6,54,14.8,9.5,0.39,0.044,6.2,21.9
Nakdong,황강5,2016,10,4,second,normal,1.6,24,8.8,7.4,142,99.8,0.2,0,22.7,0.49,0.01,0.04,399,76,0,19.5,55.9,6.3,34.6,6.1,2.3,0.21,0.004,6.55,9.4
Yeongsan,황룡강5,2016,10,24,second,normal,1.5,18,8.4,8.3,198,97.9,2.1,0,22.3,0.92,0.05,0.1,232,333,0,26.6,137.2,17.7,35.3,16.3,5.3,0.17,0.025,9.87,39.8
Nakdong,감천2-1,2016,11,21,second,slightlybad,0.7,13,11,6.9,338,97.2,2.8,0,21.8,0.36,0.02,0.04,399,75,0,21.6,74.5,13.9,19.6,9.4,3.1,0.43,0.006,7.15,12.3
Yeongsan,강진천,2016,11,8,second,normal,1.1,14,10.4,8.6,168,95.3,4.7,0,21.7,0.51,0.05,0.07,240,150,4.6,26.5,154.6,24.4,51.2,20.7,6.6,0.25,0.042,10.62,55.4
Nakdong,거창위천2,2016,11,23,second,normal,1,9,12.4,7.3,116,96.9,3.1,0,21.5,0.52,0.03,0.07,511,114,0,22.5,87.6,8.5,23.6,4.8,2.6,0.26,0.038,8.14,21.2
Nakdong,경호강2,2016,11,17,second,normal,1.5,12,11.3,8.1,144,95.1,4.9,0,22.5,0.59,0.05,0.07,525,118,0,17.6,86,10.2,72.5,17.5,2.7,0.34,0.011,8.3,17.8
Yeongsan,곡성,2016,11,14,second,slightlybad,0.5,12,10.3,8,184,100,0,0,19.6,0.5,0.09,0.12,223,82,0,47.3,172.9,84.9,45.6,20.3,7.2,0.15,0.068,9.76,65.5
Nakdong,곤양천,2016,11,14,second,slightlybad,1,13,10.4,7.3,165,92.4,7,0.6,21,0.86,0.12,0.12,489,136,5.1,18.5,107.3,6.4,305,19.1,4.2,0.31,0.021,5.08,16.2
Yeongsan,군외천,2016,11,7,second,slightlybad,0.5,17,9.6,8.3,62,94.7,5.3,0,25.1,1.79,0.21,0.33,399,194,4.2,33.4,134.7,19,35.8,16.5,6.6,0.2,0.071,8.24,40.6
Yeongsan,금산천,2016,11,4,second,normal,0.6,18,10.2,7.7,1570,56.8,42.5,0.7,50.1,12.03,4.53,3.56,4535,906,0,23.1,123.5,37.1,50.8,24.9,4.4,0.2,0.044,10.12,52.9
Yeongsan,남원,2016,11,9,second,normal,0.8,12,10.2,8.6,185,100,0,0,20.5,0.37,0.06,0.06,190,82,4.9,32.4,143.7,24.1,39.4,17,5.4,0.21,0.048,9.31,57.9
Yeongsan,남해봉천,2016,11,14,second,slightlybad,0.6,15,10.3,7.4,205,90,9,1,22.8,2.45,0.23,0.25,714,423,0,35.9,252.8,40.1,95.1,30.1,9.5,0.45,0.054,8.84,36.2
Nakdong,내성천3-1,2016,11,30,second,normal,0.5,8,12.4,7.5,348,97.6,2.4,0,22.7,0.47,0.01,0.04,100,73,0,23,82.2,10.5,12.4,10.2,2.8,0.12,0.01,7.29,22.2
Nakdong,논공,2016,11,16,second,slightlybad,10.6,14,10.9,7.1,406,100,0,0,24.9,0.7,0.04,0.06,460,148,0,23.8,81.6,13.7,62.4,11.2,5.9,0.53,0.018,4.17,17.2
Nakdong,논공U,2016,11,16,second,slightlybad,10.2,14,10.9,6.9,401,88.5,10.7,0.9,24.7,1.89,0.46,0.3,623,217,5.8,27.8,179.5,36.3,58.8,27,7.2,0.36,0.075,6.77,35.2
Han,달천5,2016,11,2,second,slightlybad,4.6,17,9.8,7.9,237,85.7,14.3,0,20.1,1.11,0.18,0.23,239,267,0,36.1,188.4,32.8,56,23.5,14.5,0.46,0.034,8.88,37.6
Nakdong,덕곡,2016,11,11,second,slightlybad,14.8,14,12.1,8.4,365,97.2,2.8,0,22,0.65,0.04,0.06,497,133,0,22.5,75.6,10.9,49.2,12.1,4.9,0.52,0.015,5.23,19.3
Nakdong,덕곡U,2016,11,11,second,slightlybad,9.1,14,12.5,8.3,381,100,0,0,21.2,0.6,0.03,0.04,440,115,0,27.1,117.6,22.3,83,16.5,7.7,0.5,0.047,7.18,25.6
Nakdong,덕천강2,2016,11,24,second,normal,2,10,12.1,7.3,51,93.1,6.9,0,22.7,1.89,0.12,0.2,826,351,0,24.4,127.7,20.7,79.9,26.3,4.7,0.34,0.014,8.06,25.6
Yeongsan,돌산천,2016,11,1,second,normal,0.6,14,8.6,8,2464,93.3,6.8,0,23.4,1.29,0.08,0.11,162,26,0,30.8,129.9,36.9,31.3,14.1,3.6,0.21,0.04,8.82,31.1
Yeongsan,동계,2016,11,10,second,normal,0.4,10,10.6,9,135,100,0,0,20.5,0.76,0.08,0.06,169,185,0,25.5,131.4,18.6,39.8,16.1,5.6,0.1,0.048,7.65,34.1
Nakdong,명촌,2016,11,9,second,slightlybad,1.5,15,10.7,6.9,29487,91.4,7.7,0.9,17.3,0.76,0.11,0.11,560,129,10.1,31.2,142.6,16.2,68.5,20.1,11.1,0.49,0.02,6.35,21.2
Nakdong,병성천-1,2016,11,25,second,normal,0.8,8,13.8,7.8,311,94.9,5.1,0,22,0.48,0.05,0.1,194,100,0,18.2,67,9.5,29.5,10,2.5,0.19,0.021,4.79,11.6
Yeongsan,보성강4,2016,11,1,second,slightlybad,1.1,12,8.2,8,109,94.5,5.5,0,19.9,0.83,0.1,0.36,455,473,0,22.9,124.7,32.3,93.6,53.6,16,0.22,0.058,8.32,53.9
Yeongsan,보성강7,2016,11,14,second,normal,0.9,13,11,8.5,95,100,0,0,20.9,0.45,0.03,0.14,176,368,0,25.9,129.8,30.5,70.8,30.9,8,0.22,0.051,8.24,47.7
Yeongsan,석교천,2016,11,7,second,normal,1.1,15,11.5,8.1,686,17.3,81.5,1.1,30.6,1.61,0.58,0.37,477,198,0,12.1,32.9,4.1,39.4,9.7,4.2,0.15,0.005,5.4,23.3
Nakdong,선산D,2016,11,21,second,slightlybad,3.5,12,11.5,7.3,260,99.4,0.6,0,22.1,0.5,0.04,0.08,409,92,0,23.3,83.5,10.2,26.9,10.2,5.3,0.41,0.03,6.61,19.9
Yeongsan,수어천2,2016,11,16,second,normal,2,17,7.2,8,44010,15.7,79.4,4.9,51.4,8.46,2.02,1.84,1847,271,0,24.7,143.5,28.4,65,28.9,7,0.11,0.054,8.97,90.8
Han,신천3,2016,11,8,second,verybad,1.2,13,10.3,8.1,1750,88.5,11.5,0,22.4,0.81,0.13,0.16,181,162,0,51.4,5552.2,113.1,1550.7,130,8.4,1.18,0.101,8.14,32.1
Nakdong,안동1,2016,11,22,second,slightlybad,2.2,15,7.1,7,192,100,0,0,21.6,0.66,0.06,0.09,406,292,0,14.8,160,11.4,11.6,8,9.8,0.72,0.008,7.98,10
Nakdong,연초천2,2016,11,15,second,normal,1.2,15,9.2,7.2,230,84.7,13.1,2.2,24.8,3.3,0.39,0.49,1101,358,0,30.4,190.4,30.2,73.2,20.9,8.2,0.35,0.033,7.63,37.7
Nakdong,영강2-1,2016,11,30,second,normal,1.2,7,12.1,7.4,379,99.8,0.2,0,20,0.46,0.03,0.07,525,70,0,20.8,64.3,9.2,36.3,12.6,4.3,0.17,0.037,4.62,21.9
Nakdong,영덕,2016,11,28,second,slightlybad,1.3,10,12.9,7.1,196,99.5,0.5,0,20,0.96,0.12,0.11,674,171,0,45.7,158.6,8.5,53.1,13.8,13.1,0.57,0.028,6.42,27
Yeongsan,영산포-1,2016,11,2,second,normal,6.3,15,9.5,7.5,256,1.7,80.7,17.6,46.2,6.9,1.39,0.89,1152,345,0,22,83.4,14.4,60.3,22.9,5.1,0.11,0.024,7.55,69.5
Yeongsan,영암천1,2016,11,7,second,normal,0.9,13,9.7,8.3,373,79.5,20,0.5,26.3,1.89,0.37,1.48,1721,414,0,23.6,117.3,18.8,50.7,18.4,6,0.19,0.04,8.52,56.4
Yeongsan,오수천,2016,11,10,second,normal,0.4,10,11.4,8.4,213,100,0,0,20.7,0.37,0.07,0.08,193,108,0,24.5,132.1,22.8,31.9,12.8,5.2,0.21,0.043,8.91,67.2
Yeongsan,와탄천,2016,11,15,second,normal,1.2,12,11.7,8.3,365,100,0,0,21.3,0.28,0.03,0.05,157,138,0,24.6,132.7,23.1,43.9,18.4,4.4,0.14,0.038,9.33,44.4
Nakdong,왕피천,2016,11,28,second,slightlybad,0.7,10,12.1,6.8,126,98.3,1.7,0,16.9,0.48,0.03,0.08,565,64,0,27.5,82,11,52.4,19.8,22.9,0.36,0.01,6.83,29.6
Yeongsan,요천-1,2016,11,9,second,normal,0.7,12,12,8.1,182,100,0,0,20.5,0.31,0.07,0.11,228,106,0,38,191.8,34,42.2,15.7,6.7,0.23,0.061,9.33,108.9
Han,원주,2016,11,2,second,normal,1.2,12,10.7,8,242,88.4,11.6,0,21.3,0.65,0.06,0.14,530,286,0,32.4,71.7,12.8,26.4,9.5,8.1,0.29,0.035,7.63,21.5
Han,임진강7,2016,11,11,second,normal,1.4,10,11.2,8.3,482,42,58,0,30.5,2.59,0.34,0.44,493,350,0,21.6,101.4,18.2,50.6,16.3,5.2,0.29,0.031,6.19,27.3
Han,제천천5,2016,11,2,second,normal,1.4,9,13,8.1,334,80.1,19.9,0,20.1,0.68,0.09,0.13,333,193,0,26.4,93.6,14.2,29.6,12,4.9,0.31,0.023,6,18.1
Yeongsan,주진천2,2016,11,15,second,normal,0.6,13,10.8,7.7,6907,67.2,32.1,0.7,16,0.45,0.05,0.08,199,131,0,16.5,57.4,8,44.9,15.2,4.5,0.12,0.015,6.52,39
Yeongsan,죽산D,2016,11,2,second,normal,4.8,16,8.9,7.2,261,100,0,0,26,0.68,0.05,0.12,190,274,0,30.4,148.4,36.2,52.7,23.3,5.8,0.16,0.058,8.43,47.2
Yeongsan,진월,2016,11,16,second,normal,3,16,7,8.1,44677,87.5,12.2,0.4,21.5,1.27,0.24,1.72,1618,394,5.9,25.1,120.9,23.3,54.8,24.3,5.5,0.15,0.049,8.66,71.4
Nakdong,창녕,2016,11,18,second,normal,9.5,14,12.1,8.4,373,99.8,0.2,0,21.8,0.53,0.02,0.05,445,118,0,18.5,60.3,8.9,49.2,8.8,4.1,0.19,0.015,5.4,16.7
Han,춘성교,2016,11,16,second,normal,1.7,11,10.2,8.2,96,76.9,23.2,0,24.5,1.97,0.13,0.21,270,372,0,35.2,99.2,38.2,70.8,30.8,5.7,0.27,0.016,9.71,46.7
Han,춘천3,2016,11,16,second,slightlybad,4.7,11,10.3,7.8,114,75.3,24.8,0,23.1,1.7,0.14,0.22,269,201,0,35.5,107.7,40.2,61.2,28.9,18.2,0.42,0.032,7.26,31.2
Yeongsan,탐진강3,2016,11,8,second,normal,0.7,14,10.3,8.3,134,97.9,2.1,0,20.2,0.96,0.11,0.18,314,225,0,24.7,108.6,28.1,65,27.4,7.9,0.21,0.032,8.36,40.1
Nakdong,태화,2016,11,10,second,normal,1.6,15,10.6,7.6,12166,85.3,13.9,0.8,23.2,2.43,0.48,0.57,860,253,13.3,22.8,112.6,11.1,33.3,15.9,10.6,0.21,0.028,6.76,30.2
Han,한탄강4,2016,11,8,second,slightlybad,1.7,11,12.5,7.8,416,97.3,2.7,0,21.1,0.56,0.04,0.11,265,159,0,29,420.3,26.5,106,30.8,6,0.33,0.085,7.76,31.5
Nakdong,함안,2016,11,7,second,slightlybad,9.6,15,14,7.9,239,84.8,13.4,1.8,26.8,2.16,0.44,0.47,746,290,5.1,35.5,213.1,43.3,83.6,32.4,10.9,0.51,0.018,8.25,43.9
Nakdong,함안D,2016,11,8,second,normal,8.7,14,13.3,8.1,248,100,0,0,21.1,1.05,0.01,0.03,411,86,0,21.7,135.3,4.2,78,12,5.6,0.34,0.007,6.64,15.6
Nakdong,함안U,2016,11,7,second,normal,9.8,15,14.1,8.2,237,93.9,6,0.1,17.6,0.77,0.09,0.1,435,173,0,22.2,88.9,7.4,76.9,18.2,5.2,0.38,0.033,6.66,23
Han,행주,2016,11,10,second,slightlybad,2.8,12,9.6,7.8,452,15.6,83,1.4,35.3,4.12,0.57,0.74,705,519,4.9,28.1,120.7,29.5,62.2,22.7,8.4,0.29,0.072,6.91,39.5
Han,홍천강6,2016,11,9,second,slightlybad,3.5,11,11,7.8,198,70.3,29.7,0,27.2,2.05,0.13,0.26,436,761,0,31.8,116.9,26.7,187.7,54.7,4.9,0.23,0.008,7.24,19
Nakdong,황강2,2016,11,23,second,normal,1,9,12.6,7.4,149,91.9,8.1,0,19.6,0.82,0.11,0.12,623,144,0,23.8,151.4,13.9,29.2,8.2,2.4,0.22,0.028,7.13,28.6
Nakdong,황지2,2016,11,2,second,bad,0.8,9,11.5,7.2,451,94.5,4.3,1.3,20.6,1.76,0.08,0.61,542,221,0,67.3,768.6,69.3,53.4,97.9,44.1,2.21,0.229,6.43,56.8
Nakdong,회야강3,2016,11,9,second,normal,2,13,10.5,6.7,14133,99.4,0.5,0.1,20.5,0.9,0.05,0.1,573,92,0,24.1,90.9,24.3,46.4,13.4,8.2,0.25,0.031,5.75,23.8
Nakdong,회천2-1,2016,11,18,second,normal,4.6,14,13,8.4,370,74.2,23.3,2.5,33.4,4.12,0.91,0.95,1210,499,0,25.4,149,20.6,63.7,24.1,4.1,0.39,0.051,7.72,24.5
Han,가평천3,2017,3,14,first,normal,,8,12.2,8,122,75.2,24.8,0,22.8,1.47,0.13,0.4,668,572,0,32.9,85.5,29.4,70.1,30.1,9.9,0.17,0.022,7.4,50.2
Nakdong,경호강2,2017,3,30,first,slightlybad,1.5,16,11.7,8.1,140,95.8,4.2,0,21.8,0.57,0.07,0.09,420,120,0,19.7,116.7,11.2,88.5,20,3.4,0.51,0.015,7.67,16.7
Yeongsan,고막원천4,2017,3,22,first,normal,0.7,10,11.5,9.4,274,48.8,42.5,8.7,31.3,4.93,0.61,0.68,928,269,0,22.2,86.6,14.8,66.8,24.6,6.3,0.25,0.017,9.07,64.6
Yeongsan,금산천,2017,3,21,first,normal,0.7,10,11.4,8.5,1785,72.7,23.6,3.8,27.1,2,0.29,0.41,716,233,6.9,31.5,147.7,31.4,40.9,17.8,8,0.17,0.041,8.19,47.6
Nakdong,남강4-1,2017,3,20,first,normal,4.1,12,11.6,7.1,244,97,3,0,21.8,0.98,0.1,0.13,380,170,0,22.1,99.7,16,76.6,20.9,5.5,0.39,0.018,7.93,30.1
Nakdong,내성천3-1,2017,3,24,first,normal,0.5,12,11,7,341,96.8,3.3,0,20.4,0.52,0.01,0.08,487,100,0,23.2,29.8,6.9,24.2,7.3,3.1,0.11,0.008,6.9,17.5
Nakdong,논공,2017,3,29,first,normal,9.2,14,13.1,7.5,559,97.5,2.5,0,20.5,0.81,0.09,0.1,483,162,6.6,18.3,61.2,11.6,30.8,13.9,3.7,0.19,0.062,5.34,18
Nakdong,논공U,2017,3,29,first,slightlybad,8.7,13,13.8,7.4,549,92.5,7.5,0,28,2.62,0.69,0.5,959,422,6,25.5,150.2,30.2,54.5,26.1,8.2,0.42,0.035,6.91,28
Nakdong,덕곡,2017,3,27,first,slightlybad,15,11,12.5,7.7,556,100,0,0,24,0.9,0.1,0.1,472,175,0,23.7,118.8,16.5,91.1,17.7,7.8,0.46,0.056,6.1,22.3
Nakdong,덕곡U,2017,3,27,first,normal,9.6,12,12,7.1,583,100,0,0,22.2,0.72,0.05,0.06,572,141,4.8,22.4,75.9,13.5,72.8,15.8,6.9,0.38,0.056,5.54,15.3
Yeongsan,무안1,2017,3,29,first,normal,3.8,10,13.9,9.1,520,50.6,42.8,6.7,42.1,6.48,0.63,0.75,1209,387,6.1,25.7,120.2,20.4,71,29.4,10.5,0.13,0.031,9.82,72.8
Nakdong,밀양강3,2017,3,20,first,slightlybad,2.6,12,12.6,8.1,253,100,0,0,25.7,1.15,0.08,0.1,469,200,0,24,114.1,19.5,89.3,22.8,7.9,0.53,0.027,6.92,26.7
Han,반월천,2017,3,7,first,normal,0.7,4,12.6,8.2,2192,73.3,24.5,2.2,20.8,1.07,0.15,0.16,401,210,7.3,41.4,196.5,47,83.5,37.5,7.4,0.22,0.029,7.58,44.9
Nakdong,삼랑진2,2017,3,21,first,slightlybad,8.2,11,13.1,8.2,408,100,0,0,20.7,0.5,0.03,0.05,388,130,4.1,27.4,125.9,21.6,88.5,18.3,9,0.48,0.03,7.01,28.1
