d15N,d18O,site,round
8.84,11.7,JS-08,round10
9.59,7.67,JS-09,round10
9.7,-0.45,JS-10,round10
8.35,8.55,JS-11,round10
7.25,2.76,JS-12,round10
7.76,6.5,JS-13,round10
7.51,2.52,JS-14,round10
7.41,4.71,JS-15,round10
7.64,5.69,JS-16,round10
7.67,5.16,JS-17,round10
8.68,2.03,JS-18,round10
8.79,4.2,JS-19,round10
11.42,2.79,JS-20,round10
9.89,2.56,JS-21,round10
17.27,2.92,JS-22,round10
10.08,3.24,JS-23,round10
7.85,3.26,JS-24,round10
9.86,2.83,JS-25,round10
9.98,3.92,JS-26,round10
9.65,3.86,JS-27,round10
10.56,3.04,JS-28,round10
9.46,5.88,JS-29,round10
13.92,6.38,JS-30,round10
10.47,4.58,JS-31,round10
10.58,2.88,JS-32,round10
10.77,0.17,JS-33,round10
10.85,4.29,JS-34,round10
10.58,2.82,JS-35,round10
11.38,3.18,JS-36,round10
6.82,2.14,JS-01,round11
9.64,5.64,JS-02,round11
8.95,4.49,JS-03,round11
6.06,1.17,JS-04,round11
8.14,2.14,JS-05,round11
8.14,2.48,JS-06,round11
8.52,2.49,JS-07,round11
11.91,12.7,JS-08,round11
11.4,7.81,JS-09,round11
10.39,2.93,JS-10,round11
9.13,8.59,JS-11,round11
9.24,4.13,JS-12,round11
9.93,6.68,JS-13,round11
9.4,4.03,JS-14,round11
9.16,6.76,JS-15,round11
9.92,5.32,JS-16,round11
9.57,4.54,JS-17,round11
8.37,2.06,JS-18,round11
7.99,4.23,JS-19,round11
10.21,3.52,JS-20,round11
8.97,2.99,JS-21,round11
14.28,2.68,JS-22,round11
8.2,3.7,JS-23,round11
8.46,3.57,JS-24,round11
8.22,4.79,JS-25,round11
9.67,4.28,JS-26,round11
8.64,5.61,JS-27,round11
10.41,3.55,JS-28,round11
8.13,4.69,JS-29,round11
10.73,5.16,JS-30,round11
8.43,4.52,JS-31,round11
13.02,4.28,JS-32,round11
10.99,4.58,JS-33,round11
8.61,4.58,JS-34,round11
9.18,4.43,JS-35,round11
11.63,3.26,JS-36,round11
3.79,2.09,JS-01,round12
4.98,1.2,JS-02,round12
4.98,1.47,JS-03,round12
2.75,2.54,JS-04,round12
4.99,1.62,JS-05,round12
5.13,1.68,JS-06,round12
6.46,2,JS-07,round12
9.15,2.52,JS-08,round12
7.09,2.09,JS-09,round12
5.73,1.39,JS-10,round12
8.28,2.52,JS-11,round12
8.29,1.39,JS-12,round12
7.46,2.1,JS-13,round12
4.81,2.5,JS-14,round12
7.03,2.77,JS-15,round12
6.74,2.6,JS-16,round12
7.25,3.13,JS-17,round12
2.63,0.05,JS-18,round12
6.38,1.05,JS-19,round12
6.1,-0.49,JS-20,round12
6.17,-0.3,JS-21,round12
7.52,-0.82,JS-22,round12
6.29,-0.36,JS-23,round12
4.39,0.76,JS-24,round12
6.15,0.93,JS-25,round12
7.27,0.54,JS-26,round12
6.5,0.08,JS-27,round12
6.02,0.03,JS-28,round12
5.81,0,JS-29,round12
8.5,-0.96,JS-30,round12
6.14,-0.39,JS-31,round12
9.78,0.77,JS-32,round12
7.44,0.61,JS-33,round12
6.43,0.53,JS-34,round12
7.04,0.66,JS-35,round12
6.43,0.03,JS-36,round12
