site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
나주,Apr-18,7.1,11.5,4.8,8.3,19,5.105,0.128,6.3,17.3,346,7992,4.877,2.179,1.876,0.043,0.03,71.6,1324,8.35
나주,May-18,7,8.7,4.8,9.9,19.6,3.761,0.147,6.6,20.6,277,32175,3.627,1.383,1.464,0.066,0.037,78.2,5750,31.2
나주,Mar-19,8,11.2,5.6,12.3,25.8,5.814,0.183,8.7,11.2,376,2975,5.652,2.738,2.483,0.069,0.029,76.2,275,121.73
나주,Apr-19,7.8,9.5,4.4,9.4,14.1,5.298,0.194,7.1,14.8,383,18720,5.078,2.896,1.781,0.073,0.03,46.9,3083,125.89
나주,May-19,7.6,9,5.8,13.2,12.9,3.962,0.184,8.9,19.9,340,25770,3.803,1.938,1.505,0.078,0.041,56.3,5608,84.73
영산포,Mar-17,7.9,13.1,5,8.5,11.4,6.284,0.157,5.2,10.4,391,438,5.877,2.112,2.348,0.048,0.027,65.2,71,63.29
영산포,Apr-17,7.8,11.1,5.5,8.4,8.4,5.551,0.102,5.8,17.4,344,580,5.386,2.079,1.812,0.057,0.029,62,85,194.09
영산포,May-17,8.3,12,4.1,11.5,10.5,5.377,0.081,7.1,24,409,1115,5.226,1.613,1.92,0.051,0.018,38.9,60,111.87
영산포,Mar-18,7.6,13.1,5.4,10.4,24.8,6.634,0.15,5.2,13.1,320,5850,6.483,3.393,2.069,0.072,0.044,60.9,1004,6.95
영산포,Apr-18,7.7,11.4,5.1,8.9,28.1,5.022,0.121,4.5,17.4,290,22550,4.76,1.958,1.719,0.054,0.032,52.1,4505,8.35
영산포,May-18,7.6,13.4,5.2,9.1,20.1,3.941,0.127,5.3,21.7,270,6450,3.718,1.492,1.286,0.063,0.039,97.8,1005,31.2
영산포,Mar-19,7.9,14,6.1,9.5,34.7,6.849,0.135,5.6,11,339,1225,6.286,2.693,2.302,0.041,0.014,93.2,236,121.73
영산포,Apr-19,8,12.2,4.9,9.7,9.8,5.548,0.117,5.3,15.7,345,378,5.23,1.977,1.802,0.062,0.021,36.9,57,125.89
영산포,May-19,8.2,10.3,5.8,10.6,11.1,4.361,0.142,5.6,21.4,316,272,4.035,1.961,1.097,0.085,0.057,24.3,290,84.73
죽산,Mar-17,7.7,13.5,4.9,9.2,11.2,5.89,0.092,6.6,9.2,382,230,5.433,1.932,2.653,0.035,0.017,31,5,63.29
죽산,Apr-17,7.1,10.9,5.2,9.2,8.7,5.514,0.094,7,15.5,358,48,5.197,2.329,2.183,0.049,0.016,61.1,2,194.09
죽산,May-17,7.4,9.4,3.5,10.4,7.1,4.829,0.07,7.5,20.7,379,93,4.746,1.515,2.08,0.039,0.02,20.2,1,111.87
죽산,Mar-18,7.6,9.9,5,9.8,27.3,6.632,0.152,7.3,11,409,5000,6.493,3.478,2.175,0.085,0.038,24.7,634,6.95
죽산,Apr-18,8.2,10.6,4.8,8.6,18.6,4.52,0.1,6.3,16.4,282,930,4.118,1.629,2.177,0.034,0.023,53.3,166,8.35
죽산,May-18,7.7,7.6,5.2,9.6,18,3.909,0.104,7,20.8,297,905,3.739,1.546,1.45,0.047,0.026,59.7,173,31.2
죽산,Mar-19,8.7,13.3,6.8,14.2,24,6.492,0.192,9.2,11,404,1605,6.119,2.755,2.517,0.07,0.013,90.4,142,121.73
죽산,Apr-19,8.4,8.8,4.5,9.7,9,4.441,0.156,7.1,14.3,341,195,4.348,2.08,1.76,0.077,0.029,46.4,26,125.89
죽산,May-19,7.4,7,4.2,10,13.3,3.878,0.149,7.2,20.4,314,272,3.792,2.154,1.354,0.077,0.044,36,148,84.73
영산포-1,Mar-17,7.7,11.7,5,8.9,12,5.857,0.085,6.6,9.2,398,40,5.556,1.943,2.891,0.035,0.017,35.6,1,55.09
영산포-1,Apr-17,7.2,10.9,6,9.8,11,5.697,0.134,7.9,15.6,359,120,5.092,2.073,2.318,0.089,0.057,80.9,5,187.58
영산포-1,May-17,7.5,10.5,4.3,10.1,12.1,4.327,0.066,7.5,21.2,373,110,4.262,1.112,2.041,0.032,0.012,24,22,110.17
영산포-1,Mar-18,7.6,9.1,4,7.9,8.6,7.502,0.118,6.6,10.3,415,800,7.154,4.24,2.128,0.059,0.019,24.3,100,6.07
영산포-1,Apr-18,7.6,9,4.4,8.2,19.2,4.374,0.1,6.1,15.4,274,130,4.153,1.529,2.107,0.039,0.021,56.5,10,7.91
영산포-1,May-18,7.7,7.5,4.9,8.9,15.7,4.07,0.097,6.9,21.1,301,900,3.964,1.658,1.479,0.043,0.024,61.8,110,22.65
영산포-1,Mar-19,8.2,9.3,5.3,10.6,15.5,6.171,0.127,8.2,10.9,410,500,6.143,2.785,2.524,0.075,0.024,58.1,2,129.39
영산포-1,Apr-19,8.7,10.1,4.4,9.3,17.9,4.295,0.16,8.3,14.4,327,40,4.06,1.758,1.824,0.079,0.022,66.4,3,142.72
영산포-1,May-19,7.4,6,3.7,8.5,13.9,4.093,0.151,6.5,19.7,330,2,4,2.031,1.515,0.076,0.05,31.2,1,86.84
함평,Mar-17,7.7,11.2,3.9,7.9,12,5.711,0.068,6.2,8.5,407,20,5.555,1.773,2.966,0.033,0.015,18.4,1,55.09
함평,Apr-17,7.4,12.1,5.6,9.4,10.2,5.336,0.078,7.3,15.6,362,80,4.922,1.643,2.462,0.039,0.01,54.7,1,187.58
함평,May-17,7.5,9.5,3.3,8.9,10.8,3.728,0.059,7,21.1,356,80,3.58,0.79,1.826,0.029,0.011,16.1,4,110.17
함평,Mar-18,7.5,9.2,3,7.9,9.7,7.046,0.102,6.2,10.1,401,800,6.914,3.458,2.403,0.056,0.019,17.5,200,6.07
함평,Apr-18,7.7,8.6,3.9,7.9,17.9,4.435,0.098,5.9,15.4,271,30,4.278,1.593,1.821,0.042,0.025,32.8,10,7.91
함평,May-18,7.6,7,3.6,8.2,14.9,3.502,0.081,6.3,21.1,280,300,3.416,1.051,1.602,0.041,0.022,31.4,30,22.65
함평,Mar-19,8,8.3,3.9,8.3,11,5.893,0.108,6.9,10.2,399,100,5.833,2.536,2.356,0.067,0.027,35.8,1,129.39
함평,Apr-19,8.6,11.1,4.4,9.2,11.8,4.814,0.152,8.1,14.2,350,80,4.656,1.938,2.013,0.075,0.022,59.4,5,142.72
함평,May-19,7.5,7.2,4,8.6,13.5,3.708,0.134,6.5,19.4,327,8,3.622,1.632,1.73,0.065,0.033,32.2,1,86.84
무안1,Mar-17,7.9,12,4.6,7.2,23.3,6.496,0.086,4.8,9.1,523,104,5.854,1.462,2.77,0.055,0.038,31.3,24,63.93
무안1,Apr-17,7.9,11,4.4,8.2,18,5.017,0.072,5.2,15.9,442,89,4.736,1.222,2.252,0.03,0.013,47.1,21,194.64
무안1,May-17,8.3,11.1,3,8.5,10.1,3.631,0.061,5.8,23.2,409,138,3.295,0.551,1.578,0.037,0.011,27.8,19,120.89
무안1,Mar-18,7.5,11.5,3.3,8.3,17.7,6.694,0.098,4.8,11.6,345,368,6.518,2.786,2.616,0.062,0.034,22.4,118,3.64
무안1,Apr-18,7.7,10.6,3.4,7.6,16.1,5.02,0.081,4.2,16.3,261,916,4.863,1.564,2.139,0.045,0.021,30.1,309,6.29
무안1,May-18,7.6,12,3.4,7.5,17.8,3.705,0.092,4.7,21.5,266,210,3.455,0.997,1.552,0.049,0.03,48.7,26,17.77
무안1,Mar-19,7.9,11.8,3.5,7.5,13,5.926,0.094,4.7,9.7,410,32,5.344,1.877,2.732,0.052,0.02,36.3,12,149.48
무안1,Apr-19,7.8,10.8,4.4,9.5,15.3,5.426,0.094,5.3,14,425,45,5.147,1.679,2.116,0.049,0.012,25.4,10,155.88
무안1,May-19,7.8,9.1,3,8.9,23,3.995,0.087,5.1,19.6,327,57,3.859,1.414,1.417,0.051,0.028,13.1,14,86.77
