site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
광주2,Nov-18,7.7,9.6,7.9,8.4,10.3,9.608,0.255,5.1,14.7,442,82050,9.307,6.539,1.513,0.168,0.138,33.4,29550,2.1
광주2,Dec-18,7.6,8.2,7.2,9.1,12.9,11.538,0.344,5,9.4,449,248500,10.14,5.954,1.876,0.268,0.229,37.7,156925,28.5
광주2,Jan-19,7.3,12.4,6,8.1,9.7,9.384,0.122,5,8.6,474,15750,9.228,6.281,1.984,0.05,0.026,40.5,2750,38.8
광주2,Feb-19,7.3,11.8,7.7,11.3,19.2,11.656,0.142,5.6,8.8,458,23333,11.348,8.402,1.516,0.045,0.01,60.3,2000,22
광주2,Mar-19,7.6,10.8,10,12.7,19.7,10.815,0.164,6.2,12.9,385,60500,10.536,7.551,1.423,0.067,0.031,60.5,13575,115.8
광주2,Apr-19,7.5,9.5,8.8,11.7,17.1,9.274,0.172,5.8,15.6,398,99200,8.557,6.071,1.17,0.094,0.04,26.5,17900,127.4
광주2,May-19,7.5,9,8.2,10.4,15,7.874,0.114,5.5,19.9,379,46025,7.31,5.367,0.985,0.064,0.04,12.6,7250,85.4
광주2,Jun-19,7.6,8.9,8.9,11.4,13.1,6.385,0.112,6.1,24.1,335,24900,6.139,3.942,0.757,0.078,0.046,17.8,5950,222.4
광주2,Jul-19,7.4,8.1,7.8,10.6,15.4,5.356,0.194,6.1,25.6,272,106750,5.213,2.642,0.867,0.152,0.128,19.4,29400,84.5
광주2,Aug-19,7.6,8,7.6,9.6,22.7,6.017,0.194,6.6,27.5,315,204700,5.744,3.341,0.954,0.136,0.111,26.4,61250,397.1
광주2,Sep-19,7.4,9.2,5.7,7.4,10.1,5.499,0.13,4.1,24.3,280,45850,5.348,2.948,1.223,0.101,0.073,11.2,25050,129.7
광주2,Oct-19,7.4,11.4,5,6.8,12.1,5.346,0.071,3.5,19.6,292,12950,5.056,2.249,2.118,0.05,0.03,19.3,3600,125.2
광주2,Nov-19,7.4,9.8,9.8,12,19.6,9.085,0.266,5.3,15.4,398,247050,8.761,5.656,1.918,0.181,0.167,30.2,142775,47.2
광주2,Dec-19,7.7,13.8,8.6,11.5,23.3,7.204,0.148,5.3,10,414,110750,6.728,3.474,2.39,0.028,0.005,112.1,30925,32.4
광주2-1,Jan-17,7.5,12.8,3.2,7.2,5.7,9.09,0.146,4,7.8,465,10600,8.525,3.477,3.42,0.087,0.07,13.4,4825,49.9
광주2-1,Feb-17,7.4,11.3,4.6,7.9,10.3,11.508,0.247,5.5,8.8,456,162800,11.059,6.22,2.56,0.146,0.122,30.5,62000,45.2
광주2-1,Mar-17,7.6,10.9,6.8,12,18.9,11.999,0.269,7.3,12.3,453,232500,11.116,7.117,1.816,0.181,0.125,70.6,32050,55.2
광주2-1,Apr-17,7.9,12.3,7.8,12.2,18.2,9.085,0.207,6.8,18.7,404,235500,8.754,4.256,2.251,0.119,0.092,117.1,53500,185
광주2-1,May-17,8.3,14.2,7.6,14.3,18.8,10.442,0.203,8.3,24.3,477,7600,9.334,4.971,2.186,0.107,0.062,116.5,923,104.5
광주2-1,Jun-17,8.2,13,8.2,15.1,21,8.115,0.184,7.2,25.5,348,118975,7.463,3.81,1.792,0.098,0.066,105.3,16055,116.1
광주2-1,Jul-17,7.5,6.1,6.4,11,13.5,5.742,0.516,6.1,27.9,283,101000,5.491,2.923,1.238,0.403,0.364,19,47900,301.4
광주2-1,Aug-17,7.6,7.4,5.3,8,25.8,4.591,0.216,4.8,28.1,211,392500,4.24,2.064,1.127,0.156,0.134,45.9,294500,81
광주2-1,Sep-17,7.6,9.5,3.6,8.4,19.8,5.081,0.101,4.6,24.7,330,41375,4.773,1.734,1.963,0.055,0.038,70.3,35325,251.3
광주2-1,Oct-17,7.6,10.5,4.7,8.1,10.1,7.089,0.113,4.7,20.7,410,9700,6.858,2.235,2.601,0.056,0.021,70.4,4150,216.7
