site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
우치,2018/02,8.2,9.5,3.2,5.8,7.7,2.659,0.095,4.5,4,440,1068,2.564,0.075,1.887,0.033,0.012,46.8,361,43.76 
우치,2018/12,7.7,13,1.8,4.3,4.5,2.509,0.071,4.9,5.9,319,4400,2.463,0.078,2.044,0.044,0.034,18.5,1098,30.54 
우치,2019/01,7.9,12.5,1.7,4.3,4.6,2.71,0.073,4.3,3.4,383,523,2.642,0.092,2.166,0.036,0.014,16.6,178,39.20 
우치,2019/02,7.9,13.1,2.8,6.6,8.5,2.502,0.1,5.6,4.7,333,1225,2.414,0.13,1.879,0.037,0.028,41.1,190,24.71 
우치,2019/12,7.9,11.9,2.9,5.1,6,2.557,0.055,4.9,5.9,344,4600,2.49,0.077,2.116,0.034,0.025,28,1008,32.72 
광주1,2017/01,8,14.2,2.8,4.9,7.8,2.876,0.078,2.8,4.7,336,9450,2.706,0.255,1.754,0.05,0.039,9.2,2525,51.16 
광주1,2017/02,7.9,13.3,3.6,5.9,13.3,2.727,0.077,3.7,5.7,321,8640,2.56,0.168,1.592,0.035,0.018,22.8,2456,43.52 
광주1,2017/12,7.9,13.4,4.1,7.4,8.4,2.832,0.11,4.4,5.2,376,62750,2.555,0.227,1.711,0.039,0.018,43.1,12425,45.34 
광주1,2018/01,7.9,14.8,4.6,7.3,10.7,2.902,0.092,3.8,4.7,355,71250,2.627,0.174,1.587,0.033,0.012,53.8,8600,13.64 
광주1,2018/02,8.2,11.2,3.6,7.4,9.3,2.453,0.073,3.6,4.3,354,16450,2.294,0.129,1.429,0.036,0.013,40.2,988,43.76 
광주1,2018/12,7.8,9.7,2.9,5.3,6.8,2.922,0.102,3,6.6,294,33175,2.673,0.191,1.659,0.059,0.038,29.1,3538,30.54 
광주1,2019/01,7.6,14.4,3,5.6,5.5,2.539,0.086,3.2,4.6,304,7800,2.334,0.1,1.646,0.04,0.021,28,1485,39.20 
광주1,2019/02,7.5,12.8,4.1,8.8,12.3,2.396,0.116,3.6,5.9,288,7800,2.283,0.087,1.46,0.04,0.012,57.7,550,24.71 
광주1,2019/12,8.5,17.7,5.9,9.5,22.5,2.439,0.133,4.3,6.5,305,17120,2.17,0.113,1.417,0.045,0.022,100.1,3041,32.72 
광주2,2017/01,7.6,12.4,4,7.1,5.1,9.673,0.14,4,8.1,468,40200,9.112,4.036,3.298,0.084,0.068,10.8,6250,49.90 
광주2,2017/02,7.5,11.9,4.5,7.8,7.9,11.091,0.164,5.2,9,443,109800,10.433,6.001,2.5,0.079,0.06,18,23280,45.20 
광주2,2017/12,7.7,12.3,8,10.2,16.9,7.947,0.119,5.7,8.2,512,56575,7.499,4.105,2.064,0.032,0.007,68.1,26600,44.90 
광주2,2018/01,7.5,13,7.3,10.5,18.3,10.486,0.136,5.5,8.4,485,95750,9.683,5.766,1.937,0.056,0.034,64,44950,11.70 
광주2,2018/02,7.8,13.7,5.9,10,11.2,11.501,0.106,5.6,9,448,69500,11.153,8.594,1.646,0.043,0.021,50.6,27585,41.90 
광주2,2018/12,7.6,8.2,7.2,9.1,12.9,11.538,0.344,5,9.4,449,248500,10.14,5.954,1.876,0.268,0.229,37.7,156925,28.50 
광주2,2019/01,7.3,12.4,6,8.1,9.7,9.384,0.122,5,8.6,474,15750,9.228,6.281,1.984,0.05,0.026,40.5,2750,38.80 
광주2,2019/02,7.3,11.8,7.7,11.3,19.2,11.656,0.142,5.6,8.8,458,23333,11.348,8.402,1.516,0.045,0.01,60.3,2000,22.00 
광주2,2019/12,7.7,13.8,8.6,11.5,23.3,7.204,0.148,5.3,10,414,110750,6.728,3.474,2.39,0.028,0.005,112.1,30925,32.40 
광주2-1,2017/01,7.5,12.8,3.2,7.2,5.7,9.09,0.146,4,7.8,465,10600,8.525,3.477,3.42,0.087,0.07,13.4,4825,49.90 
광주2-1,2017/02,7.4,11.3,4.6,7.9,10.3,11.508,0.247,5.5,8.8,456,162800,11.059,6.22,2.56,0.146,0.122,30.5,62000,45.20 
광주2-1,2017/12,7.4,11.5,8.4,10.7,19.2,10.065,0.196,6.1,8.4,539,335750,9.53,5.974,2.222,0.059,0.032,57.5,207550,44.90 
광주2-1,2018/01,7.3,12.3,4.5,10.5,14.7,10.623,0.113,5.7,8.5,489,101000,10.071,5.629,2.585,0.045,0.016,66.1,22200,11.70 
광주2-1,2018/02,7.6,12.4,4.1,11.2,11.3,13.092,0.161,6,8.5,465,123500,12.628,9.924,1.76,0.084,0.057,41,54800,41.90 
광주2-1,2018/12,7.3,8.2,5.5,7.5,9.9,10.973,0.122,4.8,9.5,485,141350,10.121,5.465,2.56,0.058,0.03,45,21413,28.50 
광주2-1,2019/01,7.3,12.7,5.5,7.2,9,9.617,0.102,5.3,8.5,496,5875,9.385,5.488,2.556,0.046,0.016,59.1,825,38.80 
광주2-1,2019/02,7,11.8,6.3,10.1,15.1,11.121,0.127,5.2,8.8,473,13800,10.602,7.307,1.87,0.045,0.009,81.4,1507,22.00 
광주2-1,2019/12,7.3,12.7,7.6,11,18.6,9.071,0.321,5,10.3,452,200900,7.789,4.343,2.857,0.218,0.197,86.5,101915,32.40 
광산,2017/01,7,13.1,4,7.2,9,6.447,0.114,5.7,6.1,432,1576,6.204,1.892,3.456,0.04,0.019,42.9,54,49.90 
광산,2017/02,7.2,13.8,5.5,9.1,14.7,7.673,0.154,7.8,7,473,3070,7.148,3.512,2.966,0.043,0.02,69.3,81,45.20 
광산,2017/12,7.8,12.2,5.4,9.2,17.3,7.16,0.117,7.6,7.4,559,12125,6.807,3.507,2.728,0.028,0.007,40.7,1225,44.90 
광산,2018/01,7.2,13.5,6.4,11.6,13,8.883,0.125,8.6,5.8,561,3820,8.268,5.352,2.32,0.036,0.013,56.5,176,11.70 
광산,2018/02,7.5,13.3,6.1,11.8,14.1,11.563,0.177,8.9,6.5,548,1115,11.221,8.907,1.727,0.054,0.023,70,144,41.90 
광산,2018/12,7.9,11.7,4,8.4,9.5,6.668,0.14,8.1,8.4,466,16975,6.395,2.556,3.237,0.052,0.038,62.2,3690,28.50 
광산,2019/01,7.8,12.5,4.7,9,10.1,9.198,0.154,8,6.7,485,730,8.831,3.972,3.67,0.066,0.024,42,34,38.80 
광산,2019/02,7.8,12.4,6.6,14.1,19.1,7.597,0.195,10.5,7.5,434,8225,7.103,3.777,2.891,0.048,0.018,115.2,1183,22.00 
광산,2019/12,7.7,13.1,6.1,10.5,14,7.155,0.116,8.5,9,480,14225,6.819,2.998,3.194,0.052,0.032,70.3,3168,32.40 
나주,2017/01,7.8,14.4,4.1,6.9,8.5,5.527,0.115,5.3,5.3,363,800,5.264,1.166,3.229,0.04,0.021,68.6,55,52.25 
나주,2017/02,8.1,12.1,5.8,8.8,13.9,6.399,0.142,6.9,6.4,427,1950,6.12,2.049,3.482,0.033,0.015,97,66,46.20 
나주,2017/12,7.5,12.6,5.9,10.2,17.3,7.135,0.147,7.9,6.4,486,17300,6.609,3.026,2.654,0.037,0.019,71.8,4370,46.98 
나주,2018/01,8,15,6.9,11.5,15,7.06,0.134,8.4,5.4,500,2160,6.583,3.091,2.672,0.036,0.018,115.6,53,11.78 
나주,2018/02,7.7,14,6.9,12.5,16.9,9.613,0.169,9.4,5.3,507,810,9.317,6.366,2.23,0.046,0.019,132.4,11,39.45 
나주,2018/12,7.7,12.5,4.4,8.7,21.3,5.626,0.135,7.2,7,420,9150,5.369,1.513,3.289,0.05,0.04,65.6,1088,28.24 
나주,2019/01,8,14.6,4.2,9.2,14.2,7.469,0.126,7.4,5,433,380,7.284,2.345,4.093,0.047,0.021,61.7,75,39.56 
나주,2019/02,8.5,13.7,6.4,13.6,21.8,6.43,0.174,10.1,6.9,398,5130,6.007,2.569,2.918,0.055,0.033,106.7,259,23.82 
나주,2019/12,8.1,12.9,6.2,10.2,16,6.336,0.095,7.7,8.3,432,3250,6.143,2.046,3.468,0.032,0.012,70.7,845,33.40 
영산포,2017/01,8,15.3,4.5,7.4,12.9,5.143,0.077,4.2,6.4,380,1725,4.82,0.819,2.923,0.03,0.018,64,175,52.25 
영산포,2017/02,8.3,15.1,4.9,8.6,15.7,7.245,0.087,5.3,6.4,389,408,6.718,1.707,3.334,0.021,0.005,128.3,121,46.20 
영산포,2017/12,7.8,14.5,5.4,9.3,16.8,7.247,0.09,5.2,6,525,1375,6.754,2.014,3.593,0.028,0.003,103,486,46.98 
영산포,2018/01,8.2,14.9,5.8,11,18.8,7.636,0.122,5.6,5.6,437,1130,7.416,2.905,2.59,0.044,0.021,129.5,120,11.78 
영산포,2018/02,8.3,16.1,4.6,9.7,13.7,9.432,0.089,5.1,5.5,447,835,9.12,5.143,2.478,0.037,0.008,64.8,420,39.45 
