site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
함평,2019/07,7.9,8.8,3.8,9.6,18.4,2.641,0.121,8.8,26.5,191,2900,2.491,0.297,1.689,0.062,0.05,27.7,1300,78.28 
함평,2019/08,7.9,7.9,3.8,8.6,16,1.999,0.119,8,28.3,194,98,1.879,0.305,1.229,0.071,0.058,36.1,1,341.52 
무안1,2017/06,8.2,10.6,3.8,12.8,13.3,3.371,0.078,6.7,25.9,410,217,3.095,0.579,1.286,0.039,0.01,50,12,131.64 
무안1,2017/07,7.6,6.9,3.9,10.2,20.8,3.882,0.149,5.6,28.4,272,193,3.658,1.205,1.283,0.103,0.081,41.3,54,238.92 
무안1,2017/08,8,7.9,4.2,9.5,25.1,2.504,0.13,4.6,29.6,163,1460,2.261,0.311,0.968,0.075,0.055,46.8,1090,25.13 
무안1,2018/06,8,12.7,4,10.2,14.3,3.043,0.079,7.6,26.2,271,218,2.754,0.495,1.133,0.034,0.011,80.6,1,69.08 
무안1,2018/07,7.8,8.7,2.7,8.3,25.1,2.519,0.131,4.6,27.9,187,1127,2.259,0.197,1.581,0.069,0.052,39.9,319,125.33 
무안1,2018/08,8.4,8.6,2.7,13,48.3,1.771,0.213,4.9,29.1,256,1578,1.192,0.137,0.347,0.132,0.085,85.4,589,216.94 
무안1,2019/06,8.3,9.9,3.1,11.3,19.1,3.282,0.071,6.8,25.3,328,89,2.918,0.753,0.977,0.037,0.012,20.5,8,178.26 
무안1,2019/07,7.6,7.8,2.7,9.2,19.7,2.842,0.104,5.3,25.6,181,2155,2.664,0.548,1.198,0.068,0.048,17.1,489,65.30 
무안1,2019/08,8.1,8.9,4.8,9.7,22.3,2.484,0.137,5.4,29.4,154,428,2.32,0.346,0.961,0.087,0.061,57.3,263,250.30 
