BOD,COD,SS,T-N,TOC,NH3-N,Chl-a
2.6,7.2,7.8,5.655,5.7,1.297,17.7
7.2,13,20.3,6.551,9.7,2.274,155.4
5.7,10.4,13.6,7.818,8.2,4.195,68.2
4,7.9,8.6,7.502,6.6,4.24,24.3
4.4,8.2,19.2,4.374,6.1,1.529,56.5
4.9,8.9,15.7,4.07,6.9,1.658,61.8
4.6,12.2,14.4,3.717,9.1,1.135,44.2
4.9,9.4,19,3.009,6.7,0.459,41.3
4.5,12.4,16.4,2.745,8.9,0.804,48.2
4.2,7.4,18.7,2.585,5.8,0.251,35.8
3.7,7.6,16.7,2.898,6.9,0.219,54.6
5.1,9.7,18,4.147,8.1,0.95,112.2
5.1,10.6,23.1,4.971,9.1,1.212,111.1
5.2,10.9,20.9,7.118,9.6,1.624,117.5
6.2,13.4,18.6,6.277,10.4,2.434,136.5
5.3,10.6,15.5,6.171,8.2,2.785,58.1
4.4,9.3,17.9,4.295,8.3,1.758,66.4
3.7,8.5,13.9,4.093,6.5,2.031,31.2
4.6,11.1,20.7,2.939,8.8,0.995,51.7
3.7,8.9,16.8,2.494,8.1,0.38,30.8
3.4,8.5,15.7,2.069,8.1,0.499,45.8
3.2,7.1,11.4,2.399,5,0.176,23.3
2.6,5.2,11.9,3.255,4,0.206,28.8
4.7,7.9,16.5,4.056,7.1,0.362,49.3
3.6,7.3,5.7,5.492,5.8,1.965,21.1
3.9,5.6,15.1,4.808,4.2,1.085,55
4.5,6.9,17,5.078,4.5,1.292,80.5
5.5,8.4,19.5,5.719,5.8,1.868,76.4
5.3,7.6,17.8,4.621,5.6,1.609,54.6
4.2,6.5,20,3.145,5.1,0.795,22.2
4.5,7.9,19.6,3.573,6.7,1.104,35.9
4,7.3,19.2,2.907,5.5,0.451,31.1
5,7.8,19.4,2.893,6,0.514,36
3.6,6.7,18.3,2.433,4.9,0.261,24.9
4.4,6.2,19.9,2.975,5.1,0.498,18
4.1,6.2,14.6,3.721,5.2,0.587,26
3.4,5.3,9.8,4.374,2.8,0.838,15.6
4.9,7.6,15.2,4.621,7,0.154,118.9
4.1,7,19.2,5.102,6,0.937,58.6
5.1,7.5,19.2,3.945,5.9,0.566,45.7
3.9,6.4,14,3.519,5.4,0.499,23.7
4,6.7,23.7,2.858,5.5,0.248,39.7
4.6,8.1,22.4,3.481,7.3,0.745,41.4
2.9,7.2,27.9,2.324,5.8,0.239,26.4
3.7,8.9,21.3,2.126,7.2,0.243,29.1
3.5,7.4,13.5,2.447,5.7,0.331,24.7
3.4,8.1,34.1,3.149,5.5,0.355,15.8
3,5.5,14.5,3.727,4.4,0.404,20.1
3.5,6,9.6,4.374,5.1,0.573,37.2
2.9,6.8,9,4.429,5,0.746,45.8
6.5,11,22.4,5.129,7.4,0.457,128.5
3.9,7.9,12,5.711,6.2,1.773,18.4
5.6,9.4,10.2,5.336,7.3,1.643,54.7
3.3,8.9,10.8,3.728,7,0.79,16.1
3.9,12.5,26.7,3.847,8.9,0.97,32.3
4,9.5,29.6,3.315,7.3,1.039,15.7
3.8,7.9,22.2,3.117,6.2,0.99,20.8
2.9,6.9,14.8,2.144,5.2,0.152,28.4
3.5,6.4,15.1,2.717,5.1,0.491,23.8
3.3,7.2,13.7,4.118,5.7,0.689,33.1
2.6,6.7,9.5,5.091,5.5,1.067,17.5
5.7,11.1,15.3,6.747,8.4,2.313,105.6
5.2,10,12.9,6.701,7.7,2.794,57.6
3,7.9,9.7,7.046,6.2,3.458,17.5
3.9,7.9,17.9,4.435,5.9,1.593,32.8
3.6,8.2,14.9,3.502,6.3,1.051,31.4
4.3,11.9,15.9,3.163,9,0.776,32.5
4.7,10.5,27.2,2.531,7.1,0.235,37.8
5.2,14.5,26.7,2.4,9.7,0.503,40.4
3.6,7.4,20.4,2.591,5.2,0.21,27.6
3,7.3,17.7,2.558,6.3,0.187,22.1
3.6,7.5,11.5,3.592,6.9,1.02,30.5
4.2,10.1,13.1,4.371,8.1,1.18,67.6
4.7,10.1,17.4,6.836,8.6,1.333,100.7
6.1,13.1,18.2,6.029,9.7,1.965,104.4
3.9,8.3,11,5.893,6.9,2.536,35.8
4.4,9.2,11.8,4.814,8.1,1.938,59.4
4,8.6,13.5,3.708,6.5,1.632,32.2
4.7,11.2,19.1,2.979,8.1,1.019,40.9
3.8,9.6,18.4,2.641,8.8,0.297,27.7
3.8,8.6,16,1.999,8,0.305,36.1
2.8,6.9,17.7,2.511,5.1,0.243,14.1
2.4,5.3,11.2,3.072,3.8,0.173,12
3.5,7,12.3,3.692,6.3,0.259,34.8
3.6,7.1,7.4,5.379,6,1.75,23.8
