Code,WT,DO,pH,EC,BOD,COD,TOC,SS,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,HRT,Toxic CYA,Non-toxic CYA
St 2-37,21.6,6.8,7.4,206,1.2,8.5,5.5,4.4,2.573,0.053,0.035,8.5,1.915,0.024,198,19,9.1 ,1059,525
St 2-38,20,8.4,7.5,192,1.3,7.8,5.6,10,2.764,0.087,0.057,7.7,2.145,0.066,2400,203,2.8 ,231,0
St 2-39,19,8.9,7.5,203,2,7.6,5.4,6.4,2.600,0.063,0.041,11.4,2.133,0.036,2150,75,6.6 ,164,130
St 2-40,18.5,9.7,7.8,214,1.7,7.8,5.2,10.4,2.500,0.040,0.003,37.3,1.995,0.047,105,3,9.9 ,40,2160
St 2-41,17.2,10.4,8.2,239,1.7,7.2,5.4,12,2.552,0.028,0.004,40.4,2.034,0.051,59,4,10.8 ,0,925
St 2-42,14.5,10.2,8.3,251,2,7.5,5.8,12.4,2.518,0.036,0.004,40.1,1.848,0.045,105,3,11.7 ,55,1430
St 2-43,13.3,11.3,8.7,262,1.4,6.6,5,6.8,2.556,0.023,0.004,12.6,1.867,0.055,410,3,13.8 ,523,790
St 2-44,12.8,10.5,8.3,265,1.9,6.7,4.9,4.8,2.574,0.021,0.004,7.7,1.904,0.067,140,0,13.9 ,441,0
St 2-45,10.3,12.9,8.4,275,2,6.2,4.7,7.6,2.505,0.022,0.004,17.2,2.016,0.027,143,1,15.0 ,56,3040
St 2-46,8.8,12.4,8.4,298,1.7,6.2,4.7,5.8,2.677,0.030,0.004,13.2,2.106,0.029,63,1,15.3 ,0,3510
St 2-47,7.2,11.9,8.4,321,1.9,5.5,4.3,4,2.797,0.028,0.003,10.7,2.209,0.041,50,1,16.1 ,0,5780
St 2-48,6.1,12.3,7.7,350,1.9,5.6,3.9,3.2,2.832,0.026,0.003,10.7,2.229,0.043,41,1,17.2 ,0,3270
St 2-49,5.9,10.7,7.7,356,1.6,5.5,3.5,5.2,2.835,0.025,0.003,9.8,2.298,0.121,1500,62,11.4 ,0,2870
St 3-1,2.4 ,13.7,7.5,417,1.1,5.1,3.4,3.8,3.012,0.027,0.003,7,2.208,0.191,35,3,26.6 ,0,0
St 3-2,4.0 ,12,7.4,324,1.9,5.3,3.1,3.8,2.735,0.032,0.005,12.8,1.914,0.171,5,0,30.6 ,0,0
St 3-3,5.7 ,12.4,7.9,352,1.8,5.4,3.3,7.2,3.312,0.031,0.005,16.3,2.331,0.378,151,3,19.8 ,0,0
St 3-4,5.8 ,12.5,7.8,317,1.5,5.8,2.9,7.2,3.596,0.039,0.003,13.7,2.534,0.19,31,3,19.3 ,0,0
St 3-5,6.0 ,13.2,8.1,345,2.7,5.6,3.4,6.2,3.054,0.026,0.000,17.6,2.227,0.148,17,0,23.4 ,0,0
St 3-6,9.0 ,11.2,7.5,352,3.3,8.5,5.6,60.4,4.324,0.089,0.024,11,2.95,0.36,2075,244,19.0 ,101,106
St 3-7,8.1 ,12.2,7.7,417,2.1,6.1,4.1,10,3.980,0.041,0.000,15.9,2.592,0.344,193,0,6.0 ,0,142
St 3-8,11.3 ,12.3,8.2,421,3.3,6.9,4.4,8,4.118,0.050,0.003,26.7,2.924,0.194,62,3,12.5 ,0,171
St 3-9,12.3 ,11.6,8.1,316,2.2,6,3.8,6.8,3.348,0.040,0.003,13.3,2.421,0.12,25,1,17.0 ,0,139
St 3-10,14.4 ,11,8.1,296,1.5,5.9,3.4,5.2,2.601,0.029,0.000,7.7,2.153,0.147,48,1,19.8 ,118,229
St 3-11,14.6 ,9.8,7.5,407,2.4,5.8,3.8,9.8,3.274,0.042,0.006,13.8,2.596,0.132,152,9,5.2 ,0,142
St 3-12,15.2 ,8.8,7.3,182,2.8,6.8,4.7,30.8,2.423,0.093,0.022,15.5,1.884,0.141,930,156,4.7 ,35,82
St 3-13,16.8 ,9.9,7.6,349,1.5,5.9,3.7,9.2,2.900,0.047,0.010,13.9,2.347,0.098,135,4,2.7 ,176,0
St 3-14,17.6 ,9.7,7.5,225,2,5.6,3.8,14.2,2.335,0.042,0.006,21.7,1.743,0.037,133,5,2.7 ,0,30
St 3-15,18.7 ,11.1,8.1,190,2.2,6.4,4.1,13.2,1.964,0.054,0.003,36.9,1.474,0.042,110,7,4.7 ,162,1744
St 3-16,19.7 ,10.5,8.3,216,2.4,5.9,3.5,12,1.973,0.035,0.000,39.9,1.46,0.027,2750,2,5.5 ,120,1040
St 3-17,22.3 ,11.5,8.9,212,2.1,6,3.7,8,1.672,0.024,0.000,20.6,1.203,0.069,4650,0,9.3 ,9011,1011
St 3-18,22.9 ,9.5,8.5,257,2.1,6.2,4.1,6,1.841,0.030,0.000,22.9,1.349,0.082,21,1,10.3 ,15772,5959
St 3-19,23.3 ,7.9,8.3,265,1.6,6.2,3.9,6.8,1.792,0.034,0.007,11.9,1.189,0.204,25,0,15.4 ,11090,5060
St 3-20,23.4 ,8.8,8.3,267,1.7,6.4,3.9,7.4,1.850,0.034,0.005,10.9,1.277,0.162,28,1,10.6 ,24229,9833
St 3-21,24.6 ,8.7,8.3,301,2,6.7,4.5,7.2,1.736,0.042,0.000,15.5,1.156,0.148,22,3,8.8 ,23175,7800
St 3-22,24.3 ,8.6,8.2,288,2,6.2,4.3,7.2,2.045,0.051,0.006,19.4,1.383,0.138,68,18,7.5 ,11381,5750
St 3-23,23.9 ,6.7,7.4,304,3.4,7.5,5.2,28,2.150,0.091,0.042,16.5,1.47,0.241,1520,149,25.7 ,1160,1060
St 3-24,25.0 ,7.9,7.2,141,1.8,9.1,5.6,26.4,2.789,0.125,0.071,10.4,1.951,0.131,720,137,0.8 ,956,333
St 3-25,26.1 ,8.6,7.5,167,2.4,7.2,5.3,15.2,2.650,0.117,0.044,26.6,1.982,0.056,163,10,3.6 ,1838,1630
St 3-26,27.5 ,8,8.2,195,3.7,8.1,6.6,13.2,2.600,0.064,0.017,30.9,1.81,0.058,31,8,7.2 ,5917,1478
St 3-27,29.4 ,7,8.4,225,1.4,6.8,5.2,6.4,2.548,0.070,0.028,12.9,1.829,0.093,105,8,7.3 ,16654,2900
St 3-28,30.3 ,8.9,8.6,248,2.2,7.4,5.6,7.6,2.298,0.033,0.009,27,1.595,0.055,75,8,6.9 ,12953,1217
St 3-29,30.8 ,8.8,8.8,296,2,8.4,5.4,10.4,2.466,0.070,0.006,27.9,1.463,0.043,69,25,29.4 ,79155,3451
St 3-30,30.8 ,13.2,9.5,267,3.5,10,7.6,12.8,1.885,0.074,0.003,37.7,0.705,0.032,6900,620,63.5 ,204012,3950
St 3-31,27.6 ,8.5,9.2,249,3.6,8.9,6,21.6,1.656,0.037,0.006,41.2,0.841,0.054,28,10,10.5 ,67067,1130
