yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2015/08,7.6,15.8,9.6,10.6,12.4,23.6,19.4
2015/09,4.2,7.5,4.7,8.7,9.9,10,18.3
2015/10,5.7,9.7,13.5,9.4,9.8,10.4,19.9
2015/11,5.2,8.3,6.8,5.9,7.9,10,14.6
2015/12,2.3,6.7,4.4,3.3,5,6.5,9.8
2016/01,4.1,4.4,4.2,5.1,7.1,11.1,15.2
2016/02,8.6,7.8,6.2,8.6,7.1,8,19.2
2016/03,15.1,21.2,17.4,19.5,15.8,12.1,19.2
2016/04,16.9,16.5,17.1,12.8,13.3,6.3,14
2016/05,11.3,10.7,7.9,10.1,13.4,12.3,23.7
2016/06,12.6,11.8,8.2,7,9.7,17.2,22.4
2016/07,11.8,9.3,10.6,10.7,15.9,17.9,27.9
2016/08,8.2,9.4,11.4,9.7,15.8,38.1,21.3
2016/09,8.7,6.9,7.3,9.1,9.1,9.5,13.5
2016/10,8.6,9.4,5.5,11.8,10.6,7.7,34.1
2016/11,3.9,7,5.4,8.7,7.5,7.8,14.5
2016/12,3.3,9.5,7.6,10,8.2,5.1,9.6
2017/01,4.2,7.8,5.1,9,8.5,12.9,9
2017/02,5.6,13.3,7.9,14.7,13.9,15.7,22.4
2017/03,13.4,20.9,14.4,16,12.7,11.4,12
2017/04,18.1,28.3,17.2,9.9,9.4,8.4,10.2
2017/05,21.2,20.1,11.7,11,11.9,10.5,10.8
2017/06,12.9,19.1,17.7,13.7,14.1,31.9,26.7
2017/07,10.3,13.7,14.1,10.3,12.2,12.6,29.6
2017/08,21.5,30.7,30.3,13.7,12.7,23.5,22.2
2017/09,6.7,15.3,13.6,10.5,10.6,19,14.8
2017/10,3.7,7.8,7.2,10.1,7.5,12.2,15.1
2017/11,9.9,9.3,8.3,13.7,13.2,10.7,13.7
2017/12,7.5,8.4,16.9,17.3,17.3,16.8,9.5
2018/01,6.7,10.7,18.3,13,15,18.8,15.3
2018/02,7.7,9.3,11.2,14.1,16.9,13.7,12.9
2018/03,15.6,19.8,25.7,25.3,25.5,24.8,9.7
2018/04,9.2,21.7,22.1,47.7,19,28.1,17.9
2018/05,11.6,31.6,22.7,36.6,19.6,20.1,14.9
2018/06,8.7,22.2,14.7,24.4,16.8,21,15.9
2018/07,13.8,31,21,43.6,16,38.7,27.2
2018/08,9.4,17,18.3,23.2,33.8,30.9,26.7
2018/09,7.4,7.3,10.4,10.3,10.8,13.9,20.4
2018/10,5.6,9.6,9.8,9.5,9.9,18.8,17.7
2018/11,5.5,9.4,10.3,10.6,14.6,15.8,11.5
2018/12,4.5,6.8,12.9,9.5,21.3,18,13.1
2019/01,4.6,5.5,9.7,10.1,14.2,18.2,17.4
2019/02,8.5,12.3,19.2,19.1,21.8,20.9,18.2
2019/03,17,20.7,19.7,12.2,25.8,34.7,11
2019/04,13.5,17,17.1,29.8,14.1,9.8,11.8
2019/05,16.3,23.7,15,13.3,12.9,11.1,13.5
2019/06,10.5,13.3,13.1,14.3,14.6,15,19.1
2019/07,10.5,16.5,15.4,14.9,12.8,21,18.4
2019/08,6.7,31.2,22.7,19.7,31,19.3,16
2019/09,4.2,5.9,10.1,8.8,9.2,13.6,17.7
2019/10,4.1,7.2,12.1,10.3,10.6,9.2,11.2
2019/11,11.4,18.3,19.6,8.7,7.8,11.5,12.3
2019/12,6,22.5,23.3,14,16,7.3,7.4
