yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2018/07,276,182,321,323,341,237,214
2018/08,305,176,357,343,283,238,344
2018/09,182,175,262,294,249,186,183
2018/10,272,283,393,336,286,296,229
2018/11,305,289,442,415,343,319,332
2018/12,319,294,449,466,420,342,392
2019/01,383,304,474,485,433,439,439
2019/02,333,288,458,434,398,374,411
2019/03,337,256,385,454,376,339,399
2019/04,315,275,398,374,383,345,350
2019/05,278,240,379,349,340,316,327
2019/06,252,207,335,325,307,233,275
2019/07,216,196,272,257,202,190,191
2019/08,219,188,315,273,284,198,194
2019/09,236,202,280,243,238,188,173
2019/10,252,209,292,291,279,228,230
2019/11,318,256,398,419,399,365,337
2019/12,344,305,414,480,432,433,409
