BIX,FI,round
0.76,1.3,round09
0.74,1.32,round09
0.69,1.37,round09
0.73,1.35,round09
0.74,1.33,round09
0.79,1.3,round09
0.72,1.34,round09
0.76,1.27,round09
0.77,1.34,round09
0.79,1.34,round09
1.15,1.44,round09
0.79,1.38,round09
0.79,1.37,round09
0.78,1.35,round09
0.73,1.28,round09
0.81,1.33,round09
0.77,1.36,round09
0.79,1.34,round09
0.79,1.38,round09
0.76,1.34,round09
0.79,1.36,round09
0.86,1.37,round09
0.77,1.3,round09
0.76,1.33,round09
0.78,1.31,round09
0.69,1.3,round10
0.7,1.29,round10
0.71,1.34,round10
0.67,1.27,round10
0.73,1.32,round10
0.69,1.35,round10
0.69,1.29,round10
0.73,1.36,round10
0.74,1.33,round10
0.77,1.38,round10
0.74,1.37,round10
0.74,1.35,round10
0.73,1.35,round10
0.72,1.36,round10
0.73,1.3,round10
0.7,1.35,round10
0.73,1.31,round10
0.74,1.32,round10
0.71,1.31,round10
0.77,1.31,round10
0.77,1.35,round10
0.91,1.4,round10
0.8,1.34,round10
0.78,1.36,round10
0.79,1.3,round10
0.76,1.37,round10
0.81,1.31,round10
0.75,1.37,round10
0.8,1.32,round10
0.76,1.42,round10
0.78,1.36,round10
0.76,1.32,round10
0.84,1.38,round10
0.76,1.32,round10
0.78,1.36,round10
0.78,1.34,round10
0.72,1.27,round11
0.77,1.38,round11
0.75,1.37,round11
0.66,1.31,round11
0.76,1.33,round11
0.7,1.34,round11
0.74,1.39,round11
0.75,1.38,round11
0.74,1.33,round11
0.73,1.4,round11
0.76,1.32,round11
0.75,1.37,round11
0.75,1.31,round11
0.75,1.37,round11
0.73,1.31,round11
0.72,1.32,round11
0.73,1.33,round11
0.69,1.29,round11
0.73,1.31,round11
0.74,1.31,round11
0.8,1.33,round11
0.98,1.43,round11
0.75,1.34,round11
0.75,1.36,round11
0.76,1.27,round11
0.74,1.34,round11
0.77,1.32,round11
0.77,1.34,round11
0.74,1.31,round11
0.75,1.36,round11
0.73,1.31,round11
0.75,1.32,round11
0.86,1.37,round11
0.74,1.3,round11
0.74,1.36,round11
0.75,1.33,round11
0.67,1.26,round12
0.71,1.26,round12
0.67,1.2,round12
0.65,1.24,round12
0.68,1.24,round12
0.67,1.25,round12
0.69,1.31,round12
0.71,1.34,round12
0.7,1.3,round12
0.71,1.29,round12
0.7,1.34,round12
0.8,1.36,round12
0.73,1.25,round12
0.7,1.33,round12
0.72,1.33,round12
0.68,1.31,round12
0.73,1.32,round12
0.67,1.26,round12
0.7,1.28,round12
0.73,1.35,round12
0.73,1.32,round12
0.78,1.35,round12
0.71,1.31,round12
0.71,1.29,round12
0.71,1.3,round12
0.71,1.27,round12
0.73,1.29,round12
0.77,1.35,round12
0.71,1.34,round12
0.76,1.36,round12
0.73,1.3,round12
0.73,1.34,round12
0.78,1.34,round12
0.72,1.26,round12
0.7,1.34,round12
0.72,1.29,round12
