BOD,COD,SS,T-N,T-P,TOC,NH3-N,Chl-a
3.3,6.4,27.5,3.037,0.196,4.8,0.502,15.8
3.4,5.8,11.6,4.027,0.102,4.7,0.538,23.9
3.4,6.1,7.7,4.594,0.091,5,0.843,38
3.4,6.7,6.9,4.325,0.094,5,0.724,42.5
6.5,11.5,23.6,5.665,0.111,7.6,0.809,132.1
5,8.9,12,5.857,0.085,6.6,1.943,35.6
6,9.8,11,5.697,0.134,7.9,2.073,80.9
4.3,10.1,12.1,4.327,0.066,7.5,1.112,24
5.2,14.2,20.1,3.892,0.092,10.2,1.182,56.1
4.3,8.8,17.1,3.168,0.135,7.3,1.111,20.8
4.4,8.6,22.8,3.01,0.159,6.3,0.914,32.5
3.6,7.7,12.8,2.183,0.1,5.8,0.176,40.4
3.5,7.1,11.8,2.886,0.078,5.4,0.545,32
3.3,7.5,12.5,4.581,0.073,5.9,0.998,26.1
2.6,7.2,7.8,5.655,0.071,5.7,1.297,17.7
7.2,13,20.3,6.551,0.159,9.7,2.274,155.4
5.7,10.4,13.6,7.818,0.12,8.2,4.195,68.2
4,7.9,8.6,7.502,0.118,6.6,4.24,24.3
4.4,8.2,19.2,4.374,0.1,6.1,1.529,56.5
4.9,8.9,15.7,4.07,0.097,6.9,1.658,61.8
4.6,12.2,14.4,3.717,0.097,9.1,1.135,44.2
4.9,9.4,19,3.009,0.116,6.7,0.459,41.3
4.5,12.4,16.4,2.745,0.154,8.9,0.804,48.2
4.2,7.4,18.7,2.585,0.095,5.8,0.251,35.8
3.7,7.6,16.7,2.898,0.128,6.9,0.219,54.6
5.1,9.7,18,4.147,0.136,8.1,0.95,112.2
5.1,10.6,23.1,4.971,0.159,9.1,1.212,111.1
5.2,10.9,20.9,7.118,0.13,9.6,1.624,117.5
6.2,13.4,18.6,6.277,0.157,10.4,2.434,136.5
5.3,10.6,15.5,6.171,0.127,8.2,2.785,58.1
4.4,9.3,17.9,4.295,0.16,8.3,1.758,66.4
3.7,8.5,13.9,4.093,0.151,6.5,2.031,31.2
4.6,11.1,20.7,2.939,0.112,8.8,0.995,51.7
3.7,8.9,16.8,2.494,0.116,8.1,0.38,30.8
3.4,8.5,15.7,2.069,0.113,8.1,0.499,45.8
3.2,7.1,11.4,2.399,0.12,5,0.176,23.3
2.6,5.2,11.9,3.255,0.075,4,0.206,28.8
4.7,7.9,16.5,4.056,0.051,7.1,0.362,49.3
3.6,7.3,5.7,5.492,0.091,5.8,1.965,21.1
3.9,5.6,15.1,4.808,0.085,4.2,1.085,55
4.5,6.9,17,5.078,0.081,4.5,1.292,80.5
5.5,8.4,19.5,5.719,0.096,5.8,1.868,76.4
5.3,7.6,17.8,4.621,0.103,5.6,1.609,54.6
4.2,6.5,20,3.145,0.1,5.1,0.795,22.2
4.5,7.9,19.6,3.573,0.085,6.7,1.104,35.9
4,7.3,19.2,2.907,0.129,5.5,0.451,31.1
5,7.8,19.4,2.893,0.183,6,0.514,36
3.6,6.7,18.3,2.433,0.121,4.9,0.261,24.9
4.4,6.2,19.9,2.975,0.11,5.1,0.498,18
