year,month,flow,temp,pH,DO,BOD,COD,SS,EC,T_N,DTN,NO3_N,NH3_N,T_P,DTP,PO4_P,Chl_a,TOC,TC,FC
2015,3,2.509,8.3,7.6,12.2,4.4,7.8,12.2,376,2.085,1.906,1.416,0.077,0.075,0.025,0.009,47,5.8,799,158
2015,4,5.934,15.4,7.6,10,4.3,7.5,20.2,285,1.819,1.557,0.982,0.158,0.119,0.034,0.02,54.3,4.9,7938,410
2015,5,5.461,19.7,7.2,7.8,3.4,7,12.1,255,1.724,1.658,0.743,0.306,0.119,0.061,0.046,22.6,5.5,1170,163
2015,6,4.959,23.3,7,7.8,3.6,9.1,13,268,2.624,2.498,1.222,0.323,0.134,0.083,0.067,10,6.8,2422,532
2015,7,9.366,26,7.2,7.7,2,6.4,8,237,2.241,1.752,1.018,0.074,0.125,0.063,0.04,17.6,5,3755,530
2015,8,6.264,26.2,7,7.7,2,5.4,7.6,231,1.403,1.344,0.574,0.063,0.11,0.068,0.045,7.9,4.3,4500,611
2015,9,4.607,21.8,7.2,8.4,1.3,5.1,4.2,290,1.276,1.191,0.635,0.062,0.086,0.054,0.034,4.9,4.3,2410,396
2015,10,4.505,18.2,7.1,9,1.7,5.7,5.7,298,1.596,1.508,0.888,0.126,0.09,0.065,0.046,5.4,5.8,8925,1448
2015,11,5.923,13.5,7,9.7,2.3,6.2,5.2,294,2.306,2.2,0.983,0.304,0.113,0.081,0.064,10.1,5.1,10200,1354
2015,12,6.722,7.3,7,12.3,1.5,4.2,2.3,301,2.745,2.726,1.9,0.183,0.066,0.047,0.029,3.1,2,6880,252
2016,1,3.479,4.7,7.5,12.3,1.5,3.5,4.1,317,3.025,2.931,2.447,0.236,0.059,0.037,0.018,5.1,3.8,2500,120
2016,2,7.489,4.7,7.1,13.5,2.1,4.5,8.6,271,2.744,2.687,1.956,0.248,0.073,0.046,0.031,6.7,4.3,8075,468
2016,3,6.155,9,7.2,12,2.7,5.6,15.1,287,2.506,2.371,1.916,0.181,0.096,0.049,0.024,14.9,4.8,6940,328
2016,4,9.168,16,7.3,10.1,3,6.6,16.9,255,1.907,1.809,1.332,0.14,0.108,0.049,0.022,31.6,5.1,3475,745
2016,5,7.687,19.8,7.1,11.2,1.9,5.6,11.3,264,1.773,1.696,1.084,0.121,0.092,0.06,0.039,13.1,4.6,4475,375
2016,6,7.129,23.5,6.9,6.9,2.6,8,12.6,243,2.377,2.283,1.156,0.249,0.119,0.079,0.063,7.7,7,4700,296
2016,7,8.753,26.1,7.1,7.9,2.4,5.7,11.8,204,1.852,1.807,1.298,0.089,0.119,0.077,0.058,20.7,5.4,11300,1293
2016,8,6.257,27.8,7,7.3,2.4,7.1,8.2,286,1.152,1.022,0.419,0.071,0.109,0.058,0.035,19.4,5.7,2052,242
2016,9,16.274,22.9,7.3,8.2,1.8,6.4,8.7,204,1.725,1.674,1.095,0.162,0.098,0.058,0.048,7.9,4.8,10875,1960
2016,10,14.034,18.7,7.3,8.7,1.2,5.2,8.6,190,2.114,1.914,1.247,0.076,0.097,0.077,0.057,3.8,3.9,20000,1450
2016,11,3.671,11.8,7.6,10.6,1.4,4.4,3.9,323,2.209,2.143,1.539,0.06,0.094,0.063,0.048,9.6,3.9,10980,140
2016,12,3.439,6.1,7.8,12.3,1.3,3.9,3.3,356,2.573,2.491,2.068,0.077,0.056,0.029,0.02,8.6,3.5,15875,210
2017,1,3.23,3.8,7.4,11.6,1.5,4.3,4.2,327,2.898,2.833,2.256,0.224,0.079,0.048,0.029,7.3,3.3,2800,180
2017,2,3.538,4.8,7.8,12.5,1.8,4.5,5.6,307,2.929,2.852,2.453,0.222,0.086,0.057,0.041,8.5,3.5,1240,200
2017,3,2.81,10.1,7.7,13.6,4,6.6,13.4,366,2.255,2.108,1.553,0.062,0.091,0.036,0.014,42.5,5.8,1150,173
2017,4,2.707,15.9,8.5,11.4,5.9,11,18.1,329,1.422,0.963,0.642,0.024,0.109,0.024,0.006,110.6,7.8,8188,150
2017,5,2.093,20.6,7.8,10.9,5.8,13.4,21.2,364,1.626,1.282,0.471,0.124,0.138,0.034,0.01,71.4,9.1,610,56
2017,6,3.473,23.7,6.9,7.3,3.9,12.7,12.9,332,2.142,2.047,0.919,0.286,0.121,0.058,0.026,32,9.5,1158,285
2017,7,10.418,26.9,7.3,6.6,2.3,8.4,10.3,225,1.971,1.907,1.289,0.162,0.118,0.072,0.047,14.1,6.2,7050,1378
2017,8,31.665,26.5,7.3,7.5,2.5,7.1,21.5,183,1.404,1.365,0.953,0.091,0.112,0.076,0.064,20.4,5.3,15600,2218
2017,9,12.089,22.4,7.2,8.4,1.7,5.8,6.7,221,1.412,1.384,0.977,0.038,0.08,0.054,0.041,10.7,4.5,5300,1438
2017,10,3.39,17.2,7.8,11.6,1.6,5.5,3.7,346,1.813,1.802,1.277,0.092,0.071,0.045,0.03,17.9,4.2,2500,275
2017,11,2.222,8.8,7.9,11.9,4.1,7.3,9.9,493,1.917,1.722,1.106,0.192,0.07,0.02,0.006,77.5,6,895,73
2017,12,2.623,4.2,7.4,12.7,3.3,5.9,7.5,363,2.72,2.606,2.049,0.269,0.067,0.018,0.005,49.1,5,2075,558
2018,1,2.826,3.3,8,12.1,2.9,5.6,6.7,328,2.627,2.487,1.844,0.246,0.072,0.027,0.012,34.1,4.5,7000,574
2018,2,2.31,4,8.2,9.5,3.2,5.8,7.7,440,2.659,2.564,1.887,0.075,0.095,0.033,0.012,46.8,4.5,1068,361
2018,3,11.389,11,7.2,10.7,3.5,7.4,15.6,261,2.59,2.482,1.681,0.202,0.108,0.051,0.028,34.2,5.5,11450,1195
2018,4,6.176,15.6,7.6,9.8,2.5,6.6,9.2,272,2.231,1.849,1.265,0.064,0.094,0.04,0.023,35.7,5,4640,380
2018,5,7.879,20.2,7.4,9.2,2.7,7.2,11.6,253,2.233,2.166,1.316,0.252,0.131,0.086,0.058,15.9,5.9,6525,433
2018,6,5.507,24.7,7.1,6.9,2.9,10.8,8.7,255,1.858,1.825,0.81,0.12,0.115,0.079,0.05,13.9,8.5,2650,278
2018,7,26.962,27.3,7.5,8,3.6,9.6,13.8,276,1.626,1.557,0.85,0.039,0.125,0.089,0.074,29.7,6.8,5040,1000
2018,8,32.126,26.9,7.2,7.4,2.5,8.4,9.4,305,1.399,1.358,0.83,0.028,0.112,0.077,0.05,17.8,6.4,7125,1138
2018,9,11.455,23.1,7.5,9.7,2.1,5.3,7.4,182,1.922,1.893,1.032,0.031,0.082,0.05,0.036,18.5,4.5,8875,1570
2018,10,6.158,16.2,8,11.3,2,5.8,5.6,272,1.969,1.926,1.503,0.032,0.078,0.045,0.03,13.8,5.3,8820,1136
2018,11,2.32,11.2,7.5,10.4,1.8,5.8,5.5,305,2.035,1.99,1.539,0.013,0.088,0.047,0.038,18.1,5.8,5075,310
2018,12,3.693,5.9,7.7,13,1.8,4.3,4.5,319,2.509,2.463,2.044,0.078,0.071,0.044,0.034,18.5,4.9,4400,1098
2019,1,2.649,3.4,7.9,12.5,1.7,4.3,4.6,383,2.71,2.642,2.166,0.092,0.073,0.036,0.014,16.6,4.3,523,178
2019,2,2.677,4.7,7.9,13.1,2.8,6.6,8.5,333,2.502,2.414,1.879,0.13,0.1,0.037,0.028,41.1,5.6,1225,190
2019,3,2.001,9.5,8.4,12.5,4.4,9,17,337,1.753,1.542,0.971,0.036,0.17,0.039,0.014,77,7.3,2550,346
2019,4,2.843,15.1,8.2,10.6,4.3,9.5,13.5,315,1.404,1.23,0.635,0.165,0.161,0.052,0.02,52.8,7,2908,743
2019,5,5.198,19.7,8,8.2,3.7,8.9,16.3,278,1.501,1.406,0.624,0.272,0.156,0.066,0.041,40.6,6.9,7875,722
2019,6,5.329,23.2,6.9,8.6,3.5,9.8,10.5,252,1.82,1.762,0.834,0.177,0.144,0.073,0.053,17,7.9,2900,941
2019,7,13.018,25.5,7.2,7.7,2.6,7.5,10.5,216,1.856,1.807,1.14,0.103,0.102,0.07,0.064,9.2,6.5,17900,3196
2019,8,6.699,27.1,7,7.8,2.6,7.9,6.7,219,1.13,1.016,0.648,0.039,0.089,0.051,0.04,20.6,7,11975,1813
2019,9,10.594,23.2,7.2,8.2,1.6,5.7,4.2,236,1.729,1.666,1.271,0.037,0.077,0.06,0.057,6.5,4.4,9880,3226
2019,10,6.811,16.8,7.6,10.3,1.3,4.6,4.1,252,1.968,1.944,1.658,0.031,0.048,0.033,0.024,10.1,3.3,8325,2930
2019,11,3.572,12.6,7.8,9.6,3.4,7,11.4,318,1.974,1.847,1.442,0.05,0.077,0.037,0.026,50.2,6.5,6865,2230
2019,12,3.811,5.9,7.9,11.9,2.9,5.1,6,344,2.557,2.49,2.116,0.077,0.055,0.034,0.025,28,4.9,4600,1008
