year,month,flow,temp,pH,DO,BOD,COD,SS,EC,T_N,DTN,NO3_N,NH3_N,T_P,DTP,PO4_P,Chl_a,TOC,TC,FC
2014,11,40.457,13.3,7.4,11.5,4.1,6.5,10.4,360,4.942,4.723,2.698,1.29,0.1,0.037,0.023,47.3,4.9,5538,898
2014,12,26.397,6.7,6.9,9.9,2.9,4.8,5,416,5.31,5.078,2.458,2.074,0.126,0.095,0.087,3.4,4.2,22820,6070
2015,1,20.63,5.6,6.9,11.9,2.5,5,6.4,403,6.382,6.295,2.586,3.178,0.115,0.071,0.055,7.1,4.5,6880,155
2015,2,18.073,6.5,7.1,12.6,4.3,6.5,6.7,422,7.327,7.188,2.538,4.068,0.11,0.051,0.029,27.9,5.3,3675,1062
2015,3,12.371,10.4,7.4,12,6.9,10,13.4,430,7.658,7.212,1.833,4.521,0.147,0.047,0.017,99.8,7,1512,51
2015,4,22.021,15.8,7.2,7.5,5.6,8.9,12.5,346,5.658,5.305,1.412,2.966,0.162,0.081,0.049,56,6.5,17763,1159
2015,5,19.311,20.9,7,6.4,6.3,8.4,11.5,309,5.195,5.039,1.499,2.582,0.14,0.051,0.027,56.3,6.2,5298,686
2015,6,19.118,23.9,6.7,6.8,5.3,8.3,13.2,290,4.456,4.176,1.412,1.874,0.126,0.051,0.025,44.6,6.3,6342,833
2015,7,38.434,26.2,7.5,7.1,4.2,8.3,9.6,237,3.352,3.198,1.443,0.953,0.137,0.064,0.041,57,5.9,8623,1948
2015,8,21.543,27.8,7.3,6.7,4.3,7.6,10.6,291,4.168,3.833,1.178,1.283,0.19,0.093,0.063,60,5.8,4028,1107
2015,9,19.761,24,7.2,8.1,4.4,7.1,8.7,322,4.487,4.317,1.809,1.428,0.153,0.076,0.049,38.1,5.2,10753,3161
2015,10,14.647,20.1,7,8.9,4.3,7.1,9.4,313,4.514,4.323,2.416,1.064,0.118,0.059,0.039,38.8,5.9,1961,450
2015,11,21.203,15.6,6.7,5.8,4.2,6.6,5.9,349,5.011,4.844,1.803,1.801,0.202,0.135,0.093,23,5.3,19705,4605
2015,12,23.383,9,6.6,9.2,2.3,5.2,3.3,341,4.916,4.849,2.644,1.234,0.169,0.123,0.089,7.5,2.6,16400,1078
2016,1,15.677,6.6,7.2,12.8,2.6,5.4,5.1,417,6.783,6.63,4.346,1.672,0.124,0.071,0.036,28.5,5.3,875,60
2016,2,23.339,6.9,7.1,12,3.5,5.8,8.6,355,5.428,5.201,2.991,1.762,0.154,0.096,0.072,20.3,5.5,5561,462
2016,3,26.807,11.6,7.2,10.4,4.8,7.4,19.5,317,4.855,4.571,2.69,1.311,0.176,0.082,0.046,46.4,6.1,3675,258
2016,4,29.265,16.6,7.2,10,5.4,7.9,12.8,284,3.833,3.608,2.292,0.889,0.137,0.06,0.025,64.3,5.9,5775,1314
2016,5,26.044,21.4,6.9,9.4,4.5,7.6,10.1,287,4.087,3.804,1.916,1.309,0.14,0.068,0.045,65.8,6,8700,1864
2016,6,24.42,24.3,6.9,7.2,4,7.8,7,288,4.023,3.761,1.709,1.365,0.146,0.085,0.068,42.4,7,11250,1360
2016,7,59.187,26.2,6.9,6.5,3.9,6.9,10.7,230,3.277,3.066,1.537,1.072,0.166,0.101,0.085,36.7,6.2,27275,7305
2016,8,22.217,29,6.8,4.3,4.5,8.6,9.7,317,3.845,3.641,1.307,1.669,0.204,0.141,0.117,61,7.3,10192,2456
2016,9,36.609,24,7,6.8,4.1,7,9.1,276,3.613,3.501,1.987,1.076,0.152,0.092,0.077,49.5,5.7,12250,2175
2016,10,42.963,19.5,6.5,7.1,3,5.9,11.8,220,3.153,2.97,1.596,0.807,0.192,0.133,0.126,8.4,4.6,36000,8050
2016,11,16.251,13.2,7,10.8,3.8,6.6,8.7,371,5.604,5.408,3.219,1.577,0.163,0.087,0.061,48.2,5.4,6800,1416
2016,12,15.293,8.3,7,10.9,4.1,7.3,10,428,6.097,5.752,3.227,1.738,0.122,0.043,0.023,46.5,6.1,5880,545
2017,1,12.284,6.1,7,13.1,4,7.2,9,432,6.447,6.204,3.456,1.892,0.114,0.04,0.019,42.9,5.7,1576,54
2017,2,16.996,7,7.2,13.8,5.5,9.1,14.7,473,7.673,7.148,2.966,3.512,0.154,0.043,0.02,69.3,7.8,3070,81
2017,3,4.914,11.1,7.5,14.8,6.8,12.4,16,428,8.267,7.898,2.628,4.164,0.121,0.039,0.018,101.4,8.8,5275,70
2017,4,13.412,16.6,6.8,10.5,7.3,11.7,9.9,369,6.152,5.469,1.865,3.048,0.159,0.084,0.044,34.2,8.7,2800,163
2017,5,9.681,21.6,7.2,8.6,5.9,12.6,11,445,7.44,7.196,2.267,3.606,0.133,0.069,0.038,35.2,9,220,81
2017,6,23.248,24.1,7.1,8,6.9,14.1,13.7,351,4.55,4.304,1.832,1.528,0.106,0.039,0.006,55.3,10.3,100,52
2017,7,24.309,27.2,6.4,4.6,3.9,9.1,10.3,274,3.847,3.699,1.475,1.711,0.176,0.123,0.101,20.5,7.4,9775,2865
2017,8,94.799,27.5,6.6,3.3,3.8,8.8,13.7,262,4.244,4.157,1.256,2.362,0.181,0.121,0.104,13.9,6.8,23500,11600
2017,9,47.595,23.7,7,8.4,3.7,7.9,10.5,272,3.163,2.924,1.586,0.858,0.105,0.053,0.039,38.9,5.9,10475,3185
2017,10,17.424,18.9,7.1,8.4,4.9,8.3,10.1,388,5.166,4.915,2.243,1.926,0.091,0.049,0.031,48.9,6.6,2075,630
2017,11,15.681,12.1,7.6,12.3,5.3,9.8,13.7,480,6.34,6.181,3.181,2.229,0.087,0.034,0.008,48.1,7.4,1311,172
2017,12,25.078,7.4,7.8,12.2,5.4,9.2,17.3,559,7.16,6.807,2.728,3.507,0.117,0.028,0.007,40.7,7.6,12125,1225
2018,1,7.29,5.8,7.2,13.5,6.4,11.6,13,561,8.883,8.268,2.32,5.352,0.125,0.036,0.013,56.5,8.6,3820,176
2018,2,10.175,6.5,7.5,13.3,6.1,11.8,14.1,548,11.563,11.221,1.727,8.907,0.177,0.054,0.023,70,8.9,1115,144
2018,3,38.267,11.7,7.3,7.8,6,11.1,25.3,386,7.031,6.549,1.53,4.46,0.199,0.074,0.034,41.9,8.7,13450,3100
2018,4,43.437,16.6,7.4,8.2,5.7,10.9,47.7,364,6.849,6.608,1.667,3.832,0.203,0.061,0.043,41.4,8.2,59600,13833
2018,5,38.195,21.5,7.5,8.3,6.2,10.7,36.6,306,4.675,4.447,1.205,2.27,0.183,0.079,0.048,47.7,8.1,78500,20125
2018,6,33.815,26,7.6,7.7,6.6,11.6,24.4,382,5.959,5.763,1.406,3.329,0.128,0.054,0.026,50,8.9,7450,1975
2018,7,68.392,28.7,8,9.2,7,12.5,43.6,323,5.545,5.254,1.805,2.853,0.214,0.111,0.096,70.5,9,67760,14806
2018,8,60.961,29.5,8,9.7,6.7,12.9,23.2,343,5.043,4.826,1.369,2.788,0.227,0.125,0.09,80.1,8.9,32800,10315
2018,9,17.677,24.5,7.3,6.9,4.8,8.7,10.3,294,4.876,4.523,1.399,2.516,0.19,0.126,0.108,28.5,6.7,100750,57875
2018,10,12.864,18.4,7.3,8.7,4.9,7.9,9.5,336,4.942,4.837,2.12,2.397,0.158,0.091,0.07,33.8,7.4,29620,9980
2018,11,8.473,13.4,7.8,9.7,5.1,9.7,10.6,415,5.688,5.125,2.168,2.488,0.209,0.082,0.066,56.9,8.6,41175,22395
2018,12,12.747,8.4,7.9,11.7,4,8.4,9.5,466,6.668,6.395,3.237,2.556,0.14,0.052,0.038,62.2,8.1,16975,3690
2019,1,6.433,6.7,7.8,12.5,4.7,9,10.1,485,9.198,8.831,3.67,3.972,0.154,0.066,0.024,42,8,730,34
2019,2,7.281,7.5,7.8,12.4,6.6,14.1,19.1,434,7.597,7.103,2.891,3.777,0.195,0.048,0.018,115.2,10.5,8225,1183
2019,3,8.799,12,7.8,10.4,6,12.5,12.2,454,8.271,8.2,2.648,5.145,0.194,0.079,0.027,66.7,9,22600,1783
2019,4,18.457,15.3,8.3,9,6,12.9,29.8,374,6.569,6.214,1.851,3.919,0.358,0.159,0.098,44.2,9.1,78900,14434
2019,5,16.081,20.6,7.6,8.1,4.8,10.3,13.3,349,5.09,4.959,1.92,2.642,0.197,0.078,0.045,49.6,7.7,63025,19518
2019,6,14.614,24.4,7.9,6.5,6.4,13.5,14.3,325,4.433,4.37,1.713,2.53,0.2,0.069,0.037,63.8,9.2,19025,2370
2019,7,34.56,26.1,7.7,5.7,4.1,10.2,14.9,257,4.12,4.002,1.657,1.928,0.163,0.093,0.079,29.9,9.3,54880,25288
2019,8,51.418,28.1,7.6,7.6,4,10,19.7,273,3.918,3.744,1.959,1.575,0.181,0.09,0.063,52.4,8.6,54900,23030
2019,9,42.173,24.5,7.4,7.8,3.8,7.1,8.8,243,3.411,3.275,1.676,1.138,0.129,0.085,0.073,28.4,4.9,51880,16658
2019,10,24.889,19.6,7.8,10.2,3.9,6.5,10.3,291,4.156,4.07,2.453,1.075,0.063,0.028,0.016,46.8,5.2,3250,883
2019,11,19.908,14.9,7.7,10.3,5,8.5,8.7,419,6.361,5.996,2.643,2.714,0.086,0.068,0.053,52,7.7,2155,300
2019,12,12.57,9,7.7,13.1,6.1,10.5,14,480,7.155,6.819,3.194,2.998,0.116,0.052,0.032,70.3,8.5,14225,3168
