연도, 월, 조사회차, 채수 일자, 측정소 명,BOD,COD,T_N,T_P
2022,2,1회차,2022.02.03,광주2,5.5,10.7,11.781,0.444
2022,2,1회차,2022.02.03,광주3,6.6,10.7,10.479,0.094
2022,2,1회차,2022.02.03,광산,6.5,10.6,10.986,0.226
2022,2,1회차,2022.02.03,황룡강5,3.7,7.3,2.467,0.085
2022,2,1회차,2022.02.07,광주천2,5.8,11.3,5.652,0.14
2022,2,2회차,2022.02.07,우치,4.3,7,2.608,0.099
2022,2,2회차,2022.02.07,광산,7.7,12.3,9.731,0.178
2022,2,2회차,2022.02.07,황룡강5,4.5,6,2.055,0.087
2022,2,2회차,2022.02.08,광주1,7.6,14.2,2.056,0.094
2022,2,2회차,2022.02.08,광주2,7.3,11.2,11.477,0.152
2022,2,2회차,2022.02.08,광주3,8.4,11.9,11.524,0.282
2022,2,2회차,2022.02.14,광주천2,7.1,14.8,6.602,0.159
2022,2,3회차,2022.02.14,우치,5.4,8.4,2.391,0.096
2022,2,3회차,2022.02.14,광산,7.8,11.5,9.575,0.132
2022,2,3회차,2022.02.14,황룡강5,4.1,6.7,2.218,0.104
2022,2,3회차,2022.02.16,광주1,10.8,18,2.015,0.156
2022,2,3회차,2022.02.16,광주2,6.7,12.2,14.136,0.314
2022,2,3회차,2022.02.16,광주3,8.1,15.4,13.65,0.311
2022,2,3회차,2022.02.21,광주천2,8,11.9,6.68,0.14
2022,2,4회차,2022.02.21,우치,5.3,9.6,2.416,0.108
2022,2,4회차,2022.02.21,광산,6.3,10.5,10.735,0.147
2022,2,4회차,2022.02.21,황룡강5,4.5,8.5,2.029,0.104
2022,2,4회차,2022.02.22,광주1,6.9,11.9,2.384,0.208
2022,2,4회차,2022.02.22,광주2,6.2,9.5,13.74,0.346
2022,2,4회차,2022.02.22,광주3,8.5,9.5,12.543,0.319
2022,2,4회차,2022.02.28,광주천2,8.8,13.6,7.316,0.187
2022,2,5회차,2022.02.28,우치,5.5,10.5,2.467,0.133
2022,2,5회차,2022.02.28,광산,9.2,12.5,9.996,0.135
2022,2,5회차,2022.02.28,황룡강5,5.5,8.8,2.093,0.106
2022,3,1회차,2022.03.03,광주1,17.9,18.5,2.038,0.114
2022,3,1회차,2022.03.03,광주2,8,13.1,13.811,0.349
2022,3,1회차,2022.03.03,광주3,8.9,14.8,13.035,0.23
2022,3,1회차,2022.03.07,우치,5.2,10.7,2.348,0.149
2022,3,1회차,2022.03.07,광주천2,6.4,12.2,5.939,0.164
2022,3,1회차,2022.03.07,광산,8.4,12.8,10.095,0.163
2022,3,1회차,2022.03.07,황룡강5,6,9.1,1.915,0.105
2022,3,2회차,2022.03.08,광주1,8.4,16.7,2.571,0.249
2022,3,2회차,2022.03.08,광주2,8.4,13.1,14.332,0.31
2022,3,2회차,2022.03.08,광주3,7,12.6,14.145,0.249
2022,3,2회차,2022.03.14,우치,4.6,8.7,2.733,0.156
2022,3,2회차,2022.03.14,광주천2,9.3,13.5,5.492,0.305
2022,3,2회차,2022.03.14,광산,7.7,10.8,12.947,0.252
2022,3,2회차,2022.03.14,황룡강5,8.4,9.1,3.117,0.21
2022,3,3회차,2022.03.16,광주1,5.6,10.1,2.599,0.189
2022,3,3회차,2022.03.16,광주2,14.2,15.8,10.62,0.583
2022,3,3회차,2022.03.16,광주3,8.3,10.6,11.531,0.442
2022,3,3회차,2022.03.21,우치,4.6,7.2,2.907,0.113
2022,3,3회차,2022.03.21,광주천2,4,8.5,6.003,0.15
2022,3,3회차,2022.03.21,광산,6.1,9.3,8.093,0.265
2022,3,3회차,2022.03.21,황룡강5,6.5,8.8,2.146,0.109
2022,3,4회차,2022.03.22,광주1,6,8.9,2.886,0.25
2022,3,4회차,2022.03.22,광주2,6.2,12,10.09,0.498
2022,3,4회차,2022.03.22,광주3,7.8,9.4,9.9,0.264
2022,3,4회차,2022.03.28,우치,5.8,7.2,2.928,0.141
2022,3,4회차,2022.03.28,광주천2,5.4,5.5,4.251,0.12
2022,3,4회차,2022.03.28,광산,7,8.8,4.187,0.133
2022,3,4회차,2022.03.28,황룡강5,6.6,7.9,4.109,0.153
2022,3,5회차,2022.03.30,광주1,3.4,9.1,2.605,0.169
2022,3,5회차,2022.03.30,광주2,5.5,8.4,4.365,0.189
2022,3,5회차,2022.03.30,광주3,6.7,9.6,5.488,0.181
2022,4,1회차,2022.04.04,우치,5.4,7.6,2.244,0.103
2022,4,1회차,2022.04.04,광주천2,8.2,11.8,4.384,0.156
2022,4,1회차,2022.04.04,광산,8,13.6,5.278,0.155
2022,4,1회차,2022.04.04,황룡강5,6.5,8.4,2.96,0.114
2022,4,1회차,2022.04.05,광주1,6,10.2,1.977,0.162
2022,4,1회차,2022.04.05,광주2,5.4,7.4,7.63,0.22
2022,4,1회차,2022.04.05,광주3,5.7,9.8,8.827,0.176
2022,4,2회차,2022.04.11,우치,6.7,9.6,1.833,0.128
2022,4,2회차,2022.04.11,광주천2,12.1,14.2,3.515,0.173
2022,4,2회차,2022.04.11,광산,12.8,15.1,6.87,0.164
2022,4,2회차,2022.04.11,황룡강5,7.4,9.2,2.53,0.156
2022,4,2회차,2022.04.13,광주1,5.7,10.9,1.246,0.115
2022,4,2회차,2022.04.13,광주2,14.5,10.6,10.334,0.204
2022,4,2회차,2022.04.13,광주3,7,11.2,9.617,0.098
2022,4,3회차,2022.04.18,우치,4.4,7,1.422,0.083
2022,4,3회차,2022.04.18,광주천2,6.3,8,3.983,0.132
2022,4,3회차,2022.04.18,광산,7.4,11.4,7.193,0.132
2022,4,3회차,2022.04.18,황룡강5,7.1,7.8,1.872,0.127
2022,4,3회차,2022.04.19,광주1,7.3,11.8,1.474,0.16
2022,4,3회차,2022.04.19,광주2,8,11.4,9.059,0.187
2022,4,3회차,2022.04.19,광주3,8.3,11,8.317,0.165
2022,4,4회차,2022.04.25,우치,6.9,9.5,1.014,0.111
2022,4,4회차,2022.04.25,광주천2,8.8,9.2,3.876,0.145
2022,4,4회차,2022.04.25,광산,11.3,12.8,7.643,0.133
2022,4,4회차,2022.04.25,황룡강5,7.3,8.5,1.503,0.14
2022,4,4회차,2022.04.28,광주1,4.9,9.4,1.61,0.154
2022,4,4회차,2022.04.28,광주2,12.4,9.8,6.877,0.311
2022,4,4회차,2022.04.28,광주3,8.4,10.2,7.014,0.296
2022,5,1회차,2022.05.02,우치,4.1,8,1.185,0.105
2022,5,1회차,2022.05.02,광주천2,4.4,7.6,3.801,0.144
2022,5,1회차,2022.05.02,광산,12.2,14.2,6.492,0.319
2022,5,1회차,2022.05.02,황룡강5,9.6,11.1,1.33,0.124
2022,5,1회차,2022.05.03,광주1,5.9,10.6,1.439,0.111
2022,5,1회차,2022.05.03,광주2,9.5,10.9,8.965,0.17
2022,5,1회차,2022.05.03,광주3,7.3,11.3,10.922,0.205
2022,5,2회차,2022.05.09,우치,4.1,8.9,1.079,0.12
