Flow,BOD,COD,TN,NO3N,NH3N,TP,PO4P,Chla,TOC,TC,FC,Precipitation
11.149,2.1,5.1,2.243,1.924,0.081,0.167,0.061,5.1,4.3,4200,510,31.8
9.893,2.2,4.7,1.619,1.127,0.048,0.075,0.06,5.9,4.3,13000,1000,32.9
5.217,2.6,7,1.379,0.752,0.062,0.121,0.049,67.8,8.2,5000,760,0.1
3.922,4.3,8.1,1.244,0.267,0.038,0.157,0.027,55.9,6.4,280,75,1.5
3.169,3.4,8.2,1.463,0.454,0.039,0.12,0.044,14.4,6.5,680,140,29.5
13.172,1.9,6.5,0.934,0.453,0.078,0.093,0.043,12.4,5.3,2300,385,5.8
1.873,1.5,6.7,0.892,0.382,0.064,0.071,0.029,9.8,5.3,1500,160,5.8
9.148,1.1,6.1,1.227,0.541,0.138,0.102,0.034,4.4,4.8,5500,450,44.2
30.813,2.5,6.5,1.48,0.82,0.321,0.102,0.033,14.2,5.8,13500,5400,9.3
11.783,1.6,6.9,1.393,0.694,0.119,0.107,0.06,4.9,5.1,9500,60,32.5
14.702,1.4,9.2,2.127,1.545,0.128,0.108,0.057,1.1,4.4,13000,2000,153.3
7.799,1.5,3,1.899,1.322,0.08,0.076,0.043,11.3,3.9,7500,380,1.8
12.199,1.5,6.2,2.633,1.505,0.094,0.117,0.087,5.3,4.7,18000,700,70.8
15.922,1,5.1,1.922,1.573,0.062,0.086,0.051,2.3,3.8,18000,1500,106.1
20.793,1.3,5.7,1.836,1.131,0.087,0.107,0.055,4,4,24000,2900,57.4
7.222,1,3.8,2.063,0.778,0.061,0.076,0.035,3.5,3,20000,700,2.9
4.556,1.1,4,2.154,1.009,0.105,0.067,0.045,3.6,3.4,9000,300,9.6
4.253,1,3.9,2.194,1.66,0.031,0.082,0.052,4.3,3.1,7300,150,0.4
3.313,1.1,4.2,2.193,1.636,0.037,0.165,0.051,6.5,4.2,26000,60,13.7
3.237,1.7,5.2,2.128,1.489,0.1,0.086,0.064,13.4,4.8,10200,40,8.7
2.998,2,4.7,2.378,1.902,0.027,0.069,0.028,20.3,4.1,2400,150,4.9
3.017,1.3,3.6,2.469,2.039,0.06,0.048,0.022,9,3.2,5100,100,5.4
3.151,1.3,3.7,2.685,2.164,0.148,0.048,0.015,7.1,3.2,3400,320,2.1
3.087,1.1,3.3,2.503,2.023,0.035,0.048,0.015,9.8,3,6000,320,9.2
4.499,1.6,4.9,2.633,2.047,0.066,0.081,0.026,8.4,4.4,49000,100,33.2
3.885,1.7,4.3,2.961,2.014,0.295,0.09,0.044,6.8,3.7,3000,110,0.3
3.233,1.5,4.7,3.035,2.041,0.361,0.088,0.042,14.2,3.3,6700,370,1.1
2.84,1,4.5,2.605,2.441,0.085,0.056,0.012,3.8,2.3,1200,110,0.9
2.961,1.6,3.6,2.989,2.528,0.153,0.081,0.017,4.2,3.8,300,130,5.8
4.274,1.3,3.8,3.59,2.982,0.39,0.102,0.065,4.2,3.3,1100,60,5.8
3.339,1.4,4.3,2.801,2.483,0.126,0.088,0.038,6.3,3.3,600,30,1.4
3.017,1.5,3.9,2.789,2.626,0.136,0.067,0.047,4.9,3.3,1300,290,5.7
2.883,2.5,5.6,2.823,2.075,0.311,0.092,0.028,19.2,3.7,1300,410,16.2
4.176,2.1,5.1,2.641,2.098,0.148,0.081,0.029,7.9,3.8,1900,210,20.5
3.847,2,4.9,2.314,2.126,0.14,0.068,0.022,14.7,3.8,500,40,5.9
2.597,3.9,5.5,2.341,1.593,0.018,0.082,0.004,24.5,5.2,100,120,2.1
1.98,5,8,2.469,1.315,0.028,0.124,0.005,66.4,8.4,1400,510,0.3
2.814,4.9,7.9,1.897,1.179,0.063,0.091,0.025,64.2,5.7,2600,20,1.2
0.787,6.5,12,1.894,0.757,0.024,0.128,0.005,105.9,8.9,600,20,3.4
7.172,4.1,8.5,1.446,0.97,0.009,0.081,0.008,72.1,5.9,31000,380,2.6
1.808,5.2,10.9,1.255,0.541,0.025,0.111,0.01,118.2,7.5,150,40,0
1.062,7.8,12.7,1.094,0.301,0.039,0.116,0.001,146.2,9,1000,160,2.2
1.973,6.4,12,1.11,0.21,0.04,0.139,0.003,106.2,7.3,400,40,10.4
1.174,7.6,13.9,1.672,0.539,0.071,0.137,0.012,89.6,9.6,280,85,10
1.93,3.9,14.3,1.784,0.673,0.119,0.134,0.018,34.7,9.8,60,15,1.7
3.294,5.1,13.3,1.937,0.462,0.267,0.141,0.006,54.9,9.8,1700,85,4.9
5.162,4.4,12.1,2.535,1.065,0.288,0.142,0.027,25.3,9.1,750,340,10.1
3.288,3,10.7,2.169,1.104,0.406,0.118,0.033,21.3,8.1,1500,240,26.5
2.977,5,13.5,1.821,0.626,0.262,0.103,0.006,44.4,10.4,780,390,2.1
2.465,3.1,14.3,2.044,0.879,0.188,0.12,0.039,37.1,10.5,1600,170,23.7
13.65,2.8,10.7,1.893,0.928,0.255,0.12,0.043,16,7.7,4200,1500,28.1
11.708,2.7,9.2,2.172,1.278,0.224,0.163,0.078,7.3,7,11000,1300,72.9
12.706,1.5,6.7,2.281,1.911,0.102,0.121,0.048,6.7,4.8,12000,2300,69
3.609,2.3,6.8,1.537,1.039,0.068,0.066,0.018,26.3,5.3,1000,410,12.2
1.804,3.2,7.4,0.857,0.581,0.067,0.086,0.023,50.3,5.5,300,70,28.2
29.849,2.2,7.6,1.263,0.811,0.117,0.135,0.085,9.8,5.7,26000,1000,56.1
86.871,3.2,8,1.605,1.005,0.114,0.16,0.096,18,5.9,32000,6800,98.5
8.136,1.2,5.2,1.89,1.416,0.067,0.066,0.053,3.6,3.9,4100,1000,83.4
6.257,2.5,5.3,1.275,0.858,0.014,0.087,0.022,20.5,4.4,2200,690,1.4
33.968,1.8,7.4,1.686,1.051,0.08,0.134,0.08,4.7,5.2,11000,4600,83.4
3.963,1.1,5.1,1.525,1.141,0.025,0.048,0.036,5.8,4.1,5300,290,0.2
4.169,1.5,5.2,1.161,0.858,0.033,0.051,0.025,11.6,4.2,2700,170,0
4.248,1.2,5,2.01,1.282,0.181,0.081,0.046,3.9,3.7,4300,710,13.6
3.445,1.1,4.9,1.956,1.427,0.057,0.073,0.041,7.1,3.9,3300,240,11.4
3.111,1.2,5.3,1.769,1.238,0.12,0.064,0.027,10.5,4,2000,120,0
2.755,2.8,6.7,1.515,1.162,0.009,0.064,0.006,50.1,5.3,400,30,1.3
2.117,3.8,6.8,1.889,1.123,0.387,0.076,0.005,75.6,5.6,2100,40,2
2.022,3.7,7.3,1.487,0.935,0.016,0.063,0.004,72.7,6.2,420,55,0.7
1.943,4.7,8.2,1.973,0.687,0.342,0.067,0.006,88.5,6.5,560,75,3.7
2.804,4.1,7,2.32,1.679,0.021,0.072,0.007,73,5.5,500,120,0.4
2.256,3.6,6.5,2.36,1.783,0.225,0.059,0.003,51.5,5.7,1100,260,3.5
2.446,2.9,5.7,2.878,2.067,0.387,0.072,0.007,43.1,4.8,1500,470,5.3
2.277,3,5.3,2.975,2.134,0.312,0.068,0.004,44.4,4.3,2400,1100,1.5
3.511,3.6,6,2.667,2.212,0.153,0.068,0.005,57.2,5.1,3300,400,21
2.657,3.1,5.9,2.81,2.118,0.038,0.066,0.007,33.9,4.6,1100,350,1
2.432,3.6,6.2,2.288,1.599,0.536,0.068,0.011,64.8,4.7,7000,1500,4.4
3.004,3.2,5.3,2.64,2.009,0.124,0.061,0.007,37.3,4.4,24000,340,9.5
3.448,2.5,5.7,2.564,1.719,0.142,0.086,0.02,17.8,4.6,1500,440,23.4
2.588,2,4.8,2.831,1.774,0.388,0.079,0.015,16.9,4,1400,240,6.4
2.583,2.3,4.5,2.771,2.097,0.05,0.079,0.009,27.5,3.6,410,270,3.5
2.64,2.4,4.3,2.926,2.164,0.157,0.089,0.008,20.4,3.5,1100,200,7.3
2.207,3.4,5.7,2.704,1.82,0.085,0.112,0.014,51.2,4.6,1900,910,0
1.808,4.7,8.5,2.236,1.468,0.006,0.098,0.016,88.1,6.2,860,65,7.9
3.088,4.9,8.2,2.239,1.303,0.192,0.134,0.01,72.4,6.5,4600,840,31.6
2.95,3.6,7.5,2.803,1.855,0.221,0.096,0.012,34.6,5.5,3200,160,19.1
32.093,4.1,9.1,3.408,2.233,0.346,0.16,0.071,21.3,6.3,24000,3400,65.4
7.426,1.4,4.9,1.908,1.333,0.048,0.043,0.019,8.5,3.8,14000,380,8.2
2.415,3.3,7.4,1.569,0.803,0.018,0.066,0.005,48.9,5.7,3100,20,5.9
6.695,1.9,7.4,2.807,1.815,0.092,0.1,0.043,10.4,5.2,1400,160,38.9
4.792,2,5.4,2.292,1.589,0.086,0.075,0.038,26.4,4.3,2000,170,23.7
8.327,3.2,7.1,1.502,0.837,0.043,0.107,0.009,79.5,5.3,15000,1000,41.2
8.653,2,5.8,2.987,1.28,0.082,0.12,0.02,13.5,4.3,1700,550,9.9
10.063,2.3,6.5,2.457,1.52,0.27,0.129,0.035,17.8,5.2,15000,700,30.9
9.413,2.2,6,2.064,1.508,0.186,0.106,0.05,12.2,5.2,5800,440,25.8
6.016,2.4,7.6,1.798,1.014,0.1,0.125,0.043,21.5,6,3900,390,23.1
6.023,3.7,8.5,2.611,1.221,0.452,0.162,0.104,12,7,1400,200,37.2
6.184,2.8,9.2,2.203,0.962,0.224,0.126,0.074,5.5,7.6,3200,460,0.1
7.051,1.9,9.8,1.997,0.952,0.152,0.121,0.064,5.5,8.2,4300,200,6.2
4.774,3.7,11.7,1.749,0.805,0.049,0.098,0.027,27.3,9.2,1400,230,0.1
4.018,3,12.4,1.483,0.52,0.054,0.116,0.033,17.1,9.1,1700,220,12.2
117.544,2.3,9.2,2.155,1.216,0.102,0.197,0.131,10,6.5,19000,4200,235
6.001,1.6,5.8,2.582,1.758,0.061,0.087,0.077,7.8,4.9,3000,400,8.6
4.752,4.7,8.7,1.117,0.487,0.008,0.095,0.055,49.5,6.5,1000,140,11
2.066,5.1,13.3,1.285,0.492,0.011,0.134,0.061,29,8.5,700,30,33
4.448,4.1,10.9,0.992,0.297,0.011,0.113,0.046,52.3,7.8,1500,230,11.6
0.854,3.2,10.5,1.251,0.548,0.013,0.107,0.042,35,7.5,200,30,0.7
4.952,2.4,7.3,1.113,0.563,0.071,0.107,0.068,11.6,6,1800,410,18.9
0.889,2.5,8.1,1.238,0.72,0.009,0.087,0.028,21.4,7,500,10,0.1
121.808,1.9,7.6,1.995,1.488,0.02,0.145,0.061,3,5.2,26000,4100,254.9
19.254,1.5,4.8,2.214,1.678,0.023,0.133,0.069,1.6,4,17000,3100,97.7
11.438,1.8,4.8,1.822,0.19,0.007,0.062,0.025,10.6,5,6300,1100,73.1
10.998,3,6.6,1.574,1.065,0.005,0.056,0.03,49.6,4,9100,1800,9.9
4.129,1.9,5,2.077,1.193,0.087,0.076,0.021,12.1,5,3100,280,15.3
3.354,3.3,7.5,1.902,1.298,0.11,0.092,0.019,27.3,6.8,1200,370,5.7
15.491,1.1,4.8,1.718,1.248,0.012,0.093,0.059,3.6,4.8,24000,4100,94.9
4.312,1.2,4.7,2.084,1.717,0.009,0.061,0.042,4,4.1,2800,360,4.2
3.632,1.8,5.5,2.09,1.617,0.014,0.073,0.016,7.1,5.5,3100,250,0
4.001,2.6,6.4,2.051,1.633,0.014,0.072,0.013,27.1,5.3,13000,600,11.9
0.884,2,5.5,2.122,1.517,0.008,0.095,0.017,20.9,7.2,2100,160,0.4
3.706,1.6,6.5,1.976,1.473,0.036,0.128,0.072,11.9,5,14000,700,32
2.98,1.7,6.7,1.971,1.467,0.004,0.065,0.027,20.6,5.6,2900,210,2.4
1.709,1.8,4.6,2.069,1.7,0.005,0.064,0.035,18.9,5.3,1300,170,6.2
3.941,2.8,5.2,2.005,1.607,0.008,0.072,0.019,54.6,5.3,15000,4000,8.5
4.098,1.6,4.2,2.383,2.07,0.056,0.068,0.033,9.8,5,800,70,15.6
3.644,1.3,3.9,2.938,2.354,0.153,0.076,0.046,4.5,4.5,900,60,0.9
3.089,1.4,4,2.708,2.144,0.093,0.068,0.037,4.9,4.6,900,260,2.6
2.906,1.1,4.5,2.61,2.386,0.105,0.072,0.016,6.5,4.8,900,140,0
2.797,1.5,3.4,2.889,2.128,0.209,0.058,0.015,6.2,4.9,600,240,3.3
2.528,1.7,3.9,2.801,2.104,0.046,0.08,0.018,18.8,3.4,280,140,1.9
2.363,2.6,5.2,2.539,2.045,0.006,0.081,0.007,34.7,4.2,310,190,0
3.129,2.3,7.1,2.664,1.996,0.269,0.092,0.043,36.4,5.3,2000,350,14.7
2.29,2.8,5.7,2.739,2.031,0.21,0.097,0.046,32.4,4.8,2000,80,0
2.738,2.9,6.6,2.42,1.889,0.02,0.111,0.009,31.6,6.1,400,150,0.5
2.551,3.1,6.8,2.184,1.6,0.022,0.099,0.014,63.8,6.2,500,180,15.7
1.663,4.5,8.4,1.778,1.033,0.024,0.117,0.022,81.7,7.2,5500,120,0.5
2.259,4.3,9,1.848,1.054,0.044,0.184,0.01,76.5,7.2,2700,1200,9.2
1.744,4,9.8,1.73,0.893,0.024,0.182,0.01,70.7,7.9,1200,3,0.9
2.339,4.8,8.7,1.657,0.904,0.05,0.196,0.013,79,7,800,60,17.6
1.744,4,8.6,1.246,0.607,0.041,0.138,0.011,32.6,5.5,1200,8,1.2
2.154,4.1,8.8,1.564,0.636,0.357,0.151,0.012,89.6,7.8,30,4,7.6
1.711,3.8,8.3,1.651,0.82,0.263,0.144,0.008,55.9,7.5,100,12,33.3
2.202,5.9,12.6,1.232,0.394,0.018,0.214,0.015,60.9,9.3,210,92,0
6.405,3.7,9.1,1.326,0.716,0.146,0.159,0.054,25,5,13000,3600,29.9
2.105,4.1,8.9,0.864,0.158,0.022,0.128,0.011,64.7,6.9,520,82,0
1.056,3.9,8.6,1.331,0.47,0.11,0.142,0.014,47.8,7.2,280,85,0
6.579,2.7,9,1.76,0.936,0.338,0.158,0.061,25.1,6,3700,520,43.3
11.052,4.1,8.9,2.05,0.93,0.616,0.194,0.079,24.7,7.5,27000,2200,22
6.849,3.9,8.8,2.04,0.981,0.267,0.149,0.057,16.6,7.8,2900,490,1.7
7.835,3.4,9.4,1.863,0.914,0.232,0.185,0.078,11.4,7.4,4800,2900,37.8
2.227,2.8,9.6,1.868,0.905,0.119,0.137,0.042,16.4,7.1,2100,23,3.6
4.404,3.9,11.2,1.509,0.535,0.091,0.104,0.035,23.5,9.1,1800,350,0.7
7.985,4.5,10.2,2.417,1.23,0.329,0.154,0.112,8.3,8,2300,760,102.5
6.799,3.7,8.5,1.382,0.611,0.033,0.102,0.05,21,8.2,36000,6100,0.3
4.022,2,6.5,1.3,0.714,0.009,0.075,0.039,8.4,6.4,1200,420,33
15.345,1.3,6,2.203,1.699,0.058,0.077,0.057,3.5,4.4,20000,4300,72.3
30.941,1.5,6.2,1.978,1.445,0.088,0.102,0.062,4.8,5.3,30000,4400,74.4
3.542,3.3,6.9,1.222,0.653,0.004,0.096,0.005,44.7,6.3,36000,500,0
9.793,3.5,8.1,1.037,0.567,0.08,0.106,0.059,20.3,7.1,4300,2500,16
4.263,2.1,10.8,0.763,0.418,0.01,0.072,0.039,11.9,8.8,1100,350,0.3
9.197,1.4,5.9,1.499,0.955,0.06,0.08,0.058,5.6,5.6,6500,3900,30.5
7.835,1.6,6.3,1.854,1.223,0.057,0.069,0.045,4.8,5.8,5200,3000,15.1
10.43,1.6,6.5,1.715,1.166,0.032,0.096,0.082,2.7,4.5,3800,2600,40.1
3.956,1.7,5.2,1.501,1.191,0.038,0.08,0.054,10.2,3.8,3900,530,0.3
19.125,1.6,6.1,2.122,1.681,0.028,0.079,0.066,4.2,4.1,31000,7100,86.7
8.866,1.5,4.6,1.452,1.094,0.03,0.061,0.037,10.7,3.7,5500,2900,0
13.89,1.1,4.1,2.174,1.867,0.071,0.066,0.042,3.7,2.6,23000,5900,126.2
3.902,1,4,2.472,2.03,0.016,0.056,0.038,2.6,2.9,2100,290,0.4
6.455,1.2,4.8,1.553,1.251,0.03,0.04,0.012,12.5,3,7300,5200,0.9
2.997,2,5.4,1.671,1.482,0.006,0.031,0.002,21.4,4.6,900,330,0
2.106,3.9,7.6,1.662,1.223,0.009,0.083,0.008,85.9,7.4,760,210,0
3.788,2.5,6.4,2.016,1.449,0.11,0.076,0.04,12.2,5.9,5500,3400,9.2
5.937,3.8,6.8,2.124,1.516,0.067,0.087,0.036,41.4,5.7,17000,4600,10.2
2.458,3.5,7,2.094,1.578,0.012,0.063,0.018,61.4,6.9,4200,710,0
5.455,4.4,6.2,2.071,1.709,0.039,0.038,0.026,51.4,6,13000,3500,15.6
3.11,3,5.6,2.426,2.101,0.006,0.053,0.01,21.6,5.3,600,220,0.1
3.843,2.4,4.9,2.735,2.257,0.029,0.059,0.014,36,4.7,2400,140,0.1
2.836,1.7,3.8,2.996,2.398,0.233,0.071,0.048,3.1,3.5,2400,170,2.2
