"p.H","DO","BOD","COD","SS","TN","T.P","TOC","WT","EC","TC","NH3N","PO4P","Chla","FC","Flow"
0.124208017593962,-1.28920852860009,0.482481338994367,0.930737461821749,-0.109962159662492,-0.475783509402363,0.2409058233385,0.974950376786637,1.1122310235191,-0.656317049310138,-0.520171117070143,-0.10995590117405,-0.251368016160683,0.172754716190135,-0.237343362795797,-0.155329122070443
-0.937168186260795,-2.04034174238762,-0.158457909427093,-0.675891640896923,-0.567727239805331,-0.126932492757891,0.76065619583575,1.72343013559787,1.1122310235191,-0.395583365904722,-0.482240714724055,0.00684277987038715,1.04020536820564,-0.625254615682437,-0.264157459642469,-0.174867407785122
-0.724892945489844,-1.37266777457648,-0.728181685801724,0.484451599955451,-0.693612636844612,0.735680930217532,0.708681158586025,0.168895251912998,1.1122310235191,-1.19020030580694,-0.254658300647523,0.817133629616168,1.49850560136789,-0.710149225456115,-0.0879505375072003,-0.336950230148635
-0.300342463947941,-1.12229003664731,0.126403978760223,-0.184977192843996,1.2747772077696,2.45773640328979,0.55275604683685,-0.694735239023045,1.1122310235191,-1.4757657685843,0.0867153204672738,-0.416552438915696,-0.00138607079945896,-0.688925573012696,-0.156901072255784,-0.0997157986738774
-0.724892945489844,-0.997101167682722,-0.229673381473922,-0.274234365217255,0.771235619612473,-0.271229958733559,-0.902544996155449,-0.867461337210253,1.1122310235191,-1.4757657685843,0.655671355658602,-0.226754582218487,0.49857781992299,-0.565828388840863,-0.110934049090061,5.70207903705374
-0.300342463947941,-1.49785664354107,1.5507134196968,1.10925180656827,1.26333308076603,0.102992040939602,0.526768528211988,1.09010110891144,1.23049684390287,-1.32677509235264,2.36253946123259,-0.482251697003192,-0.917986537123948,-0.604030963239018,0.417686717315744,1.45547511150237
-0.0880672231769883,-1.53958626652927,0.411265866947538,-0.586634468523664,-0.190071048687489,-0.241101916386991,-0.460757179532787,-1.09776280145986,1.4670284846704,-1.97240135602319,1.12980138498471,-0.219454664653209,0.206932217001561,-0.28992090707641,-0.118595219617682,0.431555674628748
-0.300342463947941,-1.2057492826237,0.411265866947538,-0.363491537590515,-0.361732953741054,-0.938803949675936,-0.954520033405174,-1.09776280145986,1.23049684390287,-0.0231066753255566,-0.00811068539794766,-0.241354417349041,0.0819412443209492,-0.468199587601133,0.0219872595641519,0.271398364480595
-0.300342463947941,-1.2474789056119,0.838558699228511,0.127422910462413,1.56088038285887,-0.112661314804254,2.03404460845401,-0.522009140835836,1.23049684390287,-1.88549012822139,0.560845349793381,0.605436020223126,1.74848754672911,-0.459710126623766,0.417686717315744,0.226941685390673
-0.512617704718892,-0.955371544694526,0.90977417127534,0.350565841395562,3.44916133844808,-0.816706093850371,4.06107106119329,-0.464433774773433,0.993965203135336,1.72753377039652,0.162576125159451,-0.044256643086554,2.24845143745156,-0.841735870605316,1.14549791743968,1.28693615994618
0.124208017593962,-0.830182675729939,0.767343227181682,0.7075945308886,0.748347365605331,-0.258544467219215,-0.304832067783612,-0.234132310523822,0.875699382751571,2.3607441443811,3.59527753748047,-0.701249223961511,-0.543013619082111,-0.676191381546644,-0.347664218393531,5.37587461468693
-0.0880672231769883,-0.538075314812568,-0.0160269653334352,-0.899034571830072,1.40066260480888,-0.252201721462043,-0.902544996155449,-0.982612069335059,0.993965203135336,-1.81099479010555,-0.178797495955346,0.0287425325662191,0.290259532121969,-0.659212459591909,0.685827685782457,0.29212593715182
-1.14944342703175,-1.49785664354107,0.0551885067133937,-0.542005882337034,0.542353079541054,1.96775929354824,-0.980507552030037,-1.04018743539746,1.23049684390287,-1.59992466544403,0.371193338062938,-0.241354417349041,-0.251368016160683,-0.260207793655622,0.570910127868151,0.69529421542081
0.761033739906817,-0.663264183777155,-0.0160269653334352,-0.542005882337034,0.656794349576763,-0.321971924790937,-0.512732216782512,-0.522009140835836,0.40263610121651,-0.519742262764444,-0.102936691263169,-0.365453015958755,-0.0847133859198668,-0.544604736397443,1.0179394281548,0.130609441910472
-0.724892945489844,-0.704993806765351,0.126403978760223,-0.452748709963774,-0.0184091436339244,0.413786583041042,0.474793490962263,-0.349283042648627,0.40263610121651,-0.941882512087499,-0.292588702993612,0.357238823003698,0.206932217001561,-0.646478268125857,0.264463306763336,-0.0674351527104944
