연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2020,3,3회차,2020.03.16,영산강상류,우치,2.5,12.9,5.7,0.011,2.04,2.511,0.088
2020,3,3회차,2020.03.16,영산강상류,광주천2,5.9,39.7,9.5,0.495,4.007,5.176,0.121
2020,3,3회차,2020.03.16,영산강상류,광주1,5.8,174.7,10.5,0.015,0.916,1.995,0.107
2020,3,3회차,2020.03.16,영산강상류,광주2,5.4,57.6,10.4,6.261,2.582,10.657,0.111
2020,3,3회차,2020.03.16,영산강상류,광주3,5.6,88.2,10.4,4.939,2.918,9.559,0.11
2020,3,3회차,2020.03.16,죽산보(영산강중류),광산,6.6,88.4,12.6,3.531,2.546,6.951,0.131
2020,3,3회차,2020.03.16,황룡강,황룡강5,3.4,17.9,6.2,0.14,1.314,1.774,0.073
2020,3,4회차,2020.03.23,영산강상류,우치,4,54.6,9.1,0.006,1.079,1.886,0.147
2020,3,4회차,2020.03.23,영산강상류,광주천2,9.1,118.3,13.5,0.007,3.184,4.25,0.23
2020,3,4회차,2020.03.23,영산강상류,광주1,6.3,170.2,14.8,0.049,0.624,1.756,0.136
2020,3,4회차,2020.03.23,영산강상류,광주2,11.2,70.4,14.2,6.613,2.645,10.271,0.117
2020,3,4회차,2020.03.23,영산강상류,광주3,7.3,176,14,4.809,2.331,8.327,0.132
2020,3,4회차,2020.03.23,죽산보(영산강중류),광산,6.5,107.3,13.7,3.121,3.007,7.233,0.106
2020,3,4회차,2020.03.23,황룡강,황룡강5,5.6,51.2,8.3,0.176,0.766,1.479,0.109
2020,3,5회차,2020.03.30,영산강상류,우치,4.6,92.7,8.2,0.062,0.916,1.722,0.145
2020,3,5회차,2020.03.30,영산강상류,광주천2,6.9,79.7,11.5,0.677,2.583,4.079,0.164
2020,3,5회차,2020.03.30,영산강상류,광주1,6.1,183.2,11.6,0.011,0.457,1.262,0.086
2020,3,5회차,2020.03.30,영산강상류,광주2,10.7,85.6,11.9,5.467,2.002,10.032,0.095
2020,3,5회차,2020.03.30,영산강상류,광주3,5.9,109.2,10.8,5.72,2.164,9.068,0.094
2020,3,5회차,2020.03.30,죽산보(영산강중류),광산,8.7,121.6,12.5,2.287,1.538,4.772,0.237
2020,3,5회차,2020.03.30,황룡강,황룡강5,5,78.2,8.4,0.034,0.923,1.63,0.114
