Total_Code,피라미,참갈겨니,돌고기,배스,블루길,감돌고기,묵납자루,어름치
2003G063,9.083333333,26.66666667,0.75,0,0.083333333,0,0,0
2003G075,49,0,5.5,1,0,0,0,0
2003G078,32.77777778,0,0.944444444,0.055555556,0,0,0,0
2004G068,31.33333333,0,0.444444444,0.277777778,0.5,0,0,0
2005G066,41.5,0,0.055555556,1.222222222,1,0,0,0
2006G050,35.88888889,0,0,0.5,0.5,0,0,0
2007G010,38.05555556,0,0.666666667,0.166666667,0.5,0,0,0
2007G020,25.75,0,0,5.75,4.75,0,0,0
2007G030,18.61111111,0,0.388888889,2,1.277777778,0,0,0
2007G040,24.75,0,0,6.75,7.5,0,0,0
2007G050,30.5,0,0,10.75,6.75,0,0,0
2007G060,29,0,0,0,0,0,0,0
2007G070,23.27777778,0,0,1.944444444,1.222222222,0,0,0
2008G064,14.22222222,0,0.388888889,5,6.5,0,0,0
2009G010,48,0,0,2.5,0.5,0,0,0
2009G020,14.05555556,0,0.055555556,2.055555556,3.055555556,0,0,0
2009G030,11.5,0,0,7.25,3,0,0,0
2009G050,20.33333333,0,0.333333333,6.277777778,0.388888889,0,0,0
2010G060,47.22222222,0,0,0,0,0,0,0
2011G003,48.5,0,0,6.8125,2.5,0,0,0
2011G006,2,0,0,0,0,0,0,0
2011G012,0,0,0,0,0,0,0,0
2011G018,115.5,0,0,0,0,0,0,0
2011G027,0,0,0,14,17,0,0,0
2011G033,0,76.5,0,0,2,0,0,0
2011G039,7.625,0,0,9.3125,6,0,0,0
2011G042,70.5,0,0,0,0,0,0,0
2011G048,0,125.5,0,0,0,0,0,0
2011G051,0,0,0,77.25,14,0,0,0
2011G054,17.44444444,0,0,4.388888889,4,0,0,0
2011G057,4.5,0,0,0,0,0,0,0
2011G063,0.75,0,0,16.25,18.25,0,0,0
2011G078,30.3125,0,0,4.375,1.5625,0,0,0
2011G081,0,0,0,26,43.5,0,0,0
2011G087,8.666666667,0,0,4.666666667,1.555555556,0,0,0
2012G126,4.777777778,0,0,5.833333333,4.666666667,0,0,0
2013G063,10.22222222,0,0,2.833333333,1.388888889,0,0,0
2014G010,1.5,0,0,8.5,4,0,0,0
2014G015,0,0,0,0,0,0,0,0
2014G025,0,18,0,0,0,0,0,0
2014G035,0.75,0,0,8.75,4.5,0,0,0
2014G045,2.222222222,0,0,8.222222222,2.777777778,0,0,0
2014G050,1.25,0,0,5.75,11.75,0,0,0
2014G055,0,0,0,0,0,0,0,0
2014G065,47.5,69,0,0,0,0,0,0
2014G075,0,0,0,7.25,5.75,0,0,0
2014G080,1.9375,0,0,2.25,0.9375,0,0,0
2014G085,0,0,0,7.5,0,0,0,0
2014G095,4.0625,0,0,2.5,2.375,0,0,0
2016G090,77.5,0,7,0,0,0,0,0
2016G095,19.38888889,0,0,0.944444444,0.166666667,0,0,0
2017G003,2.5625,0,0,3.75,1.0625,0,0,0
2017G006,2.5,0,0,1.25,4.5,0,0,0
2017G030,10.8125,11.1875,0,3,5.25,0,0,0
2017G063,11.25,0,1.25,6.5625,5.375,0,0,0
2017G066,18.7,0,0,4.2,4.5,0,0,0
2017G075,0.277777778,0,0,7.944444444,6,0,0,0
2017G078,0,0,0,0,0,0,0,0
2019G116,4.5,0,0,7.444444444,8.944444444,0,0,0
2020G002,1.111111111,0,0,4.666666667,4.388888889,0,0,0
2020G010,0,0,0,20.5,41,0,0,0
2020G014,0,0,0,2.5,1.5,0,0,0
2020G016,0.571428571,0,0,8.071428571,9.857142857,0,0,0
2020G030,4.5,0,0,19,0,0,0,0
2020G034,0.75,0,0,1.75,5.75,0,0,0
2020G036,1.5,0,0,3.5,0,0,0,0
2020G040,48.3125,0,0,5.125,2.5,0,0,0
2020G042,0,0,0,17,4,0,0,0
2020G060,66.125,0,0,5.0625,8.8125,0,0,0
2020G062,0,0,0,0,0,0,0,0
2020G066,0,0,0,11,0,0,0,0
2020G074,0,0,0,14,7.5,0,0,0
2020G082,1.5,0,0,7.75,2.666666667,0,0,0
2020G088,0.5,0,0,8.5,4.5,0,0,0
2020G090,0.666666667,0,0,11.11111111,3.944444444,0,0,0
2021G082,2.944444444,0,0.055555556,15.66666667,19.33333333,0,0,0
2022G006,31,1,0,16,2.5,0,0,0
2022G012,0,0,0,7,36,0,0,0
2022G018,0,0,0,6.777777778,10.66666667,0,0,0
2022G042,2.25,3.1875,1.75,15.375,12.3125,0,0,0
2022G045,0,0,0,6.5,3.5,0,0,0
2022G051,0.722222222,0,0,9.222222222,4.666666667,0,0,0
2022G054,0,0,0,0,0,0,0,0
2022G057,45.91666667,0,0,3.166666667,3.666666667,0,0,0
2022G060,0,0,0,13.6875,10.4375,0,0,0
2022G078,0,0,0,24.5,11,0,0,0
2022G084,0,0,0,5.5,3.5,0,0,0
3001G004,54.3,69.4,5.9,0,0,0,0,0
3001G006,0,29,4,0,0,0,0,0
3001G010,28,77.5,3,0,0,0,0,0
3001G016,63.58333333,56.83333333,24.16666667,0,0,0,0,0
3001G020,17,86,12,0,0,0,0,0
3001G022,74.44444444,12.94444444,8.111111111,0.666666667,0,0,0,0
3001G036,39,73.5,21.5,0,0,1.5,0,0
3001G046,144.5,3.5,2.5,0,0,0,0,0
3001G054,14.5,8.5,10,1.5,0,0.5,0,0
3001G060,10,1.5,0,0,0,0,0,0
3001G066,25.9375,55.0625,5.25,1.375,0.0625,2.5625,0,0
3002G020,6.571428571,97,6.928571429,0,0,0.142857143,0,0
3002G030,10.5,42.5,3.5,0,0,0.5,0,0
3002G050,22,38.77777778,12.11111111,0,0,10.61111111,0,0
3003G090,77.33333333,28.83333333,23.05555556,0,0,11.55555556,0,0
3004G006,37.5,61,12,0,0,1.5,0,0
3004G009,34.375,12.25,13.4375,1.0625,0.0625,6.25,0,0
3004G039,83.6875,3.875,3.3125,0.625,0,0.875,0,0
3004G042,7.5,33,7,0,0,0,0,0
3004G048,46.5,68,1.5,0,0,0,0,0
3004G054,56.5,30.5,36.5,0,0,1,0,0
3004G057,29.77777778,4.055555556,11.16666667,2.055555556,0,0.222222222,0,0
3004G069,58.75,2.375,10.4375,2,0,0.625,0,0
3005G090,34.16666667,18,13.11111111,0,0,7.888888889,0,0
3006G010,16,18.5,8,0,0,10.5,0,0
3006G040,58.5,16.33333333,10.05555556,0.055555556,0.333333333,2.5,0,0
