사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202209,2호선,신답,6,0,1062,131,1852,531,6439,1015,10898,1591,4461,1017,2541,1002,1984,1242,2083,1351,1811,1624,1729,1906,1771,2467,1813,3549,2175,4551,2220,9110,1124,6581,599,3046,539,3525,463,2933,172,2067,39,523,0,1,0,0,0,0,20221003
202209,2호선,신당,32,0,5301,1130,10905,8223,27056,16663,44469,30750,26287,21110,18328,17120,17761,18074,19668,19628,20604,20702,20748,20433,21567,23125,25292,27098,28714,34665,31628,48866,21482,30739,16777,19083,15011,17488,12691,16247,6203,10496,1070,3644,7,60,0,0,0,0,20221003
202209,2호선,신대방,232,1,23518,2115,33894,8991,86015,16427,125932,25614,75262,19257,43142,17078,34095,17849,34130,20987,32732,23846,27691,27269,27593,36360,30284,43994,32730,57790,33280,88195,21369,77331,15592,51648,12087,54385,9515,50783,4315,30796,819,8555,6,178,0,0,0,0,20221003
202209,2호선,신도림,3766,16,31344,4875,48970,20040,128921,38870,135419,104284,85460,63882,56876,56592,55776,56052,63445,57767,63237,61959,63339,60368,67092,68781,75476,81163,92096,106939,114521,165268,66237,118592,55809,68274,57768,65649,41892,63819,20451,50480,2732,21326,21,2510,1,23,0,0,20221003
202209,2호선,신림,232,9,36075,3933,69164,18628,183191,27676,268659,45686,161840,44253,89326,40849,73042,42982,77910,49666,73087,55984,66621,61638,66139,76963,73962,97249,77968,128367,80297,214316,53936,191359,44658,117932,41364,115294,35766,106842,20352,68801,3833,21175,25,379,0,0,0,0,20221003
202209,2호선,신설동,44,5,1254,263,1438,1503,4414,4664,8008,11183,5270,7677,4507,7327,5540,6943,6614,6663,7203,6885,7507,6118,8141,5736,8725,5284,10138,5551,11651,6714,4574,4722,2601,3297,2371,3005,1837,2765,660,2287,95,757,0,168,0,0,0,0,20221003
202209,2호선,신정네거리,48,2,7922,890,17678,2900,48945,4798,44801,10995,25046,8067,16859,7101,14974,8159,15740,10130,13420,11423,11654,12338,11059,16037,12245,20711,12224,28399,11545,44397,7062,35135,4934,19197,4215,17790,3240,15939,1309,11180,214,3006,1,230,0,0,0,0,20221003
202209,2호선,신촌,79,4,7430,2739,14606,14704,35590,35783,52705,87553,36397,95945,34456,68414,41251,60410,52641,64734,56797,69235,58638,59989,68586,56711,84347,62246,98984,82260,100273,113924,67655,74034,67544,40815,72911,36086,77264,32455,39862,24169,7140,6374,47,154,5,1,0,0,20221003
202209,2호선,아현,56,0,4421,906,10293,6657,27933,11746,37711,22930,22607,12597,15907,10563,14862,10087,16320,12155,15478,13274,14195,13681,16319,14941,23044,17608,20489,22098,20088,31317,12290,23111,8641,15398,6962,15064,4994,14005,1991,8697,336,2423,0,42,0,2,0,0,20221003
202209,2호선,양천구청,13,2,4590,925,11004,2053,33004,4996,31044,10000,17671,4567,11561,4220,9792,4906,10376,6715,8581,7608,7547,8554,6910,10414,8099,13188,8915,18531,8960,27478,4272,23172,2955,13155,2389,12251,2100,10949,706,8219,122,2702,1,70,0,0,0,0,20221003
