Code,WT,EC,TOC,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,HRT,Toxic CYA,Non-toxic CYA
St 2-43,13.3,262,5,2.556,0.023,0.004,12.6,1.867,0.055,410,3,13.8,523,790
St 2-44,12.8,265,4.9,2.574,0.021,0.004,7.7,1.904,0.067,140,0,13.9,441,0
St 2-45,10.3,275,4.7,2.505,0.022,0.004,17.2,2.016,0.027,143,1,15,56,3040
St 2-46,8.8,298,4.7,2.677,0.03,0.004,13.2,2.106,0.029,63,1,15.3,0,3510
St 2-47,7.2,321,4.3,2.797,0.028,0.003,10.7,2.209,0.041,50,1,16.1,0,5780
St 2-48,6.1,350,3.9,2.832,0.026,0.003,10.7,2.229,0.043,41,1,17.2,0,3270
St 2-49,5.9,356,3.5,2.835,0.025,0.003,9.8,2.298,0.121,1500,62,11.4,0,2870
St 3-1,2.4,417,3.4,3.012,0.027,0.003,7,2.208,0.191,35,3,26.6,0,0
St 3-2,4,324,3.1,2.735,0.032,0.005,12.8,1.914,0.171,5,0,30.6,0,0
St 3-3,5.7,352,3.3,3.312,0.031,0.005,16.3,2.331,0.378,151,3,19.8,0,0
St 3-4,5.8,317,2.9,3.596,0.039,0.003,13.7,2.534,0.19,31,3,19.3,0,0
St 3-5,6,345,3.4,3.054,0.026,0,17.6,2.227,0.148,17,0,23.4,0,0
St 3-6,9,352,5.6,4.324,0.089,0.024,11,2.95,0.36,2075,244,19,101,106
St 3-7,8.1,417,4.1,3.98,0.041,0,15.9,2.592,0.344,193,0,6,0,142
St 3-8,11.3,421,4.4,4.118,0.05,0.003,26.7,2.924,0.194,62,3,12.5,0,171
St 3-9,12.3,316,3.8,3.348,0.04,0.003,13.3,2.421,0.12,25,1,17,0,139
St 3-10,14.4,296,3.4,2.601,0.029,0,7.7,2.153,0.147,48,1,19.8,118,229
St 3-11,14.6,407,3.8,3.274,0.042,0.006,13.8,2.596,0.132,152,9,5.2,0,142
St 3-12,15.2,182,4.7,2.423,0.093,0.022,15.5,1.884,0.141,930,156,4.7,35,82
St 3-13,16.8,349,3.7,2.9,0.047,0.01,13.9,2.347,0.098,135,4,2.7,176,0
St 3-14,17.6,225,3.8,2.335,0.042,0.006,21.7,1.743,0.037,133,5,2.7,0,30
St 3-15,18.7,190,4.1,1.964,0.054,0.003,36.9,1.474,0.042,110,7,4.7,162,1744
St 3-16,19.7,216,3.5,1.973,0.035,0,39.9,1.46,0.027,2750,2,5.5,120,1040
St 3-17,22.3,212,3.7,1.672,0.024,0,20.6,1.203,0.069,4650,0,9.3,9011,1011
St 3-18,22.9,257,4.1,1.841,0.03,0,22.9,1.349,0.082,21,1,10.3,15772,5959
St 3-19,23.3,265,3.9,1.792,0.034,0.007,11.9,1.189,0.204,25,0,15.4,11090,5060
