p.H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN,T.P,NH3N,PO4P,Flow,logTC,logFC
-0.099518147,1.311714867,1.892103461,-1.393438219,0.630691867,-0.137621014,-0.155488707,-0.370571472,1.130681982,1.939474012,1.317630682,1.680095918,1.579850905,-0.34745783,1.050599996,1.034459774
-2.01160839,1.067299753,1.130981694,-1.393438219,0.042107316,-0.097801736,-0.155488707,-0.513660838,0.353415198,1.782330873,3.721638379,1.463913838,3.913409699,-0.369370057,0.146058071,-0.037117602
0.856526974,1.102216198,1.511542577,-1.642804648,0.512974957,-0.336717405,-0.101336836,-0.543471122,0.425719085,1.556524018,2.081334785,1.930775139,2.190285159,-0.345503543,0.059140129,-0.587764211
-0.099518147,0.962550418,1.768421174,-1.642804648,-0.075609594,-0.137621014,0.277726266,-0.805801625,0.419693761,2.376801984,1.782494049,2.558623095,1.548942841,-0.321637029,0.658992994,0.654378086
-0.099518147,1.032383308,1.758907152,-1.518121433,0.689550322,0.101294655,0.277726266,-1.00851156,0.823390463,2.366663717,2.938011561,2.877146692,3.132981095,-0.380421291,0.843663855,1.053132567
-0.67314522,0.613385968,1.730365085,-1.642804648,0.748408777,0.180933212,0.386030009,-0.987644361,0.347389874,2.380488626,1.12504443,2.98236297,2.058925889,-0.328416503,0.008656283,-0.388085796
-0.290727171,0.194388629,1.054869517,-1.268755004,0.512974957,0.380029603,0.169422522,-0.543471122,1.299391052,2.295235017,2.327048279,2.850698884,1.927566619,-0.334971147,1.14680506,0.841206406
-0.67314522,0.124555739,1.635224864,-1.518121433,1.219276418,0.499487438,0.115270651,-0.474907468,0.473921676,1.927031593,1.397321545,2.581046236,0.961689635,-0.353113156,0.517662039,0.206833403
-1.246772293,0.438803744,1.425916378,-1.019388575,0.924984142,0.419848881,1.09000434,-0.054582457,0.269060663,1.577722212,1.80905767,2.227450546,1.36349446,-0.34847821,0.256193819,-0.237599147
-0.099518147,-0.189692265,-0.429317928,-1.268755004,0.983842597,0.778222385,0.656789367,-0.895232479,2.510481158,0.508135044,0.97230361,-0.328787561,0.049901761,0.032659643,0.989638371,1.15814193
-0.099518147,0.578469524,0.312775794,-1.144071789,-0.016751139,-0.495994518,0.061118779,-1.032359787,1.401821558,1.026108322,1.775853144,0.945306826,1.788480333,-0.308164555,0.008656283,-0.522509827
1.047735999,0.613385968,1.226121915,-1.019388575,0.159824226,0.340210325,0.927548726,-0.287102675,0.769162548,2.121501988,2.559479962,1.741615818,2.383460555,-0.308614214,-0.013251801,-0.345720642
